time,Boston,pts.away,score,pts.home,LA Clippers
5:18.0,,,82-99,,J. Crawford misses technical free throw
5:18.0,Offensive rebound by Team,,82-99,,
5:18.0,A. Bradley makes free throw 1 of 2,1,83-99,,
5:18.0,A. Bradley makes free throw 2 of 2,1,84-99,,
5:18.0,T. Zeller enters the game for K. Olynyk,,83-99,,
5:10.0,Personal foul by M. Smart (drawn by A. Rivers),,84-99,,
5:07.0,Personal take foul by T. Zeller (drawn by D. Jordan),,84-99,,
5:07.0,,,84-99,,D. Jordan misses free throw 1 of 2
5:07.0,,,84-99,,Offensive rebound by Team
5:07.0,,,84-99,,D. Jordan misses free throw 2 of 2
5:06.0,Defensive rebound by T. Zeller,,84-99,,
4:53.0,A. Bradley misses 2-pt shot from 6 ft,,84-99,,
4:52.0,,,84-99,,Defensive rebound by Team
4:52.0,,,84-99,,B. Griffin enters the game for D. Jordan
4:47.0,,,84-99,,B. Griffin misses 2-pt shot from 3 ft
4:46.0,,,84-99,,Offensive rebound by B. Griffin
4:31.0,,,84-99,,Turnover by A. Rivers (lost ball; steal by I. Thomas)
4:25.0,I. Thomas makes 3-pt shot from 27 ft (assist by M. Smart),3,87-99,,
4:24.0,,,87-99,,LA Clippers full timeout
4:12.0,Personal foul by M. Smart (drawn by A. Rivers),,87-99,,
4:12.0,,,87-100,1,A. Rivers makes free throw 1 of 2
4:12.0,,,87-101,1,A. Rivers makes free throw 2 of 2
4:04.0,Shooting foul by J. Crawford (drawn by I. Thomas),,87-101,,
4:04.0,I. Thomas makes free throw 1 of 2,1,88-101,,
4:04.0,I. Thomas makes free throw 2 of 2,1,89-101,,
3:49.0,,,89-104,3,J. Crawford makes 3-pt shot from 26 ft
3:49.0,,,89-104,,Shooting foul by T. Zeller (drawn by J. Crawford)
3:49.0,,,89-105,1,J. Crawford makes free throw 1 of 1
3:38.0,I. Thomas misses 3-pt shot from 25 ft (block by R. Felton),,89-105,,
3:36.0,,,89-105,,Defensive rebound by A. Rivers
3:33.0,,,89-107,2,B. Griffin makes 2-pt shot at rim (assist by R. Felton)
3:25.0,M. Smart makes 2-pt shot from 2 ft,2,91-107,,
3:25.0,Shooting foul by B. Griffin (drawn by M. Smart),,91-107,,
3:25.0,M. Smart makes free throw 1 of 1,1,92-107,,
3:12.0,,,92-107,,Turnover by A. Rivers (bad pass; steal by I. Thomas)
3:06.0,I. Thomas makes 2-pt shot from 3 ft,2,94-107,,
2:49.0,Personal foul by I. Thomas (drawn by R. Felton),,94-107,,
2:49.0,,,94-108,1,R. Felton makes free throw 1 of 2
2:49.0,,,94-109,1,R. Felton makes free throw 2 of 2
2:49.0,J. Brown enters the game for A. Bradley,,94-108,,
2:34.0,I. Thomas makes 2-pt shot from 2 ft (assist by T. Zeller),2,96-109,,
2:15.0,,,96-109,,Turnover by R. Felton (lost ball)
2:09.0,J. Brown makes 2-pt shot from 4 ft,2,98-109,,
2:09.0,Shooting foul by W. Johnson (drawn by J. Brown),,98-109,,
2:09.0,J. Brown makes free throw 1 of 1,1,99-109,,
2:09.0,,,98-109,,C. Paul enters the game for A. Rivers
1:54.0,,,99-109,,J. Crawford misses 2-pt shot from 4 ft
1:51.0,Defensive rebound by J. Brown,,99-109,,
1:46.0,M. Smart misses 3-pt shot from 25 ft,,99-109,,
1:44.0,,,99-109,,Defensive rebound by R. Felton
1:27.0,,,99-109,,Shooting foul by J. Crowder (drawn by B. Griffin)
1:27.0,,,99-110,1,B. Griffin makes free throw 1 of 2
1:27.0,,,99-111,1,B. Griffin makes free throw 2 of 2
1:18.0,Shooting foul by W. Johnson (drawn by I. Thomas),,99-111,,
1:18.0,I. Thomas misses free throw 1 of 2,,99-111,,
1:18.0,Offensive rebound by Team,,99-111,,
1:18.0,I. Thomas makes free throw 2 of 2,1,100-111,,
1:18.0,T. Rozier enters the game for T. Zeller,,99-111,,
0:57.0,,,100-111,,Turnover by C. Paul (lost ball; steal by J. Brown)
0:53.0,M. Smart makes 2-pt shot from 3 ft (assist by J. Brown),2,102-111,,
0:47.0,,,102-111,,LA Clippers full timeout
0:47.0,,,102-111,,A. Rivers enters the game for W. Johnson
0:36.0,Personal foul by I. Thomas (drawn by C. Paul),,102-111,,
0:36.0,,,102-112,1,C. Paul makes free throw 1 of 2
0:36.0,,,102-113,1,C. Paul makes free throw 2 of 2
0:36.0,J. Young enters the game for I. Thomas,,102-112,,
0:36.0,J. Mickey enters the game for M. Smart,,102-112,,
0:36.0,T. Zeller enters the game for J. Crowder,,102-112,,
0:30.0,Turnover by J. Brown (lost ball; steal by C. Paul),,102-113,,
0:07.0,,,102-116,3,B. Griffin makes 3-pt shot from 28 ft (assist by C. Paul)
0:00.0,End of 4th quarter,,,,End of 4th quarter
