time,LA Lakers,pts.away,score,pts.home,Milwaukee
4:33.0,,,111-100,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:07.0,J. Randle misses 3-pt shot from 23 ft,,111-100,,
4:06.0,Offensive rebound by Team,,111-100,,
4:06.0,Turnover by Team (shot clock),,111-100,,
4:01.0,,,111-100,,Shooting foul by J. Randle (drawn by G. Antetokounmpo)
4:01.0,,,111-101,1,G. Antetokounmpo makes free throw 1 of 2
4:01.0,,,111-102,1,G. Antetokounmpo makes free throw 2 of 2
3:36.0,D. Russell misses 3-pt shot from 24 ft,,111-102,,
3:36.0,,,111-102,,Defensive rebound by M. Beasley
3:30.0,Personal foul by J. Randle (drawn by J. Terry),,111-102,,
3:18.0,,,111-102,,G. Antetokounmpo misses 2-pt shot from 1 ft
3:17.0,,,111-102,,Offensive rebound by Team
3:11.0,,,111-102,,Personal foul by J. Terry (drawn by J. Randle)
3:11.0,Personal foul by J. Randle,,111-102,,
3:06.0,,,111-102,,Turnover by G. Monroe (bad pass)
2:49.0,L. Nance misses 2-pt shot from 1 ft,,111-102,,
2:47.0,,,111-102,,Defensive rebound by M. Beasley
2:38.0,,,111-105,3,J. Terry makes 3-pt shot from 26 ft (assist by M. Brogdon)
2:15.0,J. Randle makes 2-pt shot from 5 ft,2,113-105,,
1:57.0,,,113-107,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
1:45.0,,,113-107,,Personal foul by G. Antetokounmpo (drawn by L. Nance)
1:45.0,Official timeout,,113-107,,
1:45.0,L. Nance misses free throw 1 of 2,,113-107,,
1:45.0,Offensive rebound by Team,,113-107,,
1:45.0,L. Nance makes free throw 2 of 2,1,114-107,,
1:29.0,,,114-107,,Turnover by M. Brogdon (offensive goaltending)
1:09.0,J. Randle misses 2-pt shot from 12 ft,,114-107,,
1:08.0,,,114-107,,Defensive rebound by G. Antetokounmpo
1:00.0,,,114-109,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Beasley)
0:36.0,J. Randle misses 2-pt shot from 10 ft (block by G. Antetokounmpo),,114-109,,
0:35.0,,,114-109,,Defensive rebound by G. Antetokounmpo
0:33.0,,,114-109,,Turnover by G. Antetokounmpo (bad pass)
0:33.0,Official timeout,,114-109,,
0:33.0,,,114-109,,T. Maker enters the game for G. Monroe
0:33.0,L. Williams enters the game for J. Randle,,114-109,,
0:33.0,LA Lakers full timeout,,114-109,,
0:24.0,Shooting foul by M. Brogdon,,114-109,,
0:24.0,L. Williams makes free throw 1 of 2,1,115-109,,
0:24.0,L. Williams makes free throw 2 of 2,1,116-109,,
0:24.0,,,116-109,,Milwaukee full timeout
0:24.0,,,116-109,,G. Monroe enters the game for T. Maker
0:24.0,J. Randle enters the game for L. Williams,,116-109,,
0:21.0,Shooting block foul by N. Young (drawn by G. Antetokounmpo),,116-109,,
0:21.0,,,116-109,,G. Antetokounmpo misses free throw 1 of 2
0:21.0,,,116-109,,Offensive rebound by Team
0:21.0,,,116-110,1,G. Antetokounmpo makes free throw 2 of 2
0:21.0,L. Williams enters the game for J. Randle,,116-109,,
0:21.0,,,116-109,,T. Maker enters the game for G. Monroe
0:21.0,,,116-109,,T. Snell enters the game for M. Beasley
0:18.0,,,116-110,,Personal take foul by G. Antetokounmpo (drawn by N. Young)
0:18.0,N. Young makes free throw 1 of 2,1,117-110,,
0:18.0,N. Young makes free throw 2 of 2,1,118-110,,
0:18.0,,,118-110,,Milwaukee full timeout
0:18.0,J. Randle enters the game for L. Williams,,117-110,,
0:18.0,,,118-110,,M. Beasley enters the game for T. Maker
0:18.0,,,118-110,,G. Monroe enters the game for T. Snell
0:14.0,Personal foul by L. Nance (drawn by G. Antetokounmpo),,118-110,,
0:14.0,,,118-110,,G. Antetokounmpo misses free throw 1 of 2
0:14.0,,,118-110,,Offensive rebound by Team
0:14.0,,,118-111,1,G. Antetokounmpo makes free throw 2 of 2
0:14.0,L. Williams enters the game for J. Randle,,118-110,,
0:12.0,,,118-111,,Personal foul by G. Antetokounmpo (drawn by D. Russell)
0:12.0,D. Russell makes free throw 1 of 2,1,119-111,,
0:12.0,D. Russell makes free throw 2 of 2,1,120-111,,
0:12.0,J. Randle enters the game for L. Williams,,119-111,,
0:06.0,,,120-114,3,M. Brogdon makes 3-pt shot from 27 ft
0:02.0,,,120-114,,Personal take foul by M. Beasley (drawn by L. Nance)
0:02.0,L. Nance makes free throw 1 of 2,1,121-114,,
0:02.0,L. Nance makes free throw 2 of 2,1,122-114,,
0:00.0,,,122-114,,G. Antetokounmpo misses 3-pt shot from 70 ft
0:00.0,,,122-114,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
