time,Orlando,pts.away,score,pts.home,San Antonio
5:48.0,,,61-58,,K. Leonard misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by S. Ibaka,,61-58,,
5:42.0,B. Biyombo misses 2-pt shot at rim,,61-58,,
5:40.0,,,61-58,,Defensive rebound by D. Green
5:35.0,,,61-58,,D. Green misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by Team,,61-58,,
5:34.0,,,61-58,,San Antonio full timeout
5:34.0,,,61-58,,P. Mills enters the game for T. Parker
5:34.0,,,61-58,,D. Lee enters the game for P. Gasol
5:34.0,,,61-58,,M. Ginobili enters the game for D. Green
5:34.0,N. Vucevic enters the game for B. Biyombo,,61-58,,
5:14.0,A. Gordon makes 3-pt shot from 23 ft (assist by S. Ibaka),3,64-58,,
4:56.0,,,64-58,,M. Ginobili misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by N. Vucevic,,64-58,,
4:42.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,66-58,,
4:26.0,,,66-58,,Shooting foul by A. Gordon (drawn by K. Leonard)
4:26.0,,,66-59,1,K. Leonard makes free throw 1 of 2
4:26.0,,,66-60,1,K. Leonard makes free throw 2 of 2
4:26.0,E. Payton enters the game for D. Augustin,,66-59,,
4:26.0,J. Green enters the game for A. Gordon,,66-59,,
4:26.0,B. Biyombo enters the game for S. Ibaka,,66-59,,
4:26.0,,,66-59,,D. Dedmon enters the game for L. Aldridge
4:18.0,,,66-60,,Personal foul by P. Mills
4:18.0,,,66-60,,J. Simmons enters the game for K. Leonard
4:12.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,68-60,,
4:02.0,,,68-62,2,M. Ginobili makes 2-pt shot from 6 ft
3:46.0,J. Green misses 2-pt shot from 17 ft,,68-62,,
3:44.0,Offensive rebound by N. Vucevic,,68-62,,
3:42.0,N. Vucevic misses 2-pt shot from 1 ft,,68-62,,
3:41.0,,,68-62,,Defensive rebound by D. Dedmon
3:33.0,,,68-62,,D. Dedmon misses 2-pt shot at rim
3:31.0,Defensive rebound by J. Green,,68-62,,
3:28.0,Shooting foul by D. Dedmon (drawn by B. Biyombo),,68-62,,
3:28.0,B. Biyombo makes free throw 1 of 2,1,69-62,,
3:28.0,B. Biyombo misses free throw 2 of 2,,69-62,,
3:27.0,,,69-62,,Defensive rebound by D. Dedmon
3:09.0,,,69-62,,J. Simmons misses 2-pt shot from 15 ft
3:06.0,Defensive rebound by B. Biyombo,,69-62,,
2:55.0,N. Vucevic misses 2-pt shot from 9 ft,,69-62,,
2:53.0,,,69-62,,Defensive rebound by J. Simmons
2:37.0,,,69-62,,D. Lee misses 2-pt shot from 15 ft
2:36.0,,,69-62,,Offensive rebound by M. Ginobili
2:31.0,,,69-62,,Turnover by J. Simmons (bad pass; steal by E. Fournier)
2:20.0,B. Biyombo misses 2-pt shot from 5 ft,,69-62,,
2:18.0,,,69-62,,Defensive rebound by P. Mills
2:15.0,,,69-62,,Turnover by P. Mills (lost ball; steal by E. Payton)
2:10.0,E. Payton makes 2-pt shot at rim,2,71-62,,
2:03.0,,,71-62,,Turnover by D. Lee (bad pass; steal by N. Vucevic)
2:02.0,,,71-62,,Personal foul by J. Simmons (drawn by E. Fournier)
2:02.0,Orlando full timeout,,71-62,,
2:02.0,,,71-62,,D. Bertans enters the game for D. Lee
1:45.0,N. Vucevic makes 2-pt shot from 18 ft,2,73-62,,
1:33.0,,,73-62,,M. Ginobili misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by N. Vucevic,,73-62,,
1:25.0,E. Payton misses 2-pt shot at rim (block by D. Dedmon),,73-62,,
1:23.0,Offensive rebound by E. Payton,,73-62,,
1:18.0,Turnover by E. Fournier (bad pass; steal by M. Ginobili),,73-62,,
1:16.0,Violation by J. Green (kicked ball),,73-62,,
1:00.0,,,73-64,2,D. Dedmon makes 2-pt shot at rim (assist by J. Simmons)
1:00.0,,,73-64,,Shooting foul by B. Biyombo (drawn by D. Dedmon)
1:00.0,,,73-64,,D. Dedmon misses free throw 1 of 1
1:00.0,Defensive rebound by N. Vucevic,,73-64,,
0:47.0,N. Vucevic misses 2-pt shot from 20 ft,,73-64,,
0:47.0,Offensive rebound by Team,,73-64,,
0:47.0,,,73-64,,Loose ball foul by D. Bertans (drawn by B. Biyombo)
0:32.0,Offensive foul by N. Vucevic,,73-64,,
0:32.0,Turnover by N. Vucevic (offensive foul),,73-64,,
0:16.0,,,73-64,,J. Simmons misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by B. Biyombo,,73-64,,
0:04.0,,,73-64,,Personal foul by J. Simmons (drawn by E. Fournier)
0:04.0,E. Fournier makes free throw 1 of 2,1,74-64,,
0:04.0,E. Fournier makes free throw 2 of 2,1,75-64,,
0:04.0,C. Watson enters the game for N. Vucevic,,74-64,,
0:00.0,,,75-64,,D. Bertans misses 2-pt shot from 13 ft
0:00.0,,,75-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,E. Payton misses 2-pt shot from 8 ft,,75-64,,
11:40.0,,,75-64,,Defensive rebound by D. Dedmon
11:28.0,,,75-64,,Shooting foul by C. Watson (drawn by M. Ginobili)
11:28.0,,,75-64,,M. Ginobili misses free throw 1 of 2
11:28.0,,,75-64,,Offensive rebound by Team
11:28.0,,,75-65,1,M. Ginobili makes free throw 2 of 2
11:16.0,,,75-65,,Loose ball foul by T. Parker (drawn by E. Payton)
11:16.0,,,75-65,,K. Leonard enters the game for M. Ginobili
11:08.0,E. Payton misses 2-pt shot from 10 ft,,75-65,,
11:06.0,,,75-65,,Defensive rebound by D. Dedmon
10:53.0,,,75-65,,K. Leonard misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by E. Payton,,75-65,,
10:42.0,N. Vucevic misses 2-pt shot from 2 ft (block by D. Bertans),,75-65,,
10:42.0,Offensive rebound by Team,,75-65,,
10:42.0,S. Ibaka enters the game for B. Biyombo,,75-65,,
10:33.0,C. Watson makes 2-pt shot from 17 ft (assist by S. Ibaka),2,77-65,,
10:13.0,,,77-65,,Offensive foul by D. Dedmon
10:13.0,,,77-65,,Turnover by D. Dedmon (offensive foul)
10:13.0,,,77-65,,L. Aldridge enters the game for D. Dedmon
10:02.0,Turnover by C. Watson (bad pass; steal by P. Mills),,77-65,,
9:56.0,,,77-67,2,L. Aldridge makes 2-pt shot at rim (assist by P. Mills)
9:32.0,J. Green misses 3-pt shot from 28 ft,,77-67,,
9:31.0,,,77-67,,Defensive rebound by P. Mills
9:27.0,,,77-69,2,K. Leonard makes 2-pt shot from 12 ft (assist by P. Mills)
9:27.0,,,77-69,,Shooting foul by J. Green (drawn by K. Leonard)
9:27.0,,,77-70,1,K. Leonard makes free throw 1 of 1
9:15.0,S. Ibaka makes 2-pt shot from 18 ft (assist by E. Payton),2,79-70,,
8:50.0,,,79-70,,P. Mills misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by N. Vucevic,,79-70,,
8:46.0,Turnover by E. Payton (bad pass; steal by K. Leonard),,79-70,,
8:36.0,,,79-70,,L. Aldridge misses 2-pt shot at rim (block by E. Payton)
8:34.0,Defensive rebound by S. Ibaka,,79-70,,
8:21.0,J. Green makes 2-pt shot from 5 ft (assist by C. Watson),2,81-70,,
8:00.0,Personal foul by C. Watson,,81-70,,
8:00.0,Official timeout,,81-70,,
8:00.0,,,81-70,,D. Green enters the game for P. Mills
8:00.0,,,81-70,,J. Simmons enters the game for D. Bertans
7:46.0,,,81-70,,K. Leonard misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by C. Watson,,81-70,,
7:40.0,Orlando full timeout,,81-70,,
7:40.0,D. Augustin enters the game for E. Payton,,81-70,,
7:27.0,N. Vucevic makes 2-pt shot from 4 ft (assist by J. Green),2,83-70,,
7:02.0,,,83-72,2,J. Simmons makes 2-pt shot at rim (assist by L. Aldridge)
6:36.0,J. Green misses 3-pt shot from 28 ft,,83-72,,
6:36.0,,,83-72,,Defensive rebound by Team
6:21.0,,,83-72,,L. Aldridge misses 2-pt shot from 5 ft (block by S. Ibaka)
6:21.0,,,83-72,,Offensive rebound by Team
6:21.0,B. Biyombo enters the game for N. Vucevic,,83-72,,
6:21.0,E. Fournier enters the game for C. Watson,,83-72,,
6:16.0,,,83-72,,T. Parker misses 2-pt shot from 13 ft
6:14.0,,,83-72,,Offensive rebound by L. Aldridge
6:12.0,,,83-74,2,L. Aldridge makes 2-pt shot from 1 ft
5:52.0,,,83-74,,Shooting block foul by D. Green (drawn by D. Augustin)
5:52.0,D. Augustin makes free throw 1 of 2,1,84-74,,
5:52.0,D. Augustin makes free throw 2 of 2,1,85-74,,
5:41.0,,,85-74,,K. Leonard misses 2-pt shot at rim
5:41.0,Defensive rebound by B. Biyombo,,85-74,,
5:31.0,S. Ibaka misses 2-pt shot from 10 ft,,85-74,,
5:30.0,,,85-74,,Defensive rebound by L. Aldridge
5:19.0,Personal block foul by E. Fournier (drawn by D. Green),,85-74,,
5:11.0,,,85-74,,T. Parker misses 2-pt shot from 10 ft
5:11.0,Defensive rebound by D. Augustin,,85-74,,
5:01.0,B. Biyombo makes 2-pt shot from 6 ft (assist by D. Augustin),2,87-74,,
5:01.0,,,87-74,,San Antonio full timeout
5:01.0,,,87-74,,P. Mills enters the game for T. Parker
5:01.0,,,87-74,,M. Ginobili enters the game for J. Simmons
4:41.0,,,87-74,,K. Leonard misses 2-pt shot from 4 ft
4:41.0,Defensive rebound by B. Biyombo,,87-74,,
4:41.0,,,87-74,,Personal foul by L. Aldridge (drawn by B. Biyombo)
4:24.0,D. Augustin misses 3-pt shot from 23 ft,,87-74,,
4:24.0,,,87-74,,Defensive rebound by L. Aldridge
4:15.0,,,87-74,,M. Ginobili misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by D. Augustin,,87-74,,
4:10.0,J. Green misses 2-pt shot from 1 ft,,87-74,,
4:08.0,Offensive rebound by D. Augustin,,87-74,,
4:04.0,S. Ibaka misses 3-pt shot from 24 ft,,87-74,,
4:02.0,,,87-74,,Defensive rebound by D. Green
3:53.0,,,87-74,,D. Green misses 3-pt shot from 24 ft
3:52.0,,,87-74,,Offensive rebound by K. Leonard
3:49.0,,,87-74,,K. Leonard misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by Team,,87-74,,
3:49.0,,,87-74,,D. Murray enters the game for P. Mills
3:26.0,J. Green makes 2-pt shot at rim (assist by E. Fournier),2,89-74,,
3:26.0,,,89-74,,San Antonio full timeout
3:26.0,,,89-74,,K. Anderson enters the game for K. Leonard
3:26.0,,,89-74,,D. Dedmon enters the game for L. Aldridge
3:26.0,,,89-74,,J. Simmons enters the game for D. Green
3:11.0,,,89-74,,Turnover by J. Simmons (lost ball; steal by S. Ibaka)
2:49.0,Turnover by E. Fournier (bad pass; steal by J. Simmons),,89-74,,
2:46.0,,,89-74,,Turnover by K. Anderson (palming)
