time,Toronto,pts.away,score,pts.home,Charlotte
2:51.0,,,76-108,,B. Roberts misses free throw 1 of 2
2:51.0,,,76-108,,Offensive rebound by Team
2:51.0,,,76-109,1,B. Roberts makes free throw 2 of 2
2:51.0,P. Siakam enters the game for T. Ross,,76-108,,
2:37.0,F. VanVleet misses 3-pt shot from 26 ft,,76-109,,
2:36.0,,,76-109,,Defensive rebound by S. Hawes
2:27.0,,,76-111,2,R. Sessions makes 2-pt shot at rim
2:05.0,F. VanVleet misses 2-pt shot from 1 ft,,76-111,,
2:04.0,,,76-111,,Defensive rebound by T. Graham
1:48.0,,,76-113,2,S. Hawes makes 2-pt shot from 12 ft (assist by B. Roberts)
1:28.0,N. Powell misses 3-pt shot from 25 ft,,76-113,,
1:27.0,,,76-113,,Defensive rebound by S. Hawes
1:04.0,,,76-113,,F. Kaminsky misses 3-pt shot from 25 ft
1:03.0,,,76-113,,Offensive rebound by T. Graham
0:52.0,,,76-113,,Turnover by T. Graham (lost ball)
0:44.0,Offensive foul by J. Poeltl,,76-113,,
0:44.0,Turnover by J. Poeltl (offensive foul),,76-113,,
0:28.0,,,76-113,,Turnover by Team (back court)
0:14.0,F. VanVleet makes 2-pt shot from 1 ft,2,78-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
