time,LA Lakers,pts.away,score,pts.home,Indiana
5:25.0,D. Russell enters the game for J. Calderon,,94-100,,
5:25.0,J. Randle enters the game for T. Black,,94-100,,
5:15.0,L. Nance makes 2-pt shot from 3 ft (assist by L. Williams),2,96-101,,
4:59.0,,,96-101,,Shooting foul by J. Randle (drawn by M. Turner)
4:59.0,,,96-102,1,M. Turner makes free throw 1 of 2
4:59.0,,,96-103,1,M. Turner makes free throw 2 of 2
4:51.0,L. Williams makes 3-pt shot from 25 ft,3,99-103,,
4:34.0,,,99-103,,J. Teague misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by J. Randle,,99-103,,
4:30.0,Turnover by J. Randle (bad pass),,99-103,,
4:24.0,,,99-103,,T. Young misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by J. Randle,,99-103,,
4:16.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,101-103,,
3:58.0,,,101-105,2,P. George makes 2-pt shot from 1 ft
3:50.0,L. Williams makes 2-pt shot from 16 ft,2,103-105,,
3:50.0,Shooting foul by M. Turner,,103-105,,
3:50.0,LA Lakers full timeout,,103-105,,
3:50.0,L. Williams makes free throw 1 of 1,1,104-105,,
3:50.0,,,103-105,,K. Seraphin enters the game for M. Turner
3:30.0,,,104-105,,M. Ellis misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by J. Randle,,104-105,,
3:16.0,J. Clarkson misses 3-pt shot from 23 ft,,104-105,,
3:14.0,Offensive rebound by L. Nance,,104-105,,
3:14.0,L. Nance makes 2-pt shot at rim,2,106-105,,
2:58.0,,,106-105,,J. Teague misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by J. Randle,,106-105,,
2:35.0,L. Williams misses 3-pt shot from 26 ft,,106-105,,
2:34.0,,,106-105,,Defensive rebound by J. Teague
2:28.0,,,106-105,,Indiana full timeout
2:28.0,,,106-105,,M. Turner enters the game for K. Seraphin
2:09.0,,,106-107,2,P. George makes 2-pt shot from 20 ft
1:55.0,J. Randle makes 2-pt shot at rim (assist by L. Williams),2,108-107,,
1:39.0,,,108-109,2,P. George makes 2-pt shot from 18 ft (assist by J. Teague)
1:26.0,L. Nance misses 2-pt shot from 19 ft,,108-109,,
1:25.0,,,108-109,,Defensive rebound by M. Ellis
1:08.0,,,108-111,2,P. George makes 2-pt shot from 18 ft
1:08.0,LA Lakers full timeout,,108-111,,
1:08.0,,,108-111,,L. Allen enters the game for M. Turner
1:02.0,D. Russell misses 3-pt shot from 27 ft,,108-111,,
1:01.0,,,108-111,,Defensive rebound by J. Teague
0:43.0,,,108-111,,P. George misses 2-pt shot from 17 ft
0:42.0,Defensive rebound by J. Randle,,108-111,,
0:34.0,J. Clarkson misses 2-pt shot from 4 ft,,108-111,,
0:33.0,,,108-111,,Defensive rebound by P. George
0:33.0,Personal foul by J. Clarkson (drawn by P. George),,108-111,,
0:33.0,,,108-111,,Indiana full timeout
0:33.0,,,108-111,,Indiana full timeout
0:33.0,,,108-111,,M. Turner enters the game for L. Allen
0:32.0,Personal foul by J. Randle (drawn by P. George),,108-111,,
0:32.0,,,108-112,1,P. George makes free throw 1 of 2
0:32.0,,,108-113,1,P. George makes free throw 2 of 2
0:32.0,LA Lakers full timeout,,108-113,,
0:32.0,,,108-112,,L. Allen enters the game for M. Turner
0:29.0,D. Russell misses 3-pt shot from 24 ft (block by M. Ellis),,108-113,,
0:28.0,,,108-113,,Defensive rebound by P. George
0:17.0,Personal take foul by J. Randle (drawn by P. George),,108-113,,
0:17.0,,,108-114,1,P. George makes free throw 1 of 2
0:17.0,,,108-115,1,P. George makes free throw 2 of 2
0:17.0,LA Lakers full timeout,,108-115,,
0:17.0,T. Black enters the game for J. Randle,,108-113,,
0:17.0,L. Deng enters the game for T. Black,,108-115,,
0:14.0,L. Williams misses 3-pt shot from 24 ft,,108-115,,
0:14.0,,,108-115,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
