time,Portland,pts.away,score,pts.home,Philadelphia
7:33.0,E. Turner enters the game for M. Harkless,,83-79,,
7:33.0,M. Plumlee enters the game for E. Davis,,83-79,,
7:20.0,,,84-81,2,T. Luwawu-Cabarrot makes 2-pt shot from 3 ft
6:58.0,E. Turner misses 2-pt shot from 14 ft,,84-81,,
6:57.0,,,84-81,,Defensive rebound by G. Henderson
6:48.0,,,84-81,,D. Saric misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by M. Plumlee,,84-81,,
6:34.0,M. Plumlee misses 2-pt shot from 16 ft,,84-81,,
6:33.0,,,84-81,,Defensive rebound by G. Henderson
6:20.0,,,84-81,,T. McConnell misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by Team,,84-81,,
6:18.0,,,84-81,,E. Ilyasova enters the game for D. Saric
6:05.0,E. Turner misses 2-pt shot from 16 ft,,84-81,,
6:04.0,,,84-81,,Defensive rebound by E. Ilyasova
5:53.0,,,84-83,2,T. McConnell makes 2-pt shot from 13 ft
5:52.0,Portland full timeout,,84-83,,
5:52.0,C. McCollum enters the game for N. Vonleh,,84-83,,
5:52.0,A. Aminu enters the game for A. Crabbe,,84-83,,
5:52.0,,,84-83,,R. Covington enters the game for T. Luwawu-Cabarrot
5:40.0,,,84-83,,Shooting block foul by E. Ilyasova (drawn by M. Plumlee)
5:40.0,M. Plumlee makes free throw 1 of 2,1,85-83,,
5:40.0,M. Plumlee makes free throw 2 of 2,1,86-83,,
5:22.0,,,86-83,,G. Henderson misses 2-pt shot from 3 ft
5:20.0,Jump ball: G. Henderson vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: G. Henderson vs. M. Plumlee (D. Lillard gains possession)
5:20.0,Defensive rebound by Team,,86-83,,
5:14.0,D. Lillard misses 3-pt shot from 26 ft,,86-83,,
5:10.0,Offensive rebound by M. Plumlee,,86-83,,
5:07.0,C. McCollum misses 3-pt shot from 25 ft,,86-83,,
5:05.0,,,86-83,,Defensive rebound by R. Covington
4:47.0,,,86-83,,N. Noel misses 2-pt shot from 13 ft
4:46.0,,,86-83,,Offensive rebound by Team
4:46.0,Loose ball foul by D. Lillard (drawn by E. Ilyasova),,86-83,,
4:46.0,,,86-83,,D. Saric enters the game for N. Noel
4:30.0,,,86-83,,E. Ilyasova misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by A. Aminu,,86-83,,
4:20.0,D. Lillard misses 2-pt shot from 2 ft,,86-83,,
4:17.0,,,86-83,,Defensive rebound by R. Covington
4:14.0,,,86-83,,R. Covington misses 2-pt shot from 7 ft (block by E. Turner)
4:13.0,Jump ball: R. Covington vs. E. Turner (D. Saric gains possession),,,,Jump ball: R. Covington vs. E. Turner (D. Saric gains possession)
4:13.0,,,86-83,,Offensive rebound by Team
4:06.0,,,86-83,,Turnover by D. Saric (lost ball)
3:49.0,A. Aminu misses 2-pt shot from 7 ft,,86-83,,
3:47.0,,,86-83,,Defensive rebound by D. Saric
3:24.0,,,86-83,,G. Henderson misses 2-pt shot from 13 ft
3:23.0,,,86-83,,Offensive rebound by E. Ilyasova
3:21.0,,,86-83,,E. Ilyasova misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by A. Aminu,,86-83,,
3:05.0,D. Lillard makes 2-pt shot from 20 ft,2,88-83,,
3:04.0,,,88-83,,Philadelphia full timeout
2:50.0,,,88-83,,R. Covington misses 3-pt shot from 27 ft
2:48.0,,,88-83,,Offensive rebound by G. Henderson
2:48.0,,,88-85,2,G. Henderson makes 2-pt shot from 1 ft
2:28.0,E. Turner misses 2-pt shot from 21 ft,,88-85,,
2:27.0,,,88-85,,Defensive rebound by D. Saric
2:17.0,,,88-87,2,T. McConnell makes 2-pt shot from 5 ft
1:56.0,D. Lillard makes 2-pt shot from 19 ft,2,90-87,,
1:39.0,,,90-87,,E. Ilyasova misses 2-pt shot from 14 ft
1:35.0,Defensive rebound by M. Plumlee,,90-87,,
1:18.0,Offensive charge foul by D. Lillard,,90-87,,
1:18.0,Turnover by D. Lillard (offensive foul),,90-87,,
1:08.0,,,90-87,,D. Saric misses 2-pt shot from 6 ft (block by M. Plumlee)
1:07.0,,,90-87,,Offensive rebound by Team
1:07.0,,,90-87,,Philadelphia full timeout
1:00.0,,,90-87,,T. McConnell misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by M. Plumlee,,90-87,,
0:59.0,,,90-87,,Personal foul by T. McConnell (drawn by M. Plumlee)
0:59.0,M. Plumlee misses free throw 1 of 2,,90-87,,
0:59.0,Offensive rebound by Team,,90-87,,
0:59.0,M. Plumlee makes free throw 2 of 2,1,91-87,,
0:43.0,,,91-87,,G. Henderson misses 3-pt shot from 23 ft
0:40.0,,,91-87,,Offensive rebound by D. Saric
0:38.0,,,91-90,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
0:38.0,Portland full timeout,,91-90,,
0:38.0,A. Crabbe enters the game for E. Turner,,91-90,,
0:32.0,C. McCollum misses 2-pt shot from 19 ft,,91-90,,
0:31.0,,,91-90,,Defensive rebound by G. Henderson
0:18.0,,,91-90,,D. Saric misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by D. Lillard,,91-90,,
0:15.0,,,91-90,,Personal foul by G. Henderson (drawn by D. Lillard)
0:15.0,D. Lillard makes free throw 1 of 2,1,92-90,,
0:15.0,D. Lillard misses free throw 2 of 2,,92-90,,
0:15.0,E. Turner enters the game for A. Crabbe,,92-90,,
0:14.0,,,92-90,,Defensive rebound by E. Ilyasova
0:05.0,,,92-93,3,R. Covington makes 3-pt shot from 28 ft (assist by T. McConnell)
0:05.0,Portland full timeout,,92-93,,
0:05.0,A. Crabbe enters the game for E. Turner,,92-93,,
0:05.0,,,92-93,,N. Noel enters the game for D. Saric
0:01.0,M. Plumlee misses 2-pt shot from 3 ft,,92-93,,
0:00.0,Offensive rebound by Team,,92-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
