time,Washington,pts.away,score,pts.home,Golden State
5:20.0,,,105-116,,S. Curry misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by B. Bogdanovic,,105-116,,
5:05.0,T. Satoransky makes 2-pt shot from 15 ft (assist by B. Jennings),2,107-116,,
4:50.0,,,107-118,2,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green)
4:50.0,,,107-118,,Shooting foul by B. Jennings (drawn by S. Livingston)
4:50.0,,,107-119,1,S. Livingston makes free throw 1 of 1
4:36.0,B. Bogdanovic misses 3-pt shot from 26 ft,,107-119,,
4:36.0,,,107-119,,Defensive rebound by D. Green
4:31.0,,,107-121,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
4:31.0,Washington full timeout,,107-121,,
4:22.0,I. Mahinmi makes 2-pt shot from 5 ft (assist by T. Satoransky),2,109-121,,
4:09.0,,,109-121,,Shooting foul by I. Mahinmi (drawn by D. West)
4:09.0,,,109-122,1,D. West makes free throw 1 of 2
4:09.0,,,109-123,1,D. West makes free throw 2 of 2
3:42.0,K. Oubre misses 3-pt shot from 27 ft,,109-123,,
3:41.0,Offensive rebound by B. Bogdanovic,,109-123,,
3:41.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,111-123,,
3:31.0,Personal foul by I. Mahinmi (drawn by M. Barnes),,111-123,,
3:31.0,,,111-124,1,M. Barnes makes free throw 1 of 2
3:31.0,,,111-125,1,M. Barnes makes free throw 2 of 2
3:10.0,B. Bogdanovic misses 2-pt shot from 14 ft,,111-125,,
3:09.0,,,111-125,,Defensive rebound by S. Livingston
2:52.0,,,111-128,3,S. Curry makes 3-pt shot from 27 ft
2:39.0,I. Mahinmi makes 2-pt shot from 10 ft,2,113-128,,
2:25.0,,,113-128,,M. Barnes misses 3-pt shot from 24 ft
2:24.0,,,113-128,,Offensive rebound by D. West
2:17.0,,,113-128,,D. Green misses 3-pt shot from 27 ft
2:17.0,Defensive rebound by B. Bogdanovic,,113-128,,
2:08.0,B. Jennings makes 2-pt shot from 1 ft,2,115-128,,
2:07.0,,,115-128,,Golden State full timeout
2:07.0,D. Ochefu enters the game for I. Mahinmi,,115-128,,
2:07.0,,,115-128,,J. McGee enters the game for D. West
1:53.0,,,115-128,,D. Green misses 2-pt shot from 3 ft
1:52.0,,,115-128,,Offensive rebound by J. McGee
1:52.0,,,115-128,,J. McGee misses 2-pt shot from 2 ft
1:51.0,,,115-128,,Offensive rebound by J. McGee
1:51.0,,,115-128,,J. McGee misses 2-pt shot from 1 ft
1:50.0,,,115-128,,Offensive rebound by J. McGee
1:50.0,,,115-130,2,J. McGee makes 2-pt shot from 1 ft
1:39.0,B. Jennings misses 3-pt shot from 26 ft,,115-130,,
1:38.0,Offensive rebound by D. Ochefu,,115-130,,
1:31.0,D. Ochefu misses 2-pt shot from 1 ft (block by J. McGee),,115-130,,
1:27.0,,,115-130,,Defensive rebound by D. Green
1:20.0,,,115-132,2,S. Curry makes 2-pt shot from 14 ft
1:07.0,K. Oubre misses 3-pt shot from 24 ft (block by D. Green),,115-132,,
1:07.0,,,115-132,,Defensive rebound by S. Livingston
1:00.0,,,115-134,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
0:47.0,D. Ochefu misses 2-pt shot from 17 ft,,115-134,,
0:47.0,,,115-134,,Defensive rebound by D. Green
0:35.0,,,115-137,3,D. Green makes 3-pt shot from 26 ft (assist by M. Barnes)
0:26.0,T. Satoransky misses 3-pt shot from 28 ft (block by M. Barnes),,115-137,,
0:25.0,,,115-137,,Defensive rebound by M. Barnes
0:07.0,Flagrant foul type 1 by B. Jennings (drawn by J. McGee),,115-137,,
0:07.0,,,115-137,,J. McGee misses flagrant free throw 1 of 3
0:07.0,,,115-137,,Offensive rebound by Team
0:07.0,,,115-138,1,J. McGee makes flagrant free throw 2 of 3
0:07.0,,,115-139,1,J. McGee makes flagrant free throw 3 of 3
0:07.0,Washington full timeout,,115-139,,
0:07.0,,,115-139,,P. McCaw enters the game for D. Green
0:07.0,,,115-139,,J. McAdoo enters the game for S. Curry
0:00.0,End of 4th quarter,,,,End of 4th quarter
