time,Washington,pts.away,score,pts.home,Houston
1:27.0,,,89-97,,Defensive rebound by T. Ariza
1:22.0,,,89-97,,E. Gordon misses 3-pt shot from 26 ft
1:20.0,,,89-97,,Offensive rebound by M. Harrell
1:19.0,,,89-99,2,E. Gordon makes 2-pt shot from 2 ft (assist by M. Harrell)
1:19.0,Washington full timeout,,89-99,,
1:16.0,Offensive foul by M. Morris,,89-99,,
1:16.0,Turnover by M. Morris (offensive foul),,89-99,,
0:51.0,,,89-99,,J. Harden misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by M. Gortat,,89-99,,
0:39.0,,,89-99,,Personal foul by M. Harrell (drawn by J. Wall)
0:31.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,91-99,,
0:10.0,,,91-101,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
0:00.0,End of 4th quarter,,,,End of 4th quarter
