time,Charlotte,pts.away,score,pts.home,Cleveland
2:48.0,,,87-94,,C. Frye misses 3-pt shot from 23 ft
2:47.0,Defensive rebound by N. Batum,,87-94,,
2:26.0,K. Walker misses 3-pt shot from 25 ft,,87-94,,
2:26.0,,,87-94,,Defensive rebound by L. James
2:13.0,,,87-94,,J. McRae misses 2-pt shot from 6 ft
2:12.0,Defensive rebound by M. Williams,,87-94,,
1:58.0,M. Williams misses 3-pt shot from 26 ft,,87-94,,
1:58.0,Offensive rebound by C. Zeller,,87-94,,
1:54.0,M. Williams makes 3-pt shot from 24 ft (assist by C. Zeller),3,90-94,,
1:30.0,,,90-94,,Cleveland full timeout
1:30.0,Personal foul by M. Williams (drawn by J. McRae),,90-94,,
1:22.0,,,90-96,2,J. McRae makes 2-pt shot from 9 ft (assist by L. James)
1:00.0,N. Batum misses 2-pt shot from 16 ft,,90-96,,
1:00.0,,,90-96,,Defensive rebound by I. Shumpert
0:43.0,,,90-99,3,L. James makes 3-pt shot from 25 ft (assist by J. McRae)
0:43.0,Charlotte full timeout,,90-99,,
0:43.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,90-99,,
0:37.0,K. Walker makes 2-pt shot from 1 ft,2,92-99,,
0:37.0,Shooting foul by C. Frye (drawn by K. Walker),,92-99,,
0:37.0,K. Walker makes free throw 1 of 1,1,93-99,,
0:37.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,92-99,,
0:34.0,,,93-99,,Cleveland full timeout
0:25.0,Personal foul by M. Kidd-Gilchrist (drawn by L. James),,93-99,,
0:25.0,,,93-99,,L. James misses free throw 1 of 2
0:25.0,,,93-99,,Offensive rebound by Team
0:25.0,,,93-100,1,L. James makes free throw 2 of 2
0:25.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,93-99,,
0:17.0,K. Walker misses 2-pt shot from 6 ft,,93-100,,
0:16.0,Offensive rebound by M. Williams,,93-100,,
0:16.0,M. Williams misses 2-pt shot from 1 ft,,93-100,,
0:15.0,,,93-100,,Defensive rebound by L. James
0:00.0,End of 4th quarter,,,,End of 4th quarter
