time,Orlando,pts.away,score,pts.home,Golden State
7:00.0,,,78-114,2,J. McAdoo makes 2-pt shot at rim (assist by P. McCaw)
6:44.0,S. Zimmerman misses 2-pt shot from 3 ft (block by J. McAdoo),,78-114,,
6:44.0,Offensive rebound by Team,,78-114,,
6:44.0,,,78-114,,K. Looney enters the game for D. West
6:42.0,S. Zimmerman makes 2-pt shot at rim (assist by M. Hezonja),2,80-114,,
6:15.0,,,80-114,,Turnover by Team (shot clock)
6:03.0,S. Zimmerman misses 2-pt shot from 6 ft (block by J. McAdoo),,80-114,,
6:02.0,,,80-114,,Defensive rebound by K. Looney
5:53.0,Personal foul by D. Rudez (drawn by J. McAdoo),,80-114,,
5:53.0,,,80-114,,Golden State full timeout
5:53.0,,,80-114,,M. Barnes enters the game for S. Livingston
5:40.0,,,80-114,,I. Clark misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by M. Hezonja,,80-114,,
5:23.0,Turnover by D. Rudez (bad pass; steal by I. Clark),,80-114,,
5:13.0,,,80-114,,K. Looney misses 2-pt shot from 13 ft
5:12.0,Defensive rebound by S. Zimmerman,,80-114,,
5:00.0,Turnover by C. Watson (bad pass),,80-114,,
4:44.0,,,80-114,,M. Barnes misses 2-pt shot from 1 ft
4:44.0,Defensive rebound by S. Zimmerman,,80-114,,
4:39.0,C. Watson makes 3-pt shot from 27 ft (assist by S. Zimmerman),3,83-114,,
4:13.0,,,83-116,2,J. McAdoo makes 2-pt shot from 14 ft (assist by M. Barnes)
4:01.0,C. Watson misses 2-pt shot from 17 ft,,83-116,,
4:00.0,,,83-116,,Defensive rebound by K. Looney
3:50.0,,,83-116,,Shooting foul by D. Rudez (drawn by J. McAdoo)
3:50.0,,,83-116,,J. McAdoo misses free throw 1 of 2
3:50.0,,,83-116,,Offensive rebound by Team
3:50.0,,,83-116,,J. McAdoo misses free throw 2 of 2
3:49.0,Defensive rebound by S. Zimmerman,,83-116,,
3:31.0,C. Wilcox makes 2-pt shot from 18 ft,2,85-116,,
3:12.0,,,85-116,,Turnover by M. Barnes (bad pass; steal by C. Wilcox)
3:08.0,M. Hezonja misses 2-pt shot from 3 ft (block by M. Barnes),,85-116,,
3:08.0,Offensive rebound by Team,,85-116,,
3:06.0,Turnover by M. Hezonja (bad pass; steal by J. McAdoo),,85-116,,
3:01.0,,,85-116,,Shooting foul by S. Zimmerman (drawn by J. McAdoo)
3:01.0,,,85-116,,J. McAdoo misses free throw 1 of 2
3:01.0,,,85-116,,Offensive rebound by Team
3:01.0,,,85-116,,J. McAdoo misses free throw 2 of 2
3:00.0,Defensive rebound by M. Hezonja,,85-116,,
2:46.0,Turnover by C. Wilcox (bad pass; steal by K. Looney),,85-116,,
2:40.0,,,85-118,2,K. Looney makes 2-pt shot at rim (assist by P. McCaw)
2:18.0,C. Wilcox misses 2-pt shot from 2 ft,,85-118,,
2:17.0,Offensive rebound by S. Zimmerman,,85-118,,
2:12.0,D. Rudez misses 3-pt shot from 26 ft,,85-118,,
2:11.0,,,85-118,,Defensive rebound by I. Clark
2:00.0,,,85-118,,Turnover by I. Clark (bad pass; steal by M. Hezonja)
1:56.0,,,85-118,,Violation by P. McCaw (def goaltending)
1:56.0,M. Hezonja makes 2-pt shot from 2 ft,2,87-118,,
1:56.0,Shooting foul by M. Barnes (drawn by M. Hezonja),,87-118,,
1:56.0,Orlando full timeout,,87-118,,
1:56.0,M. Hezonja misses free throw 1 of 1,,87-118,,
1:55.0,Offensive rebound by S. Zimmerman,,87-118,,
1:51.0,Turnover by M. Hezonja (traveling),,87-118,,
1:35.0,,,87-118,,K. Looney misses 2-pt shot from 6 ft
1:33.0,Defensive rebound by M. Hezonja,,87-118,,
1:28.0,M. Hezonja makes 2-pt shot from 6 ft,2,89-118,,
1:10.0,,,89-120,2,I. Clark makes 2-pt shot from 21 ft
0:57.0,M. Hezonja misses 3-pt shot from 27 ft,,89-120,,
0:56.0,,,89-120,,Defensive rebound by J. McAdoo
0:53.0,,,89-120,,Turnover by P. McCaw (bad pass)
0:32.0,C. Wilcox misses 2-pt shot from 22 ft,,89-120,,
0:31.0,,,89-120,,Defensive rebound by M. Barnes
0:11.0,,,89-122,2,J. McAdoo makes 2-pt shot at rim (assist by K. Looney)
0:03.0,C. Watson makes 3-pt shot from 25 ft (assist by M. Hezonja),3,92-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
