time,Boston,pts.away,score,pts.home,Washington
4:15.0,,,28-52,1,J. Wall makes free throw 2 of 2
4:15.0,T. Zeller enters the game for J. Jerebko,,28-51,,
4:15.0,K. Olynyk enters the game for A. Johnson,,28-51,,
3:53.0,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Zeller),2,30-52,,
3:42.0,,,30-52,,J. Wall misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by T. Zeller,,30-52,,
3:24.0,,,30-52,,Personal foul by M. Thornton (drawn by K. Olynyk)
3:15.0,,,30-52,,Def 3 sec tech foul by M. Gortat
3:15.0,I. Thomas makes technical free throw,1,31-52,,
3:08.0,Turnover by I. Thomas (bad pass; steal by M. Thornton),,31-52,,
3:02.0,,,31-52,,O. Porter misses 2-pt shot from 3 ft (block by A. Bradley)
2:59.0,Defensive rebound by M. Smart,,31-52,,
2:47.0,A. Bradley makes 3-pt shot from 27 ft,3,34-52,,
2:27.0,,,34-52,,J. Wall misses 2-pt shot from 12 ft
2:26.0,,,34-52,,Offensive rebound by M. Thornton
2:20.0,,,34-54,2,M. Thornton makes 2-pt shot from 1 ft (assist by M. Gortat)
2:06.0,I. Thomas makes 2-pt shot from 7 ft,2,36-54,,
2:06.0,Shooting foul by J. Wall (drawn by I. Thomas),,36-54,,
2:06.0,Official timeout,,36-54,,
2:06.0,I. Thomas makes free throw 1 of 1,1,37-54,,
1:43.0,,,37-56,2,O. Porter makes 2-pt shot from 20 ft
1:23.0,T. Zeller makes 2-pt shot from 1 ft (assist by I. Thomas),2,39-56,,
1:00.0,,,39-58,2,M. Thornton makes 2-pt shot from 12 ft (assist by J. Wall)
0:49.0,Turnover by A. Bradley (bad pass; steal by O. Porter),,39-58,,
0:46.0,,,39-58,,Turnover by M. Thornton (bad pass; steal by A. Bradley)
0:43.0,A. Bradley makes 2-pt shot at rim,2,41-58,,
0:39.0,,,41-58,,Offensive charge foul by J. Wall
0:39.0,,,41-58,,Turnover by J. Wall (offensive foul)
0:31.0,I. Thomas makes 2-pt shot from 1 ft,2,43-58,,
0:06.0,,,43-58,,T. Satoransky misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by K. Olynyk,,43-58,,
0:01.0,M. Smart misses 2-pt shot from 6 ft,,43-58,,
0:00.0,Offensive rebound by Team,,43-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,43-58,,B. Beal misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by K. Olynyk,,43-58,,
11:20.0,K. Olynyk misses 3-pt shot from 25 ft,,43-58,,
11:19.0,,,43-58,,Defensive rebound by M. Gortat
11:07.0,,,43-58,,B. Beal misses 2-pt shot from 4 ft
11:06.0,,,43-58,,Offensive rebound by B. Beal
11:02.0,,,43-60,2,B. Beal makes 2-pt shot from 2 ft
10:52.0,M. Smart misses 2-pt shot from 15 ft,,43-60,,
10:51.0,,,43-60,,Defensive rebound by O. Porter
10:45.0,,,43-62,2,M. Morris makes 2-pt shot from 2 ft (assist by O. Porter)
10:32.0,I. Thomas misses 2-pt shot from 4 ft,,43-62,,
10:31.0,,,43-62,,Defensive rebound by B. Beal
10:07.0,,,43-62,,B. Beal misses 2-pt shot from 18 ft
10:06.0,Defensive rebound by I. Thomas,,43-62,,
9:56.0,A. Bradley makes 2-pt shot from 17 ft (assist by K. Olynyk),2,45-62,,
9:36.0,,,45-62,,Shooting foul by K. Olynyk (drawn by B. Beal)
9:36.0,,,45-63,1,B. Beal makes free throw 1 of 2
9:36.0,,,45-63,,B. Beal misses free throw 2 of 2
9:34.0,,,45-63,,Offensive rebound by Team
9:27.0,,,45-63,,M. Morris misses 2-pt shot from 16 ft
9:26.0,,,45-63,,Offensive rebound by M. Gortat
9:22.0,,,45-65,2,M. Gortat makes 2-pt shot from 2 ft
9:11.0,M. Smart misses 2-pt shot from 1 ft (block by M. Gortat),,45-65,,
9:08.0,Offensive rebound by A. Johnson,,45-65,,
9:04.0,A. Johnson makes 2-pt shot from 1 ft,2,47-65,,
8:57.0,,,47-65,,M. Morris misses 2-pt shot from 13 ft
8:55.0,Defensive rebound by I. Thomas,,47-65,,
8:49.0,K. Olynyk misses 3-pt shot from 25 ft,,47-65,,
8:47.0,,,47-65,,Defensive rebound by B. Beal
8:32.0,,,47-65,,J. Wall misses 2-pt shot from 5 ft (block by A. Johnson)
8:29.0,,,47-65,,Offensive rebound by O. Porter
8:26.0,,,47-67,2,O. Porter makes 2-pt shot from 2 ft
8:16.0,Turnover by M. Smart (bad pass; steal by J. Wall),,47-67,,
8:06.0,,,47-67,,Turnover by J. Wall (bad pass; steal by M. Smart)
8:06.0,Turnover by I. Thomas (bad pass; steal by B. Beal),,47-67,,
8:06.0,Personal foul by M. Smart (drawn by B. Beal),,47-67,,
8:06.0,,,47-67,,Washington full timeout
8:06.0,,,47-67,,M. Thornton enters the game for B. Beal
7:54.0,,,47-69,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
7:37.0,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas),3,50-69,,
7:20.0,,,50-69,,M. Morris misses 2-pt shot from 13 ft
7:19.0,,,50-69,,Offensive rebound by O. Porter
7:19.0,,,50-69,,Shooting foul by I. Thomas (drawn by O. Porter)
7:19.0,,,50-70,1,O. Porter makes free throw 1 of 2
7:19.0,,,50-71,1,O. Porter makes free throw 2 of 2
7:06.0,I. Thomas misses 3-pt shot from 24 ft,,50-71,,
7:05.0,,,50-71,,Defensive rebound by J. Wall
6:42.0,,,50-71,,Turnover by J. Wall (lost ball; steal by A. Johnson)
6:36.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas),2,52-71,,
6:21.0,,,52-71,,M. Morris misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by A. Johnson,,52-71,,
6:09.0,,,52-71,,Personal foul by O. Porter (drawn by M. Smart)
6:04.0,Jump ball: M. Morris vs. K. Olynyk (M. Smart gains possession),,,,Jump ball: M. Morris vs. K. Olynyk (M. Smart gains possession)
5:59.0,M. Smart makes 2-pt shot from 2 ft,2,54-71,,
5:59.0,Shooting foul by O. Porter (drawn by M. Smart),,54-71,,
5:59.0,M. Smart makes free throw 1 of 1,1,55-71,,
5:43.0,,,55-71,,M. Thornton misses 2-pt shot from 15 ft
5:43.0,,,55-71,,Offensive rebound by Team
5:34.0,,,55-71,,M. Thornton misses 2-pt shot from 8 ft
5:33.0,Defensive rebound by K. Olynyk,,55-71,,
5:31.0,,,55-71,,Personal foul by M. Gortat (drawn by A. Johnson)
5:31.0,Personal foul by A. Johnson,,55-71,,
5:31.0,T. Rozier enters the game for A. Bradley,,55-71,,
5:15.0,M. Smart misses 3-pt shot from 24 ft,,55-71,,
5:15.0,,,55-71,,Defensive rebound by M. Morris
5:02.0,,,55-71,,O. Porter misses 2-pt shot from 21 ft
5:02.0,Defensive rebound by I. Thomas,,55-71,,
4:57.0,I. Thomas misses 2-pt shot from 5 ft,,55-71,,
4:56.0,,,55-71,,Defensive rebound by M. Thornton
4:52.0,,,55-73,2,J. Wall makes 2-pt shot from 2 ft
4:42.0,I. Thomas misses 2-pt shot from 10 ft,,55-73,,
4:42.0,,,55-73,,Defensive rebound by Team
4:30.0,,,55-75,2,J. Wall makes 2-pt shot from 1 ft
4:30.0,,,55-75,,Shooting foul by A. Johnson (drawn by J. Wall)
4:30.0,,,55-76,1,J. Wall makes free throw 1 of 1
4:30.0,T. Zeller enters the game for A. Johnson,,55-75,,
4:30.0,J. Brown enters the game for K. Olynyk,,55-75,,
4:12.0,Turnover by T. Rozier (lost ball; steal by O. Porter),,55-76,,
4:10.0,,,55-76,,Shooting foul by I. Thomas (drawn by M. Thornton)
4:10.0,,,55-77,1,M. Thornton makes free throw 1 of 2
4:10.0,,,55-78,1,M. Thornton makes free throw 2 of 2
4:10.0,A. Bradley enters the game for I. Thomas,,55-77,,
3:56.0,T. Zeller makes 2-pt shot from 2 ft (assist by T. Rozier),2,57-78,,
3:34.0,,,57-80,2,J. Wall makes 2-pt shot from 15 ft
3:13.0,M. Smart makes 3-pt shot from 29 ft (assist by A. Bradley),3,60-80,,
