time,Utah,pts.away,score,pts.home,Washington
4:11.0,,,93-80,,J. Wall misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by J. Ingles,,93-80,,
3:52.0,G. Hayward misses 2-pt shot from 19 ft,,93-80,,
3:51.0,,,93-80,,Defensive rebound by O. Porter
3:42.0,,,93-82,2,B. Beal makes 2-pt shot from 14 ft
3:21.0,Turnover by R. Gobert (traveling),,93-82,,
3:11.0,,,93-85,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
2:45.0,J. Johnson misses 3-pt shot from 24 ft,,93-85,,
2:45.0,Offensive rebound by G. Hayward,,93-85,,
2:42.0,G. Hayward makes 2-pt shot from 4 ft,2,95-85,,
2:28.0,,,95-87,2,B. Beal makes 2-pt shot from 1 ft
2:28.0,Utah full timeout,,95-87,,
2:28.0,R. Hood enters the game for J. Ingles,,95-87,,
2:07.0,R. Hood misses 2-pt shot from 17 ft,,95-87,,
2:06.0,,,95-87,,Defensive rebound by O. Porter
2:03.0,Personal foul by J. Johnson (drawn by J. Wall),,95-87,,
2:01.0,,,95-87,,Shooting foul by G. Hayward (drawn by B. Bogdanovic)
2:01.0,,,95-88,1,B. Bogdanovic makes free throw 1 of 2
2:01.0,,,95-89,1,B. Bogdanovic makes free throw 2 of 2
1:44.0,G. Hayward makes 3-pt shot from 26 ft,3,98-89,,
1:37.0,,,98-89,,Turnover by J. Wall (bad pass; steal by R. Hood)
1:18.0,G. Hayward makes 2-pt shot from 20 ft,2,100-89,,
1:18.0,,,100-89,,Washington full timeout
1:15.0,,,100-91,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
1:15.0,,,100-91,,Shooting foul by R. Gobert (drawn by J. Wall)
1:15.0,,,100-92,1,J. Wall makes free throw 1 of 1
1:15.0,,,100-92,,Inbound foul by B. Beal
1:15.0,G. Hayward misses free throw 1 of 1,,100-92,,
1:15.0,Offensive rebound by Team,,100-92,,
1:02.0,Turnover by G. Hill (bad pass; steal by M. Gortat),,100-92,,
0:59.0,,,100-92,,B. Beal misses 3-pt shot from 28 ft
0:57.0,Defensive rebound by R. Gobert,,100-92,,
0:57.0,,,100-92,,Personal foul by O. Porter (drawn by R. Gobert)
0:57.0,R. Gobert makes free throw 1 of 2,1,101-92,,
0:57.0,R. Gobert makes free throw 2 of 2,1,102-92,,
0:51.0,,,102-92,,J. Wall misses 2-pt shot from 2 ft (block by R. Gobert)
0:49.0,Defensive rebound by G. Hayward,,102-92,,
0:44.0,Utah full timeout,,102-92,,
0:43.0,,,102-92,,T. Burke enters the game for O. Porter
0:43.0,,,102-92,,D. Ochefu enters the game for M. Gortat
0:43.0,,,102-92,,T. Satoransky enters the game for B. Beal
0:43.0,,,102-92,,S. Mac enters the game for J. Wall
0:43.0,,,102-92,,K. Oubre enters the game for B. Bogdanovic
0:43.0,Turnover by R. Hood (traveling),,102-92,,
0:35.0,,,102-92,,D. Ochefu misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by R. Hood,,102-92,,
0:14.0,G. Hill misses 2-pt shot from 7 ft,,102-92,,
0:14.0,,,102-92,,Defensive rebound by Team
0:07.0,,,102-92,,K. Oubre misses 2-pt shot from 2 ft (block by R. Gobert)
0:06.0,,,102-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
