time,LA Clippers,pts.away,score,pts.home,Memphis
6:47.0,,,84-66,,Shooting foul by M. Speights (drawn by Z. Randolph)
6:47.0,,,84-67,1,Z. Randolph makes free throw 1 of 2
6:47.0,,,84-68,1,Z. Randolph makes free throw 2 of 2
6:47.0,C. Paul enters the game for J. Crawford,,84-67,,
6:47.0,,,84-67,,J. Ennis enters the game for V. Carter
6:31.0,A. Rivers misses 2-pt shot from 3 ft (block by M. Conley),,84-68,,
6:31.0,,,84-68,,Defensive rebound by J. Ennis
6:31.0,Personal foul by M. Speights (drawn by J. Ennis),,84-68,,
6:31.0,D. Jordan enters the game for M. Speights,,84-68,,
6:18.0,,,84-68,,Turnover by T. Daniels (bad pass; steal by C. Paul)
6:11.0,R. Felton makes 3-pt shot from 25 ft (assist by C. Paul),3,87-68,,
6:08.0,,,87-68,,Memphis full timeout
6:08.0,,,87-68,,T. Williams enters the game for T. Daniels
6:08.0,J. Redick enters the game for A. Rivers,,87-68,,
5:55.0,,,87-70,2,J. Ennis makes 2-pt shot from 2 ft (assist by M. Gasol)
5:29.0,D. Jordan misses 2-pt shot from 3 ft,,87-70,,
5:27.0,,,87-70,,Defensive rebound by M. Gasol
5:21.0,Personal foul by B. Griffin (drawn by Z. Randolph),,87-70,,
5:21.0,,,87-70,,Z. Randolph misses free throw 1 of 2
5:21.0,,,87-70,,Offensive rebound by Team
5:21.0,,,87-71,1,Z. Randolph makes free throw 2 of 2
4:59.0,R. Felton misses 2-pt shot from 22 ft,,87-71,,
4:57.0,,,87-71,,Defensive rebound by J. Ennis
4:46.0,Personal foul by B. Griffin (drawn by M. Gasol),,87-71,,
4:46.0,,,87-72,1,M. Gasol makes free throw 1 of 2
4:46.0,,,87-73,1,M. Gasol makes free throw 2 of 2
4:40.0,,,87-73,,Personal foul by T. Williams (drawn by J. Redick)
4:32.0,J. Redick misses 2-pt shot from 23 ft,,87-73,,
4:31.0,,,87-73,,Defensive rebound by Z. Randolph
4:21.0,,,87-73,,M. Gasol misses 3-pt shot from 25 ft
4:20.0,,,87-73,,Offensive rebound by J. Ennis
4:15.0,,,87-73,,Turnover by J. Ennis (bad pass; steal by J. Redick)
4:06.0,Turnover by J. Redick (bad pass; steal by J. Ennis),,87-73,,
4:02.0,,,87-73,,J. Ennis misses 2-pt shot from 3 ft (block by C. Paul)
4:02.0,,,87-73,,Offensive rebound by Team
4:02.0,J. Crawford enters the game for R. Felton,,87-73,,
3:51.0,,,87-75,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley)
3:31.0,,,87-75,,Personal foul by T. Williams (drawn by J. Redick)
3:22.0,C. Paul misses 2-pt shot from 16 ft,,87-75,,
3:20.0,,,87-75,,Defensive rebound by M. Gasol
3:14.0,,,87-77,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
3:14.0,LA Clippers full timeout,,87-77,,
2:52.0,C. Paul makes 2-pt shot from 15 ft,2,89-77,,
2:37.0,,,89-80,3,M. Conley makes 3-pt shot from 25 ft (assist by J. Ennis)
2:20.0,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul),3,92-80,,
2:00.0,Personal foul by C. Paul (drawn by M. Gasol),,92-80,,
2:00.0,,,92-81,1,M. Gasol makes free throw 1 of 2
2:00.0,,,92-82,1,M. Gasol makes free throw 2 of 2
2:00.0,,,92-81,,J. Green enters the game for Z. Randolph
1:52.0,Offensive foul by D. Jordan,,92-82,,
1:52.0,Turnover by D. Jordan (offensive foul),,92-82,,
1:36.0,,,92-82,,J. Green misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by D. Jordan,,92-82,,
1:18.0,,,92-82,,Personal foul by J. Ennis (drawn by C. Paul)
1:04.0,C. Paul misses 3-pt shot from 26 ft,,92-82,,
1:04.0,,,92-82,,Defensive rebound by Team
0:55.0,,,92-82,,Shooting foul by J. Crawford (drawn by M. Conley)
0:55.0,,,92-83,1,M. Conley makes free throw 1 of 2
0:55.0,,,92-83,,M. Conley misses free throw 2 of 2
0:55.0,,,92-83,,J. Martin enters the game for M. Gasol
0:54.0,Defensive rebound by D. Jordan,,92-83,,
0:53.0,,,92-83,,Personal foul by J. Green (drawn by B. Griffin)
0:53.0,B. Griffin misses free throw 1 of 2,,92-83,,
0:53.0,Offensive rebound by Team,,92-83,,
0:53.0,B. Griffin makes free throw 2 of 2,1,93-83,,
0:53.0,,,93-83,,Memphis full timeout
0:53.0,,,93-83,,Z. Randolph enters the game for J. Green
0:53.0,,,93-83,,M. Gasol enters the game for J. Martin
0:53.0,,,93-83,,V. Carter enters the game for T. Williams
0:46.0,,,93-86,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
0:43.0,Turnover by J. Crawford (step out of bounds),,93-86,,
0:43.0,,,93-86,,Memphis full timeout
0:43.0,L. Mbah a Moute enters the game for J. Crawford,,93-86,,
0:39.0,,,93-86,,M. Conley misses 3-pt shot from 28 ft
0:38.0,Defensive rebound by B. Griffin,,93-86,,
0:34.0,,,93-86,,Personal take foul by M. Conley (drawn by C. Paul)
0:34.0,C. Paul makes free throw 1 of 2,1,94-86,,
0:34.0,C. Paul makes free throw 2 of 2,1,95-86,,
0:34.0,,,95-86,,Memphis full timeout
0:28.0,,,95-88,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Conley)
0:25.0,,,95-88,,Personal take foul by M. Conley (drawn by C. Paul)
0:25.0,C. Paul makes free throw 1 of 2,1,96-88,,
0:25.0,C. Paul makes free throw 2 of 2,1,97-88,,
0:25.0,,,96-88,,J. Martin enters the game for J. Ennis
0:25.0,,,96-88,,W. Baldwin enters the game for M. Gasol
0:25.0,,,96-88,,A. Harrison enters the game for M. Conley
0:25.0,,,96-88,,T. Williams enters the game for V. Carter
0:25.0,,,96-88,,D. Davis enters the game for Z. Randolph
0:11.0,,,97-88,,Turnover by W. Baldwin (bad pass; steal by C. Paul)
0:11.0,,,97-88,,Personal take foul by D. Davis (drawn by C. Paul)
0:11.0,C. Paul makes free throw 1 of 2,1,98-88,,
0:11.0,C. Paul makes free throw 2 of 2,1,99-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
