time,Oklahoma City,pts.away,score,pts.home,Miami
2:53.0,,,103-92,2,J. Richardson makes 2-pt shot from 4 ft (assist by J. Johnson)
2:32.0,R. Westbrook makes 2-pt shot from 1 ft,2,105-92,,
2:23.0,,,105-92,,Offensive charge foul by J. Johnson
2:23.0,,,105-92,,Turnover by J. Johnson (offensive foul)
2:23.0,A. Morrow enters the game for A. Roberson,,105-92,,
1:56.0,A. Morrow misses 3-pt shot from 25 ft,,105-92,,
1:55.0,,,105-92,,Defensive rebound by H. Whiteside
1:44.0,,,105-94,2,J. Richardson makes 2-pt shot from 11 ft
1:23.0,R. Westbrook misses 2-pt shot from 19 ft,,105-94,,
1:22.0,,,105-94,,Defensive rebound by T. Johnson
1:11.0,,,105-94,,T. Johnson misses 2-pt shot from 22 ft (block by A. Abrines)
1:10.0,,,105-94,,Offensive rebound by J. Johnson
1:04.0,,,105-94,,J. Johnson misses 2-pt shot from 19 ft
1:03.0,Defensive rebound by A. Abrines,,105-94,,
0:45.0,Turnover by R. Westbrook (bad pass; steal by J. Johnson),,105-94,,
0:35.0,,,105-94,,H. Whiteside misses 2-pt shot from 19 ft
0:34.0,Defensive rebound by R. Westbrook,,105-94,,
0:31.0,Turnover by R. Westbrook (lost ball; steal by J. Richardson),,105-94,,
0:23.0,,,105-94,,T. Johnson misses 2-pt shot from 12 ft
0:22.0,Defensive rebound by Team,,105-94,,
0:21.0,,,105-94,,Personal foul by J. Winslow (drawn by R. Westbrook)
0:21.0,R. Westbrook makes free throw 1 of 2,1,106-94,,
0:21.0,R. Westbrook misses free throw 2 of 2,,106-94,,
0:20.0,,,106-94,,Defensive rebound by Team
0:08.0,,,106-94,,J. Richardson misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by R. Westbrook,,106-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
