time,Indiana,pts.away,score,pts.home,New York
3:37.0,,,105-111,,Defensive rebound by C. Anthony
3:24.0,,,105-111,,D. Rose misses 2-pt shot from 16 ft
3:23.0,Defensive rebound by P. George,,105-111,,
3:09.0,P. George misses 2-pt shot from 16 ft,,105-111,,
3:08.0,,,105-111,,Defensive rebound by K. Porzingis
2:58.0,,,105-114,3,C. Anthony makes 3-pt shot from 26 ft (assist by B. Jennings)
2:57.0,Indiana full timeout,,105-114,,
2:57.0,,,105-114,,New York full timeout
2:44.0,M. Turner misses 2-pt shot from 22 ft,,105-114,,
2:43.0,,,105-114,,Defensive rebound by B. Jennings
2:25.0,,,105-114,,D. Rose misses 2-pt shot from 13 ft
2:24.0,Defensive rebound by M. Turner,,105-114,,
2:16.0,Shooting foul by B. Jennings (drawn by J. Teague),,105-114,,
2:16.0,J. Teague makes free throw 1 of 2,1,106-114,,
2:16.0,J. Teague makes free throw 2 of 2,1,107-114,,
2:04.0,,,107-114,,K. Porzingis misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by M. Turner,,107-114,,
1:55.0,P. George misses 3-pt shot from 26 ft,,107-114,,
1:54.0,,,107-114,,Defensive rebound by D. Rose
1:37.0,,,107-116,2,D. Rose makes 2-pt shot from 2 ft
1:37.0,Indiana full timeout,,107-116,,
1:37.0,,,107-116,,C. Lee enters the game for J. Noah
1:37.0,C. Miles enters the game for G. Robinson,,107-116,,
1:29.0,C. Miles misses 3-pt shot from 26 ft,,107-116,,
1:28.0,,,107-116,,Defensive rebound by K. Porzingis
1:05.0,,,107-116,,C. Anthony misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by T. Young,,107-116,,
0:55.0,J. Teague misses 2-pt shot from 2 ft (block by K. Porzingis),,107-116,,
0:54.0,Offensive rebound by Team,,107-116,,
0:52.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,109-116,,
0:34.0,,,109-116,,Shooting foul by T. Young (drawn by D. Rose)
0:34.0,,,109-117,1,D. Rose makes free throw 1 of 2
0:34.0,,,109-118,1,D. Rose makes free throw 2 of 2
0:34.0,Indiana full timeout,,109-118,,
0:30.0,C. Miles misses 3-pt shot from 27 ft,,109-118,,
0:29.0,,,109-118,,Defensive rebound by D. Rose
0:05.0,,,109-118,,Turnover by Team (shot clock)
0:00.0,J. Teague makes 2-pt shot from 1 ft (assist by M. Turner),2,111-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
