time,Memphis,pts.away,score,pts.home,Minnesota
3:49.0,,,74-108,,Offensive rebound by S. Muhammad
3:49.0,,,74-110,2,J. Hill makes 2-pt shot from 1 ft
3:40.0,Shooting foul by J. Hill (drawn by A. Harrison),,74-110,,
3:40.0,A. Harrison makes free throw 1 of 2,1,75-110,,
3:40.0,A. Harrison makes free throw 2 of 2,1,76-110,,
3:26.0,Personal foul by D. Davis (drawn by J. Hill),,76-110,,
3:10.0,,,76-110,,B. Rush misses 2-pt shot from 20 ft
3:09.0,,,76-110,,Offensive rebound by J. Hill
2:57.0,,,76-110,,Turnover by J. Hill (bad pass)
2:57.0,,,76-110,,Minnesota full timeout
2:37.0,Shooting foul by J. Hill (drawn by A. Harrison),,76-110,,
2:37.0,A. Harrison makes free throw 1 of 2,1,77-110,,
2:37.0,A. Harrison makes free throw 2 of 2,1,78-110,,
2:25.0,,,78-110,,S. Muhammad misses 2-pt shot from 6 ft (block by D. Davis)
2:24.0,,,78-110,,Offensive rebound by Team
2:19.0,,,78-110,,Shooting foul by A. Harrison (drawn by S. Muhammad)
2:19.0,,,78-111,1,S. Muhammad makes free throw 1 of 2
2:19.0,,,78-112,1,S. Muhammad makes free throw 2 of 2
2:08.0,D. Davis misses 2-pt shot from 19 ft,,78-112,,
2:07.0,,,78-112,,Defensive rebound by N. Bjelica
1:44.0,,,78-114,2,J. Hill makes 2-pt shot from 19 ft
1:31.0,T. Daniels misses 3-pt shot from 26 ft,,78-114,,
1:30.0,,,78-114,,Defensive rebound by K. Dunn
1:24.0,,,78-114,,Shooting foul by T. Williams (drawn by S. Muhammad)
1:24.0,,,78-115,1,S. Muhammad makes free throw 1 of 2
1:24.0,,,78-116,1,S. Muhammad makes free throw 2 of 2
1:09.0,A. Harrison misses 3-pt shot from 25 ft,,78-116,,
1:07.0,,,78-116,,Defensive rebound by N. Bjelica
0:47.0,,,78-116,,K. Dunn misses 2-pt shot from 22 ft
0:46.0,Defensive rebound by J. Martin,,78-116,,
0:39.0,J. Martin makes 2-pt shot from 2 ft,2,80-116,,
0:39.0,Shooting foul by J. Hill (drawn by J. Martin),,80-116,,
0:39.0,J. Martin misses free throw 1 of 1,,80-116,,
0:39.0,,,80-116,,Defensive rebound by J. Hill
0:21.0,,,80-116,,Turnover by J. Hill (lost ball; steal by D. Davis)
0:20.0,Turnover by D. Davis (step out of bounds),,80-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
