time,San Antonio,pts.away,score,pts.home,Boston
1:39.0,,,102-96,,Personal foul by A. Horford (drawn by K. Leonard)
1:39.0,K. Leonard makes free throw 1 of 2,1,103-96,,
1:39.0,K. Leonard makes free throw 2 of 2,1,104-96,,
1:39.0,,,104-96,,Boston full timeout
1:32.0,,,104-98,2,I. Thomas makes 2-pt shot from 8 ft (assist by J. Crowder)
1:11.0,K. Leonard misses 2-pt shot from 17 ft,,104-98,,
1:10.0,,,104-98,,Defensive rebound by A. Horford
1:00.0,,,104-101,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Bradley)
0:44.0,P. Mills makes 3-pt shot from 24 ft (assist by L. Aldridge),3,107-101,,
0:44.0,,,107-101,,Boston full timeout
0:40.0,,,107-103,2,A. Horford makes 2-pt shot at rim
0:40.0,San Antonio full timeout,,107-103,,
0:19.0,M. Ginobili misses 3-pt shot from 23 ft,,107-103,,
0:19.0,Offensive rebound by L. Aldridge,,107-103,,
0:17.0,,,107-103,,Personal take foul by A. Bradley (drawn by L. Aldridge)
0:17.0,L. Aldridge makes free throw 1 of 2,1,108-103,,
0:17.0,L. Aldridge makes free throw 2 of 2,1,109-103,,
0:12.0,,,109-103,,I. Thomas misses 3-pt shot from 25 ft (block by D. Green)
0:12.0,,,109-103,,Offensive rebound by Team
0:10.0,Personal foul by L. Aldridge (drawn by A. Bradley),,109-103,,
0:04.0,,,109-103,,J. Crowder misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by K. Leonard,,109-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
