time,Minnesota,pts.away,score,pts.home,LA Clippers
3:49.0,,,91-94,,D. Jordan misses free throw 2 of 2
3:49.0,,,91-94,,A. Rivers enters the game for J. Crawford
3:45.0,Defensive rebound by K. Dunn,,91-94,,
3:39.0,,,91-94,,Personal foul by R. Felton (drawn by T. Jones)
3:39.0,T. Jones misses free throw 1 of 2,,91-94,,
3:39.0,Offensive rebound by Team,,91-94,,
3:39.0,Violation by Team (jump ball),,91-94,,
3:39.0,T. Jones makes free throw 2 of 2,1,92-94,,
3:34.0,Personal block foul by K. Towns (drawn by D. Jordan),,92-94,,
3:34.0,,,92-94,,D. Jordan misses free throw 1 of 2
3:34.0,,,92-94,,Offensive rebound by Team
3:34.0,,,92-95,1,D. Jordan makes free throw 2 of 2
3:12.0,Shooting foul by A. Rivers (drawn by K. Dunn),,92-95,,
3:12.0,K. Dunn makes free throw 1 of 2,1,93-95,,
3:12.0,K. Dunn misses free throw 2 of 2,,93-95,,
3:12.0,,,93-95,,J. Crawford enters the game for A. Rivers
3:11.0,,,93-95,,Defensive rebound by J. Crawford
3:05.0,,,93-97,2,R. Felton makes 2-pt shot from 1 ft (assist by J. Crawford)
2:48.0,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones),3,96-97,,
2:42.0,Personal take foul by K. Dunn (drawn by D. Jordan),,96-97,,
2:42.0,,,96-97,,LA Clippers full timeout
2:42.0,,,96-98,1,D. Jordan makes free throw 1 of 2
2:42.0,,,96-98,,D. Jordan misses free throw 2 of 2
2:39.0,Defensive rebound by Z. LaVine,,96-98,,
2:27.0,K. Towns makes 2-pt shot from 17 ft (assist by T. Jones),2,98-98,,
2:22.0,Personal take foul by K. Dunn (drawn by D. Jordan),,98-98,,
2:22.0,,,98-99,1,D. Jordan makes free throw 1 of 2
2:22.0,,,98-99,,D. Jordan misses free throw 2 of 2
2:22.0,Defensive rebound by Z. LaVine,,98-99,,
2:07.0,T. Jones misses 2-pt shot from 15 ft,,98-99,,
2:06.0,Offensive rebound by K. Dunn,,98-99,,
1:53.0,A. Wiggins misses 2-pt shot from 14 ft,,98-99,,
1:52.0,,,98-99,,Defensive rebound by D. Jordan
1:28.0,,,98-101,2,J. Crawford makes 2-pt shot from 14 ft
1:28.0,Minnesota full timeout,,98-101,,
1:28.0,,,98-101,,A. Rivers enters the game for J. Crawford
1:12.0,K. Towns makes 2-pt shot from 9 ft (assist by K. Dunn),2,100-101,,
1:12.0,,,100-101,,LA Clippers full timeout
1:12.0,,,100-101,,J. Crawford enters the game for L. Mbah a Moute
1:02.0,,,100-101,,J. Crawford misses 2-pt shot from 10 ft
1:01.0,Defensive rebound by K. Towns,,100-101,,
0:45.0,K. Towns makes 2-pt shot from 18 ft (assist by A. Wiggins),2,102-101,,
0:45.0,,,102-101,,LA Clippers full timeout
0:33.0,,,102-101,,J. Redick misses 2-pt shot from 22 ft
0:32.0,Defensive rebound by K. Dunn,,102-101,,
0:08.0,K. Towns misses 3-pt shot from 27 ft,,102-101,,
0:06.0,Offensive rebound by A. Wiggins,,102-101,,
0:06.0,,,102-101,,Personal take foul by A. Rivers (drawn by A. Wiggins)
0:06.0,A. Wiggins makes free throw 1 of 2,1,103-101,,
0:06.0,A. Wiggins makes free throw 2 of 2,1,104-101,,
0:06.0,,,104-101,,LA Clippers full timeout
0:06.0,,,102-101,,B. Bass enters the game for A. Rivers
0:06.0,,,103-101,,W. Johnson enters the game for J. Crawford
0:06.0,,,104-101,,J. Crawford enters the game for B. Bass
0:04.0,,,104-101,,J. Redick misses 3-pt shot from 31 ft
0:02.0,,,104-101,,Offensive rebound by J. Crawford
0:01.0,,,104-101,,J. Crawford misses 3-pt shot from 26 ft
0:00.0,,,104-101,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
