time,Oklahoma City,pts.away,score,pts.home,Denver
10:53.0,S. Adams misses 2-pt shot from 4 ft,,54-58,,
10:53.0,Offensive rebound by S. Adams,,54-58,,
10:47.0,S. Adams makes 2-pt shot from 2 ft,2,56-58,,
10:34.0,,,56-58,,N. Jokic misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by T. Gibson,,56-58,,
10:20.0,T. Gibson misses 2-pt shot from 9 ft,,56-58,,
10:20.0,,,56-58,,Defensive rebound by N. Jokic
10:11.0,,,56-58,,D. Gallinari misses 2-pt shot from 12 ft
10:10.0,,,56-58,,Offensive rebound by N. Jokic
10:08.0,,,56-58,,Turnover by N. Jokic (lost ball; steal by R. Westbrook)
10:02.0,T. Gibson makes 2-pt shot at rim (assist by S. Adams),2,58-58,,
9:45.0,,,58-60,2,N. Jokic makes 2-pt shot from 22 ft (assist by J. Murray)
9:27.0,T. Gibson misses 2-pt shot from 1 ft,,58-60,,
9:26.0,,,58-60,,Defensive rebound by D. Gallinari
9:19.0,,,58-60,,G. Harris misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by S. Adams,,58-60,,
9:18.0,Oklahoma City full timeout,,58-60,,
8:54.0,R. Westbrook misses 2-pt shot from 15 ft,,58-60,,
8:53.0,Offensive rebound by S. Adams,,58-60,,
8:50.0,S. Adams misses 2-pt shot from 1 ft,,58-60,,
8:49.0,,,58-60,,Defensive rebound by W. Chandler
8:43.0,,,58-63,3,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Chandler)
8:27.0,V. Oladipo misses 3-pt shot from 25 ft,,58-63,,
8:26.0,Offensive rebound by T. Gibson,,58-63,,
8:16.0,R. Westbrook misses 2-pt shot from 19 ft,,58-63,,
8:15.0,,,58-63,,Defensive rebound by D. Gallinari
8:06.0,,,58-65,2,N. Jokic makes 2-pt shot from 7 ft (assist by G. Harris)
7:52.0,T. Gibson makes 2-pt shot from 9 ft (assist by R. Westbrook),2,60-65,,
7:37.0,,,60-67,2,D. Gallinari makes 2-pt shot from 7 ft (assist by W. Chandler)
7:37.0,,,60-67,,Shooting foul by A. Roberson (drawn by D. Gallinari)
7:37.0,,,60-68,1,D. Gallinari makes free throw 1 of 1
7:37.0,K. Singler enters the game for A. Roberson,,60-67,,
7:25.0,R. Westbrook makes 3-pt shot from 24 ft,3,63-68,,
7:10.0,,,63-71,3,W. Chandler makes 3-pt shot from 24 ft (assist by G. Harris)
6:56.0,K. Singler misses 3-pt shot from 23 ft,,63-71,,
6:55.0,,,63-71,,Defensive rebound by D. Gallinari
6:53.0,,,63-71,,Offensive charge foul by D. Gallinari
6:53.0,,,63-71,,Turnover by D. Gallinari (offensive foul)
6:44.0,T. Gibson misses 2-pt shot from 7 ft,,63-71,,
6:44.0,,,63-71,,Defensive rebound by J. Murray
6:30.0,,,63-73,2,W. Chandler makes 2-pt shot from 2 ft
6:16.0,R. Westbrook misses 3-pt shot from 26 ft,,63-73,,
6:13.0,Offensive rebound by K. Singler,,63-73,,
6:09.0,Shooting foul by W. Chandler (drawn by T. Gibson),,63-73,,
6:09.0,T. Gibson makes free throw 1 of 2,1,64-73,,
6:09.0,T. Gibson makes free throw 2 of 2,1,65-73,,
6:09.0,A. Roberson enters the game for V. Oladipo,,64-73,,
5:56.0,,,65-75,2,N. Jokic makes 2-pt shot from 19 ft (assist by J. Murray)
5:44.0,T. Gibson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,67-75,,
5:26.0,,,67-75,,W. Chandler misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by S. Adams,,67-75,,
5:16.0,R. Westbrook misses 2-pt shot from 14 ft,,67-75,,
5:15.0,,,67-75,,Defensive rebound by D. Gallinari
4:58.0,,,67-77,2,D. Gallinari makes 2-pt shot from 2 ft
4:35.0,R. Westbrook misses 3-pt shot from 31 ft,,67-77,,
4:34.0,Offensive rebound by K. Singler,,67-77,,
4:29.0,K. Singler makes 2-pt shot from 5 ft,2,69-77,,
4:08.0,,,69-80,3,D. Gallinari makes 3-pt shot from 25 ft
3:54.0,T. Gibson misses 2-pt shot from 16 ft,,69-80,,
3:53.0,,,69-80,,Defensive rebound by N. Jokic
3:42.0,,,69-82,2,D. Gallinari makes 2-pt shot from 20 ft (assist by J. Murray)
