time,Dallas,pts.away,score,pts.home,Phoenix
3:25.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,105-94,,
3:10.0,,,105-94,,E. Bledsoe misses 2-pt shot from 13 ft
3:08.0,Defensive rebound by S. Curry,,105-94,,
2:47.0,D. Williams misses 2-pt shot from 17 ft,,105-94,,
2:43.0,,,105-94,,Defensive rebound by M. Chriss
2:41.0,,,105-96,2,D. Booker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
2:41.0,,,105-96,,Shooting foul by D. Williams (drawn by D. Booker)
2:41.0,,,105-97,1,D. Booker makes free throw 1 of 1
2:41.0,,,105-96,,P. Tucker enters the game for T. Warren
2:22.0,D. Nowitzki misses 2-pt shot from 20 ft,,105-97,,
2:20.0,,,105-97,,Defensive rebound by M. Chriss
2:10.0,,,105-97,,Shooting foul by H. Barnes (drawn by D. Booker)
2:10.0,,,105-98,1,D. Booker makes free throw 1 of 2
2:10.0,,,105-99,1,D. Booker makes free throw 2 of 2
1:55.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,108-99,,
1:43.0,,,108-101,2,D. Booker makes 2-pt shot from 1 ft
1:31.0,W. Matthews misses 3-pt shot from 25 ft,,108-101,,
1:29.0,,,108-101,,Defensive rebound by M. Chriss
1:21.0,Personal foul by S. Curry (drawn by D. Booker),,108-101,,
1:09.0,,,108-101,,P. Tucker misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by H. Barnes,,108-101,,
0:45.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,111-101,,
0:45.0,,,111-101,,Phoenix full timeout
0:45.0,D. Finney-Smith enters the game for D. Nowitzki,,111-101,,
0:43.0,,,111-104,3,D. Booker makes 3-pt shot from 24 ft (assist by P. Tucker)
0:21.0,D. Williams misses 2-pt shot from 4 ft,,111-104,,
0:19.0,Offensive rebound by D. Williams,,111-104,,
0:18.0,Turnover by Team (shot clock),,111-104,,
0:18.0,,,111-104,,Phoenix full timeout
0:15.0,,,111-107,3,D. Booker makes 3-pt shot from 26 ft
0:14.0,,,111-107,,Personal take foul by T. Chandler (drawn by D. Finney-Smith)
0:14.0,D. Finney-Smith makes free throw 1 of 2,1,112-107,,
0:14.0,D. Finney-Smith makes free throw 2 of 2,1,113-107,,
0:12.0,Personal foul by W. Matthews (drawn by D. Booker),,113-107,,
0:12.0,,,113-108,1,D. Booker makes free throw 1 of 2
0:12.0,,,113-108,,D. Booker misses free throw 2 of 2
0:12.0,,,113-108,,T. Ulis enters the game for E. Bledsoe
0:12.0,D. Powell enters the game for S. Curry,,113-108,,
0:12.0,D. Nowitzki enters the game for D. Finney-Smith,,113-108,,
0:11.0,,,113-108,,Offensive rebound by T. Ulis
0:02.0,,,113-108,,D. Booker misses 2-pt shot from 7 ft
0:01.0,,,113-108,,Offensive rebound by P. Tucker
0:00.0,,,113-108,,P. Tucker misses 2-pt shot from 2 ft (block by H. Barnes)
0:00.0,,,113-108,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
