time,Chicago,pts.away,score,pts.home,Phoenix
3:22.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by B. Portis),2,89-106,,
2:58.0,,,89-109,3,D. Booker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
2:43.0,C. Felicio makes 2-pt shot at rim (assist by M. Carter-Williams),2,91-109,,
2:18.0,,,91-109,,P. Tucker misses 3-pt shot from 26 ft
2:17.0,,,91-109,,Offensive rebound by D. Booker
2:09.0,,,91-109,,Phoenix full timeout
2:09.0,,,91-109,,R. Price enters the game for D. Booker
2:09.0,,,91-109,,L. Barbosa enters the game for E. Bledsoe
2:09.0,,,91-109,,T. Ulis enters the game for P. Tucker
2:00.0,,,91-109,,A. Williams misses 2-pt shot from 10 ft
1:58.0,Defensive rebound by D. Valentine,,91-109,,
1:46.0,C. Felicio misses 2-pt shot from 9 ft,,91-109,,
1:45.0,Offensive rebound by B. Portis,,91-109,,
1:45.0,Shooting foul by T. Warren (drawn by B. Portis),,91-109,,
1:45.0,B. Portis makes free throw 1 of 2,1,92-109,,
1:45.0,B. Portis makes free throw 2 of 2,1,93-109,,
1:27.0,,,93-111,2,A. Williams makes 2-pt shot from 2 ft (assist by T. Ulis)
1:09.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,95-111,,
0:57.0,,,95-113,2,T. Ulis makes 2-pt shot from 13 ft
0:38.0,B. Portis misses 2-pt shot from 15 ft,,95-113,,
0:36.0,Offensive rebound by C. Felicio,,95-113,,
0:36.0,C. Felicio misses 2-pt shot from 2 ft,,95-113,,
0:34.0,,,95-113,,Defensive rebound by A. Williams
0:15.0,,,95-115,2,T. Warren makes 2-pt shot from 10 ft (assist by T. Ulis)
0:02.0,B. Portis makes 2-pt shot from 19 ft (assist by I. Canaan),2,97-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
