time,LA Clippers,pts.away,score,pts.home,Cleveland
6:30.0,,,99-77,1,I. Shumpert makes free throw 1 of 2
6:30.0,,,99-78,1,I. Shumpert makes free throw 2 of 2
6:18.0,,,99-78,,Personal foul by C. Andersen (drawn by A. Rivers)
6:06.0,Shooting foul by C. Andersen (drawn by A. Rivers),,99-78,,
6:06.0,A. Rivers makes free throw 1 of 2,1,100-78,,
6:06.0,A. Rivers makes free throw 2 of 2,1,101-78,,
5:57.0,,,101-78,,Shooting foul by M. Speights (drawn by C. Andersen)
5:57.0,,,101-78,,C. Andersen misses free throw 1 of 2
5:57.0,,,101-78,,Offensive rebound by Team
5:57.0,,,101-78,,C. Andersen misses free throw 2 of 2
5:57.0,,,101-78,,J. McRae enters the game for I. Shumpert
5:56.0,Defensive rebound by M. Speights,,101-78,,
5:36.0,J. Crawford makes 3-pt shot from 28 ft (assist by A. Rivers),3,104-78,,
5:25.0,,,104-78,,K. Felder misses 2-pt shot from 11 ft
5:23.0,Defensive rebound by M. Speights,,104-78,,
5:05.0,P. Pierce misses 3-pt shot from 27 ft,,104-78,,
5:04.0,,,104-78,,Defensive rebound by C. Andersen
4:53.0,,,104-81,3,J. McRae makes 3-pt shot from 27 ft (assist by J. Jones)
4:31.0,A. Rivers makes 2-pt shot at rim,2,106-81,,
4:22.0,,,106-81,,Shooting foul by P. Pierce (drawn by C. Andersen)
4:22.0,,,106-82,1,C. Andersen makes free throw 1 of 2
4:22.0,,,106-83,1,C. Andersen makes free throw 2 of 2
4:03.0,M. Speights makes 2-pt shot from 1 ft (assist by J. Crawford),2,108-83,,
3:46.0,,,108-83,,Turnover by J. Jones (bad pass)
3:25.0,J. Crawford makes 2-pt shot from 10 ft,2,110-83,,
3:02.0,,,110-83,,J. McRae misses 2-pt shot from 14 ft
3:00.0,Defensive rebound by P. Pierce,,110-83,,
2:40.0,J. Crawford misses 3-pt shot from 30 ft,,110-83,,
2:39.0,Offensive rebound by M. Speights,,110-83,,
2:21.0,Turnover by J. Crawford (bad pass; steal by J. McRae),,110-83,,
2:13.0,,,110-86,3,R. Jefferson makes 3-pt shot from 26 ft (assist by J. McRae)
1:47.0,Turnover by Team (shot clock),,110-86,,
1:47.0,LA Clippers full timeout,,110-86,,
1:47.0,A. Anderson enters the game for J. Crawford,,110-86,,
1:35.0,,,110-86,,J. McRae misses 2-pt shot at rim
1:32.0,,,110-86,,Offensive rebound by J. Jones
1:29.0,,,110-86,,J. Jones misses 2-pt shot from 19 ft
1:28.0,Defensive rebound by R. Felton,,110-86,,
1:27.0,M. Speights misses 2-pt shot at rim,,110-86,,
1:26.0,,,110-86,,Defensive rebound by K. Felder
1:19.0,,,110-89,3,R. Jefferson makes 3-pt shot from 23 ft (assist by K. Felder)
1:02.0,M. Speights misses 2-pt shot from 15 ft,,110-89,,
1:01.0,,,110-89,,Defensive rebound by J. McRae
0:56.0,,,110-89,,Shooting foul by M. Speights (drawn by K. Felder)
0:56.0,,,110-90,1,K. Felder makes free throw 1 of 2
0:56.0,,,110-91,1,K. Felder makes free throw 2 of 2
0:34.0,R. Felton misses 2-pt shot from 20 ft,,110-91,,
0:33.0,,,110-91,,Defensive rebound by R. Jefferson
0:17.0,,,110-94,3,R. Jefferson makes 3-pt shot from 26 ft (assist by J. Jones)
0:00.0,A. Anderson makes 3-pt shot from 25 ft,3,113-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
