time,Charlotte,pts.away,score,pts.home,LA Clippers
3:55.0,Personal foul by M. Kidd-Gilchrist (drawn by C. Paul),,101-102,,
3:55.0,,,101-102,,C. Paul misses free throw 1 of 2
3:55.0,,,101-102,,Offensive rebound by Team
3:55.0,,,101-103,1,C. Paul makes free throw 2 of 2
3:55.0,C. Wood enters the game for M. Kidd-Gilchrist,,101-102,,
3:45.0,,,101-103,,Personal foul by B. Griffin (drawn by M. Williams)
3:45.0,M. Williams makes free throw 1 of 2,1,102-103,,
3:45.0,M. Williams makes free throw 2 of 2,1,103-103,,
3:44.0,Personal take foul by J. Lamb (drawn by D. Jordan),,103-103,,
3:44.0,,,103-103,,D. Jordan misses free throw 1 of 2
3:44.0,,,103-103,,Offensive rebound by Team
3:44.0,,,103-104,1,D. Jordan makes free throw 2 of 2
3:24.0,Turnover by N. Batum (lost ball; steal by L. Mbah a Moute),,103-104,,
3:10.0,,,103-104,,C. Paul misses 2-pt shot from 7 ft
3:08.0,,,103-104,,Offensive rebound by D. Jordan
3:08.0,,,103-106,2,D. Jordan makes 2-pt shot at rim
2:43.0,J. Lamb misses 2-pt shot from 9 ft,,103-106,,
2:40.0,Offensive rebound by C. Wood,,103-106,,
2:40.0,C. Wood makes 2-pt shot at rim,2,105-106,,
2:35.0,Personal take foul by J. Lamb (drawn by D. Jordan),,105-106,,
2:35.0,Charlotte full timeout,,105-106,,
2:35.0,,,105-107,1,D. Jordan makes free throw 1 of 2
2:35.0,,,105-107,,D. Jordan misses free throw 2 of 2
2:34.0,Defensive rebound by N. Batum,,105-107,,
2:14.0,N. Batum makes 3-pt shot from 29 ft,3,108-107,,
1:45.0,,,108-110,3,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul)
1:29.0,Turnover by N. Batum (lost ball; steal by B. Griffin),,108-110,,
1:23.0,,,108-110,,C. Paul misses 3-pt shot from 24 ft
1:21.0,,,108-110,,Offensive rebound by D. Jordan
1:20.0,,,108-110,,LA Clippers full timeout
1:20.0,,,108-110,,J. Crawford enters the game for L. Mbah a Moute
1:06.0,,,108-110,,J. Crawford misses 3-pt shot from 25 ft
1:04.0,,,108-110,,Offensive rebound by B. Griffin
0:48.0,,,108-112,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
0:48.0,Shooting block foul by K. Walker (drawn by B. Griffin),,108-112,,
0:48.0,,,108-113,1,B. Griffin makes free throw 1 of 1
0:48.0,,,108-112,,L. Mbah a Moute enters the game for J. Redick
0:48.0,,,108-112,,A. Rivers enters the game for J. Crawford
0:36.0,K. Walker makes 3-pt shot from 25 ft,3,111-113,,
0:14.0,,,111-113,,C. Paul misses 2-pt shot from 17 ft
0:13.0,Defensive rebound by K. Walker,,111-113,,
0:12.0,Shooting foul by A. Rivers (drawn by K. Walker),,111-113,,
0:12.0,K. Walker makes free throw 1 of 2,1,112-113,,
0:12.0,K. Walker makes free throw 2 of 2,1,113-113,,
0:12.0,,,113-113,,LA Clippers full timeout
0:12.0,,,113-113,,J. Redick enters the game for L. Mbah a Moute
0:12.0,,,113-113,,J. Crawford enters the game for D. Jordan
0:12.0,M. Belinelli enters the game for C. Wood,,113-113,,
0:02.0,,,113-113,,C. Paul misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by J. Lamb,,113-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:31.0,K. Walker misses 2-pt shot from 2 ft,,113-113,,
4:30.0,Offensive rebound by C. Wood,,113-113,,
4:29.0,C. Wood misses 2-pt shot from 1 ft,,113-113,,
4:29.0,,,113-113,,Defensive rebound by Team
4:16.0,,,113-115,2,B. Griffin makes 2-pt shot at rim (assist by J. Redick)
3:57.0,N. Batum misses 2-pt shot from 14 ft,,113-115,,
3:53.0,,,113-115,,Defensive rebound by J. Redick
3:42.0,,,113-115,,B. Griffin misses 2-pt shot from 11 ft
3:41.0,Defensive rebound by C. Wood,,113-115,,
3:33.0,J. Lamb misses 2-pt shot from 11 ft,,113-115,,
3:31.0,,,113-115,,Defensive rebound by C. Paul
3:07.0,,,113-115,,B. Griffin misses 2-pt shot from 16 ft
3:05.0,,,113-115,,Offensive rebound by D. Jordan
2:49.0,,,113-115,,B. Griffin misses 2-pt shot from 13 ft
2:49.0,Defensive rebound by J. Lamb,,113-115,,
2:32.0,Turnover by J. Lamb (bad pass; steal by D. Jordan),,113-115,,
2:11.0,,,113-115,,C. Paul misses 2-pt shot from 20 ft
2:09.0,Defensive rebound by N. Batum,,113-115,,
2:00.0,N. Batum makes 3-pt shot from 22 ft (assist by C. Wood),3,116-115,,
1:49.0,Personal foul by J. Lamb (drawn by J. Redick),,116-115,,
1:38.0,,,116-117,2,B. Griffin makes 2-pt shot from 5 ft
1:38.0,,,116-117,,Shooting foul by N. Batum (drawn by B. Griffin)
1:38.0,,,116-118,1,B. Griffin makes free throw 1 of 1
1:25.0,K. Walker misses 2-pt shot from 2 ft (block by D. Jordan),,116-118,,
1:23.0,,,116-118,,Defensive rebound by C. Paul
1:19.0,,,116-120,2,C. Paul makes 2-pt shot from 17 ft
1:19.0,Charlotte full timeout,,116-120,,
1:05.0,Shooting foul by J. Redick (drawn by J. Lamb),,116-120,,
1:05.0,J. Lamb makes free throw 1 of 2,1,117-120,,
1:05.0,J. Lamb makes free throw 2 of 2,1,118-120,,
0:43.0,,,118-120,,B. Griffin misses 2-pt shot from 9 ft
0:41.0,Defensive rebound by M. Williams,,118-120,,
0:31.0,J. Lamb makes 2-pt shot from 16 ft (assist by K. Walker),2,120-120,,
0:31.0,,,120-120,,LA Clippers full timeout
0:31.0,,,120-120,,J. Crawford enters the game for L. Mbah a Moute
0:21.0,Shooting block foul by M. Williams (drawn by B. Griffin),,120-120,,
0:21.0,,,120-121,1,B. Griffin makes free throw 1 of 2
0:21.0,,,120-121,,B. Griffin misses free throw 2 of 2
0:21.0,,,120-121,,L. Mbah a Moute enters the game for J. Redick
0:21.0,,,120-121,,A. Rivers enters the game for J. Crawford
0:20.0,Defensive rebound by Team,,120-121,,
0:20.0,Charlotte full timeout,,120-121,,
0:10.0,Charlotte full timeout,,120-121,,
0:07.0,Turnover by K. Walker (bad pass; steal by D. Jordan),,120-121,,
0:04.0,,,120-121,,C. Paul misses 2-pt shot from 1 ft
0:03.0,,,120-121,,Offensive rebound by D. Jordan
0:03.0,,,120-123,2,D. Jordan makes 2-pt shot at rim
0:02.0,,,120-123,,Personal take foul by C. Paul (drawn by K. Walker)
0:02.0,K. Walker makes free throw 1 of 2,1,121-123,,
0:02.0,K. Walker misses free throw 2 of 2,,121-123,,
0:02.0,,,121-123,,Defensive rebound by B. Griffin
0:01.0,Personal foul by M. Williams (drawn by B. Griffin),,121-123,,
0:01.0,,,121-124,1,B. Griffin makes free throw 1 of 2
0:01.0,,,121-124,,B. Griffin misses free throw 2 of 2
0:01.0,Defensive rebound by M. Williams,,121-124,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
