time,Memphis,pts.away,score,pts.home,Boston
5:30.0,,,94-100,,Turnover by G. Green (bad pass; steal by T. Allen)
5:07.0,A. Harrison misses 3-pt shot from 25 ft,,94-100,,
5:04.0,,,94-100,,Defensive rebound by G. Green
5:00.0,,,94-100,,A. Horford misses 2-pt shot from 1 ft
4:59.0,,,94-100,,Offensive rebound by T. Zeller
4:59.0,,,94-100,,T. Zeller misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by M. Gasol,,94-100,,
4:51.0,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison),3,97-100,,
4:29.0,,,97-100,,M. Smart misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by Z. Randolph,,97-100,,
4:07.0,Turnover by M. Gasol (lost ball; steal by M. Smart),,97-100,,
4:04.0,,,97-100,,Shooting foul by T. Allen (drawn by G. Green)
4:04.0,,,97-101,1,G. Green makes free throw 1 of 2
4:04.0,,,97-102,1,G. Green makes free throw 2 of 2
4:04.0,J. Ennis enters the game for V. Carter,,97-101,,
4:04.0,,,97-101,,A. Bradley enters the game for T. Zeller
3:50.0,A. Harrison misses 3-pt shot from 26 ft,,97-102,,
3:49.0,Offensive rebound by T. Allen,,97-102,,
3:44.0,Turnover by T. Allen (bad pass),,97-102,,
3:44.0,,,97-102,,I. Thomas enters the game for G. Green
3:31.0,,,97-102,,Turnover by I. Thomas (bad pass)
3:09.0,M. Gasol misses 2-pt shot from 11 ft,,97-102,,
3:08.0,,,97-102,,Defensive rebound by A. Bradley
3:06.0,,,97-104,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Bradley)
3:06.0,Shooting block foul by J. Ennis (drawn by I. Thomas),,97-104,,
3:06.0,,,97-105,1,I. Thomas makes free throw 1 of 1
3:06.0,Memphis full timeout,,97-105,,
2:53.0,Z. Randolph misses 2-pt shot from 13 ft,,97-105,,
2:52.0,,,97-105,,Defensive rebound by A. Bradley
2:38.0,,,97-105,,Turnover by M. Smart (bad pass; steal by Z. Randolph)
2:26.0,,,97-105,,Shooting block foul by I. Thomas (drawn by A. Harrison)
2:26.0,A. Harrison misses free throw 1 of 2,,97-105,,
2:26.0,Offensive rebound by Team,,97-105,,
2:26.0,A. Harrison makes free throw 2 of 2,1,98-105,,
2:17.0,,,98-105,,Turnover by I. Thomas (lost ball; steal by A. Harrison)
2:01.0,J. Ennis makes 3-pt shot from 25 ft (assist by A. Harrison),3,101-105,,
1:43.0,,,101-107,2,J. Crowder makes 2-pt shot from 21 ft (assist by A. Horford)
1:29.0,,,101-107,,Personal foul by A. Bradley (drawn by T. Allen)
1:29.0,T. Allen makes free throw 1 of 2,1,102-107,,
1:29.0,T. Allen makes free throw 2 of 2,1,103-107,,
1:29.0,J. Green enters the game for Z. Randolph,,102-107,,
1:15.0,,,103-109,2,A. Bradley makes 2-pt shot from 15 ft (assist by A. Horford)
1:15.0,Memphis full timeout,,103-109,,
1:15.0,T. Daniels enters the game for J. Green,,103-109,,
1:15.0,Z. Randolph enters the game for T. Allen,,103-109,,
1:15.0,,,103-109,,A. Johnson enters the game for I. Thomas
1:04.0,A. Harrison misses 3-pt shot from 26 ft,,103-109,,
1:02.0,,,103-109,,Defensive rebound by A. Bradley
0:54.0,Personal take foul by A. Harrison (drawn by M. Smart),,103-109,,
0:54.0,,,103-110,1,M. Smart makes free throw 1 of 2
0:54.0,,,103-111,1,M. Smart makes free throw 2 of 2
0:54.0,Memphis full timeout,,103-111,,
0:54.0,T. Allen enters the game for T. Daniels,,103-110,,
0:54.0,T. Daniels enters the game for T. Allen,,103-111,,
0:49.0,Turnover by Z. Randolph (bad pass; steal by M. Smart),,103-111,,
0:40.0,,,103-111,,Boston full timeout
0:40.0,,,103-111,,I. Thomas enters the game for A. Johnson
0:40.0,J. Green enters the game for Z. Randolph,,103-111,,
0:40.0,T. Allen enters the game for T. Daniels,,103-111,,
0:36.0,Personal take foul by J. Ennis (drawn by M. Smart),,103-111,,
0:36.0,,,103-112,1,M. Smart makes free throw 1 of 2
0:36.0,,,103-113,1,M. Smart makes free throw 2 of 2
0:36.0,Z. Randolph enters the game for J. Green,,103-112,,
0:36.0,T. Daniels enters the game for T. Allen,,103-112,,
0:36.0,,,103-112,,A. Johnson enters the game for I. Thomas
0:29.0,J. Ennis misses 3-pt shot from 26 ft,,103-113,,
0:29.0,,,103-113,,Defensive rebound by M. Smart
0:05.0,,,103-113,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
