time,Indiana,pts.away,score,pts.home,Memphis
0:57.0,,,94-108,,Turnover by J. Ennis (offensive foul)
0:57.0,,,94-108,,B. Wright enters the game for J. Ennis
0:44.0,Shooting foul by B. Wright (drawn by R. Christmas),,94-108,,
0:44.0,R. Christmas makes free throw 1 of 2,1,95-108,,
0:44.0,R. Christmas misses free throw 2 of 2,,95-108,,
0:42.0,,,95-108,,Defensive rebound by B. Wright
0:24.0,,,95-110,2,B. Wright makes 2-pt shot from 9 ft (assist by W. Baldwin)
0:17.0,,,95-110,,Personal foul by D. Davis (drawn by J. Young)
0:17.0,J. Young makes free throw 1 of 2,1,96-110,,
0:17.0,J. Young makes free throw 2 of 2,1,97-110,,
0:00.0,,,97-110,,W. Baldwin misses 3-pt shot from 34 ft
0:00.0,,,97-110,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
