time,Miami,pts.away,score,pts.home,Atlanta
2:29.0,,,53-44,,Turnover by D. Howard (offensive goaltending)
2:20.0,D. Waiters makes 3-pt shot from 25 ft,3,56-44,,
2:07.0,,,56-44,,Shooting foul by J. Richardson (drawn by T. Hardaway)
2:07.0,,,56-45,1,T. Hardaway makes free throw 1 of 2
2:07.0,,,56-46,1,T. Hardaway makes free throw 2 of 2
2:07.0,,,56-45,,M. Muscala enters the game for D. Howard
1:47.0,D. Waiters misses 2-pt shot from 16 ft,,56-46,,
1:46.0,Offensive rebound by Team,,56-46,,
1:46.0,,,56-46,,K. Bazemore enters the game for T. Sefolosha
1:45.0,Miami full timeout,,56-46,,
1:45.0,T. Johnson enters the game for J. Richardson,,56-46,,
1:42.0,D. Waiters misses 3-pt shot from 26 ft,,56-46,,
1:41.0,,,56-46,,Defensive rebound by P. Millsap
1:33.0,,,56-46,,T. Hardaway misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by D. Waiters,,56-46,,
1:24.0,O. White makes 3-pt shot from 23 ft (assist by D. Waiters),3,59-46,,
1:04.0,,,59-46,,M. Muscala misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by O. White,,59-46,,
0:53.0,H. Whiteside misses 2-pt shot from 2 ft (block by K. Bazemore),,59-46,,
0:51.0,Offensive rebound by G. Dragic,,59-46,,
0:50.0,G. Dragic misses 2-pt shot at rim (block by K. Bazemore),,59-46,,
0:49.0,Offensive rebound by H. Whiteside,,59-46,,
0:49.0,H. Whiteside misses 2-pt shot from 2 ft (block by M. Muscala),,59-46,,
0:49.0,Offensive rebound by Team,,59-46,,
0:49.0,W. Reed enters the game for H. Whiteside,,59-46,,
0:43.0,Turnover by W. Reed (lost ball; steal by M. Muscala),,59-46,,
0:38.0,,,59-46,,Turnover by P. Millsap (lost ball; steal by O. White)
0:34.0,G. Dragic misses 2-pt shot from 1 ft (block by M. Muscala),,59-46,,
0:33.0,Offensive rebound by Team,,59-46,,
0:29.0,W. Reed makes 2-pt shot from 6 ft (assist by O. White),2,61-46,,
0:10.0,,,61-46,,Turnover by T. Hardaway (bad pass; steal by O. White)
0:02.0,Shooting foul by T. Hardaway (drawn by T. Johnson),,61-46,,
0:02.0,T. Johnson makes free throw 1 of 2,1,62-46,,
0:02.0,T. Johnson makes free throw 2 of 2,1,63-46,,
0:00.0,,,63-49,3,K. Bazemore makes 3-pt shot from 37 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,D. Waiters misses 2-pt shot from 21 ft,,63-49,,
11:36.0,,,63-49,,Defensive rebound by D. Howard
11:32.0,,,63-49,,K. Bazemore misses 2-pt shot from 3 ft (block by D. Waiters)
11:29.0,Defensive rebound by G. Dragic,,63-49,,
11:14.0,G. Dragic makes 2-pt shot from 12 ft,2,65-49,,
10:51.0,,,65-49,,T. Hardaway misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by Team,,65-49,,
10:39.0,D. Waiters misses 2-pt shot from 2 ft,,65-49,,
10:38.0,,,65-49,,Defensive rebound by K. Bazemore
10:33.0,,,65-52,3,K. Bazemore makes 3-pt shot from 25 ft
10:15.0,D. Waiters misses 2-pt shot from 1 ft (block by D. Howard),,65-52,,
10:15.0,Offensive rebound by Team,,65-52,,
10:11.0,H. Whiteside misses 2-pt shot from 17 ft,,65-52,,
10:10.0,,,65-52,,Defensive rebound by T. Hardaway
10:09.0,,,65-52,,Shooting foul by L. Babbitt (drawn by M. Delaney)
10:09.0,,,65-53,1,M. Delaney makes free throw 1 of 2
10:09.0,,,65-53,,M. Delaney misses free throw 2 of 2
10:08.0,Defensive rebound by H. Whiteside,,65-53,,
9:43.0,D. Waiters misses 2-pt shot from 22 ft,,65-53,,
9:41.0,,,65-53,,Defensive rebound by D. Howard
9:31.0,,,65-53,,K. Bazemore misses 2-pt shot from 18 ft
9:29.0,Defensive rebound by H. Whiteside,,65-53,,
9:27.0,Turnover by H. Whiteside (bad pass; steal by M. Delaney),,65-53,,
9:24.0,,,65-55,2,M. Delaney makes 2-pt shot from 1 ft
9:04.0,L. Babbitt misses 2-pt shot at rim (block by K. Bazemore),,65-55,,
9:02.0,Offensive rebound by D. Waiters,,65-55,,
8:52.0,R. McGruder makes 2-pt shot at rim (assist by G. Dragic),2,67-55,,
8:29.0,,,67-55,,K. Bazemore misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by L. Babbitt,,67-55,,
8:22.0,,,67-55,,Personal foul by K. Bazemore (drawn by D. Waiters)
8:12.0,,,67-55,,Personal foul by K. Bazemore (drawn by H. Whiteside)
8:03.0,Shooting foul by M. Delaney (drawn by G. Dragic),,67-55,,
8:03.0,G. Dragic makes free throw 1 of 2,1,68-55,,
8:03.0,G. Dragic makes free throw 2 of 2,1,69-55,,
7:51.0,,,69-55,,Turnover by M. Delaney (bad pass; steal by H. Whiteside)
7:26.0,D. Waiters makes 2-pt shot from 14 ft (assist by G. Dragic),2,71-55,,
7:11.0,,,71-57,2,D. Howard makes 2-pt shot from 20 ft (assist by P. Millsap)
6:59.0,G. Dragic misses 3-pt shot from 25 ft,,71-57,,
6:57.0,Offensive rebound by L. Babbitt,,71-57,,
6:54.0,Turnover by L. Babbitt (bad pass; steal by P. Millsap),,71-57,,
6:51.0,,,71-57,,T. Sefolosha enters the game for M. Delaney
6:46.0,,,71-57,,T. Hardaway misses 2-pt shot from 20 ft
6:45.0,Defensive rebound by R. McGruder,,71-57,,
6:25.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters),3,74-57,,
6:19.0,,,74-57,,Atlanta full timeout
6:19.0,T. Johnson enters the game for G. Dragic,,74-57,,
6:08.0,,,74-57,,D. Howard misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by L. Babbitt,,74-57,,
5:43.0,R. McGruder makes 3-pt shot from 24 ft (assist by T. Johnson),3,77-57,,
5:28.0,,,77-60,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Bazemore)
5:01.0,T. Johnson makes 2-pt shot from 17 ft (assist by D. Waiters),2,79-60,,
4:47.0,,,79-62,2,P. Millsap makes 2-pt shot from 3 ft (assist by K. Bazemore)
4:26.0,D. Waiters makes 2-pt shot from 2 ft (assist by T. Johnson),2,81-62,,
4:07.0,,,81-62,,Shooting foul by L. Babbitt (drawn by P. Millsap)
4:07.0,,,81-62,,P. Millsap misses free throw 1 of 2
4:07.0,,,81-62,,Offensive rebound by Team
4:07.0,,,81-62,,P. Millsap misses free throw 2 of 2
4:07.0,J. Johnson enters the game for L. Babbitt,,81-62,,
4:07.0,,,81-62,,M. Muscala enters the game for D. Howard
4:07.0,,,81-62,,M. Delaney enters the game for K. Bazemore
4:05.0,Defensive rebound by H. Whiteside,,81-62,,
3:51.0,D. Waiters misses 3-pt shot from 25 ft,,81-62,,
3:50.0,,,81-62,,Defensive rebound by T. Hardaway
3:43.0,,,81-62,,T. Hardaway misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by T. Johnson,,81-62,,
3:32.0,H. Whiteside misses 2-pt shot from 5 ft,,81-62,,
3:31.0,,,81-62,,Defensive rebound by M. Muscala
3:22.0,,,81-62,,M. Muscala misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by H. Whiteside,,81-62,,
3:11.0,T. Johnson makes 3-pt shot from 25 ft,3,84-62,,
