time,Washington,pts.away,score,pts.home,Utah
1:55.0,B. Beal makes 2-pt shot from 11 ft,2,85-88,,
1:55.0,Shooting foul by S. Mack (drawn by B. Beal),,85-88,,
1:55.0,B. Beal makes free throw 1 of 1,1,86-88,,
1:31.0,,,86-88,,J. Johnson misses 2-pt shot from 20 ft
1:30.0,Defensive rebound by J. Wall,,86-88,,
1:17.0,Turnover by B. Beal (lost ball; steal by J. Ingles),,86-88,,
1:13.0,,,86-90,2,S. Mack makes 2-pt shot from 2 ft (assist by J. Ingles)
1:13.0,Washington full timeout,,86-90,,
1:09.0,B. Beal makes 2-pt shot from 8 ft,2,88-90,,
0:49.0,,,88-92,2,S. Mack makes 2-pt shot from 3 ft (assist by G. Hayward)
0:48.0,Washington full timeout,,88-92,,
0:48.0,K. Oubre enters the game for M. Morris,,88-92,,
0:35.0,Turnover by B. Beal (step out of bounds),,88-92,,
0:35.0,M. Morris enters the game for M. Gortat,,88-92,,
0:35.0,,,88-92,,Utah full timeout
0:35.0,,,88-92,,Utah full timeout
0:33.0,Personal foul by K. Oubre (drawn by S. Mack),,88-92,,
0:33.0,,,88-93,1,S. Mack makes free throw 1 of 2
0:33.0,,,88-94,1,S. Mack makes free throw 2 of 2
0:29.0,J. Wall misses 3-pt shot from 25 ft,,88-94,,
0:28.0,,,88-94,,Defensive rebound by J. Ingles
0:28.0,Personal foul by B. Beal (drawn by J. Ingles),,88-94,,
0:28.0,,,88-94,,J. Ingles misses free throw 1 of 2
0:28.0,,,88-94,,Offensive rebound by Team
0:28.0,,,88-95,1,J. Ingles makes free throw 2 of 2
0:19.0,B. Beal misses 3-pt shot from 25 ft,,88-95,,
0:19.0,,,88-95,,Defensive rebound by G. Hayward
0:00.0,End of 4th quarter,,,,End of 4th quarter
