time,New Orleans,pts.away,score,pts.home,Charlotte
1:23.0,,,110-105,,Defensive rebound by C. Zeller
1:16.0,,,110-107,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
0:58.0,A. Davis misses 2-pt shot from 15 ft,,110-107,,
0:57.0,,,110-107,,Defensive rebound by C. Zeller
0:49.0,,,110-110,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
0:49.0,New Orleans full timeout,,110-110,,
0:37.0,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday),2,112-110,,
0:37.0,,,112-110,,Charlotte full timeout
0:37.0,E. Moore enters the game for J. Crawford,,112-110,,
0:37.0,,,112-110,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:30.0,,,112-112,2,K. Walker makes 2-pt shot from 1 ft
0:09.0,A. Davis misses 2-pt shot from 15 ft,,112-112,,
0:08.0,,,112-112,,Defensive rebound by K. Walker
0:07.0,,,112-112,,Charlotte full timeout
0:07.0,,,112-112,,Charlotte full timeout
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,,,112-112,,Shooting foul by D. Cunningham (drawn by N. Batum)
4:46.0,,,112-112,,N. Batum misses free throw 1 of 2
4:46.0,,,112-112,,Offensive rebound by Team
4:46.0,,,112-113,1,N. Batum makes free throw 2 of 2
4:35.0,A. Davis misses 3-pt shot from 25 ft,,112-113,,
4:34.0,,,112-113,,Defensive rebound by N. Batum
4:26.0,Personal foul by J. Crawford (drawn by M. Kidd-Gilchrist),,112-113,,
4:20.0,,,112-113,,N. Batum misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by A. Davis,,112-113,,
4:07.0,J. Holiday misses 3-pt shot from 25 ft,,112-113,,
4:06.0,Offensive rebound by D. Cunningham,,112-113,,
3:53.0,A. Davis misses 2-pt shot from 7 ft,,112-113,,
3:52.0,,,112-113,,Defensive rebound by M. Williams
3:36.0,,,112-116,3,K. Walker makes 3-pt shot from 26 ft
3:23.0,J. Crawford makes 2-pt shot from 11 ft,2,114-116,,
3:06.0,,,114-116,,K. Walker misses 2-pt shot from 2 ft
3:05.0,Defensive rebound by A. Davis,,114-116,,
2:56.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,116-116,,
2:33.0,,,116-116,,N. Batum misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by D. Cunningham,,116-116,,
2:19.0,J. Crawford misses 2-pt shot from 15 ft,,116-116,,
2:17.0,,,116-116,,Defensive rebound by M. Williams
2:10.0,,,116-116,,K. Walker misses 3-pt shot from 27 ft
2:08.0,Defensive rebound by A. Davis,,116-116,,
2:06.0,New Orleans full timeout,,116-116,,
1:55.0,J. Holiday misses 2-pt shot from 2 ft,,116-116,,
1:54.0,,,116-116,,Defensive rebound by M. Williams
1:47.0,,,116-118,2,K. Walker makes 2-pt shot from 1 ft
1:33.0,J. Crawford misses 3-pt shot from 25 ft,,116-118,,
1:32.0,,,116-118,,Defensive rebound by M. Williams
1:21.0,,,116-118,,K. Walker misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by J. Crawford,,116-118,,
1:12.0,A. Davis misses 2-pt shot from 1 ft,,116-118,,
1:11.0,Offensive rebound by A. Davis,,116-118,,
1:11.0,A. Davis makes 2-pt shot from 2 ft,2,118-118,,
1:11.0,Shooting foul by C. Zeller (drawn by A. Davis),,118-118,,
1:11.0,A. Davis makes free throw 1 of 1,1,119-118,,
0:57.0,,,119-118,,Turnover by N. Batum (lost ball)
0:45.0,A. Davis makes 2-pt shot from 1 ft,2,121-118,,
0:45.0,,,121-118,,Charlotte full timeout
0:45.0,E. Moore enters the game for J. Crawford,,121-118,,
0:45.0,,,121-118,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:38.0,,,121-118,,N. Batum misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by Team,,121-118,,
0:36.0,J. Crawford enters the game for D. Cunningham,,121-118,,
0:36.0,,,121-118,,M. Kidd-Gilchrist enters the game for C. Zeller
0:20.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,123-118,,
0:20.0,,,123-118,,Charlotte full timeout
0:20.0,D. Cunningham enters the game for J. Crawford,,123-118,,
0:20.0,,,123-118,,C. Zeller enters the game for M. Kidd-Gilchrist
0:17.0,,,123-120,2,N. Batum makes 2-pt shot from 1 ft (assist by M. Williams)
0:09.0,,,123-120,,Personal take foul by M. Belinelli (drawn by J. Holiday)
0:09.0,J. Holiday makes free throw 1 of 2,1,124-120,,
0:09.0,J. Holiday makes free throw 2 of 2,1,125-120,,
0:09.0,,,125-120,,Charlotte full timeout
0:04.0,,,125-122,2,M. Belinelli makes 2-pt shot at rim (assist by N. Batum)
0:02.0,Turnover by J. Holiday (traveling),,125-122,,
0:00.0,,,125-122,,K. Walker misses 3-pt shot from 35 ft
0:00.0,,,125-122,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
