time,Memphis,pts.away,score,pts.home,Indiana
1:44.0,,,83-102,,A. Brooks enters the game for J. Teague
1:44.0,T. Daniels enters the game for T. Douglas,,83-102,,
1:25.0,,,83-102,,K. Seraphin misses 2-pt shot from 18 ft
1:24.0,,,83-102,,Offensive rebound by G. Robinson
1:15.0,,,83-102,,J. Young misses 2-pt shot from 9 ft (block by D. Davis)
1:14.0,,,83-102,,Offensive rebound by R. Christmas
1:00.0,,,83-102,,A. Brooks misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by J. Green,,83-102,,
0:54.0,T. Daniels makes 3-pt shot from 25 ft,3,86-102,,
0:44.0,,,86-102,,A. Brooks misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by J. Green,,86-102,,
0:36.0,,,86-102,,Personal foul by A. Brooks (drawn by D. Davis)
0:36.0,D. Davis makes free throw 1 of 2,1,87-102,,
0:36.0,D. Davis misses free throw 2 of 2,,87-102,,
0:35.0,Offensive rebound by J. Ennis,,87-102,,
0:30.0,Shooting foul by K. Seraphin (drawn by A. Harrison),,87-102,,
0:30.0,A. Harrison makes free throw 1 of 2,1,88-102,,
0:30.0,A. Harrison makes free throw 2 of 2,1,89-102,,
0:08.0,,,89-102,,K. Seraphin misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by D. Davis,,89-102,,
0:01.0,A. Harrison makes 3-pt shot from 26 ft,3,92-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
