time,Orlando,pts.away,score,pts.home,Oklahoma City
4:50.0,Offensive rebound by N. Vucevic,,104-105,,
4:50.0,N. Vucevic misses 2-pt shot from 4 ft,,104-105,,
4:49.0,Offensive rebound by N. Vucevic,,104-105,,
4:49.0,N. Vucevic misses 2-pt shot from 2 ft,,104-105,,
4:47.0,Offensive rebound by N. Vucevic,,104-105,,
4:47.0,N. Vucevic misses 2-pt shot from 2 ft,,104-105,,
4:46.0,,,104-105,,Defensive rebound by V. Oladipo
4:32.0,,,104-107,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
4:19.0,Shooting foul by J. Lauvergne (drawn by E. Payton),,104-107,,
4:19.0,E. Payton misses free throw 1 of 2,,104-107,,
4:19.0,Offensive rebound by Team,,104-107,,
4:19.0,E. Payton misses free throw 2 of 2,,104-107,,
4:19.0,,,104-107,,S. Adams enters the game for E. Kanter
4:19.0,B. Biyombo enters the game for N. Vucevic,,104-107,,
4:18.0,,,104-107,,Defensive rebound by R. Westbrook
4:02.0,,,104-107,,Turnover by V. Oladipo (bad pass)
3:42.0,E. Fournier makes 3-pt shot from 25 ft,3,107-107,,
3:27.0,,,107-107,,R. Westbrook misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by E. Payton,,107-107,,
3:15.0,E. Payton misses 2-pt shot from 10 ft,,107-107,,
3:15.0,,,107-107,,Defensive rebound by J. Lauvergne
3:03.0,,,107-107,,R. Westbrook misses 2-pt shot from 12 ft (block by E. Payton)
3:02.0,Defensive rebound by E. Fournier,,107-107,,
2:53.0,Offensive foul by B. Biyombo,,107-107,,
2:53.0,Turnover by B. Biyombo (offensive foul),,107-107,,
2:53.0,Official timeout,,107-107,,
2:53.0,,,107-107,,E. Kanter enters the game for J. Lauvergne
2:36.0,,,107-109,2,R. Westbrook makes 2-pt shot from 1 ft
2:23.0,J. Green makes 2-pt shot from 2 ft (assist by E. Fournier),2,109-109,,
2:06.0,,,109-111,2,R. Westbrook makes 2-pt shot from 17 ft
1:48.0,Turnover by E. Fournier (bad pass; steal by E. Kanter),,109-111,,
1:44.0,,,109-113,2,V. Oladipo makes 2-pt shot at rim
1:27.0,Shooting foul by S. Adams (drawn by E. Fournier),,109-113,,
1:27.0,E. Fournier makes free throw 1 of 2,1,110-113,,
1:27.0,E. Fournier makes free throw 2 of 2,1,111-113,,
1:13.0,,,111-115,2,R. Westbrook makes 2-pt shot from 20 ft
0:59.0,E. Payton makes 3-pt shot from 23 ft (assist by E. Fournier),3,114-115,,
0:45.0,,,114-115,,Shooting foul by S. Ibaka (drawn by R. Westbrook)
0:45.0,,,114-116,1,R. Westbrook makes free throw 1 of 3
0:45.0,,,114-116,,R. Westbrook misses free throw 2 of 3
0:45.0,,,114-116,,Offensive rebound by Team
0:45.0,,,114-117,1,R. Westbrook makes free throw 3 of 3
0:45.0,N. Vucevic enters the game for B. Biyombo,,114-116,,
0:30.0,E. Fournier makes 3-pt shot from 24 ft (assist by J. Green),3,117-117,,
0:12.0,,,117-117,,R. Westbrook misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by E. Payton,,117-117,,
0:11.0,Orlando full timeout,,117-117,,
0:11.0,,,117-117,,J. Lauvergne enters the game for E. Kanter
0:00.0,S. Ibaka makes 2-pt shot from 9 ft (assist by E. Payton),2,119-117,,
0:00.0,,,119-117,,Oklahoma City full timeout
0:00.0,,,119-117,,N. Collison enters the game for S. Adams
0:00.0,,,119-117,,E. Kanter enters the game for J. Lauvergne
0:00.0,B. Biyombo enters the game for N. Vucevic,,119-117,,
0:00.0,,,119-117,,A. Abrines enters the game for A. Roberson
0:00.0,Orlando full timeout,,119-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
