time,Denver,pts.away,score,pts.home,Phoenix
5:38.0,,,73-62,2,T. Chandler makes 2-pt shot from 2 ft
5:17.0,W. Chandler misses 2-pt shot from 14 ft,,73-62,,
5:15.0,,,73-62,,Defensive rebound by T. Chandler
4:59.0,,,73-64,2,E. Bledsoe makes 2-pt shot from 15 ft
4:43.0,J. Nelson makes 3-pt shot from 25 ft,3,76-64,,
4:30.0,,,76-64,,E. Bledsoe misses 3-pt shot from 26 ft
4:29.0,,,76-64,,Offensive rebound by Team
4:29.0,Loose ball foul by N. Jokic (drawn by A. Len),,76-64,,
4:29.0,J. Murray enters the game for E. Mudiay,,76-64,,
4:22.0,,,76-67,3,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
4:12.0,D. Arthur misses 3-pt shot from 25 ft,,76-67,,
4:10.0,,,76-67,,Defensive rebound by D. Booker
3:58.0,,,76-70,3,E. Bledsoe makes 3-pt shot from 26 ft
3:35.0,J. Nelson makes 2-pt shot from 3 ft,2,78-70,,
3:26.0,,,78-73,3,D. Booker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
3:07.0,W. Chandler misses 3-pt shot from 25 ft,,78-73,,
3:05.0,Offensive rebound by J. Murray,,78-73,,
2:55.0,D. Arthur misses 3-pt shot from 24 ft,,78-73,,
2:53.0,,,78-73,,Defensive rebound by A. Len
2:39.0,,,78-73,,D. Booker misses 3-pt shot from 26 ft
2:37.0,Defensive rebound by J. Murray,,78-73,,
2:33.0,J. Murray misses 2-pt shot from 1 ft,,78-73,,
2:31.0,Offensive rebound by W. Chandler,,78-73,,
2:23.0,W. Chandler makes 2-pt shot from 13 ft,2,80-73,,
2:00.0,,,80-76,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
1:59.0,Denver full timeout,,80-76,,
1:59.0,,,80-76,,A. Williams enters the game for T. Chandler
1:47.0,J. Murray misses 3-pt shot from 25 ft,,80-76,,
1:45.0,,,80-76,,Defensive rebound by E. Bledsoe
1:33.0,,,80-76,,Turnover by E. Bledsoe (bad pass; steal by W. Chandler)
1:32.0,W. Chandler makes 2-pt shot from 1 ft,2,82-76,,
1:32.0,Shooting foul by D. Booker (drawn by W. Chandler),,82-76,,
1:32.0,W. Chandler makes free throw 1 of 1,1,83-76,,
1:12.0,,,83-76,,D. Booker misses 2-pt shot from 14 ft
1:09.0,,,83-76,,Offensive rebound by A. Len
1:07.0,,,83-76,,E. Bledsoe misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by W. Chandler,,83-76,,
0:57.0,J. Nelson makes 3-pt shot from 25 ft (assist by D. Arthur),3,86-76,,
0:39.0,,,86-76,,A. Williams misses 2-pt shot from 7 ft
0:36.0,Defensive rebound by N. Jokic,,86-76,,
0:27.0,J. Nelson misses 3-pt shot from 28 ft,,86-76,,
0:27.0,,,86-76,,Defensive rebound by Team
0:27.0,A. Gee enters the game for W. Chandler,,86-76,,
0:06.0,,,86-76,,Shooting foul by J. Nelson (drawn by P. Tucker)
0:06.0,,,86-78,2,P. Tucker makes 2-pt shot from 3 ft
0:06.0,,,86-79,1,P. Tucker makes free throw 1 of 1
0:06.0,,,86-78,,T. Ulis enters the game for D. Booker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,86-81,2,B. Knight makes 2-pt shot from 10 ft
