time,Brooklyn,pts.away,score,pts.home,Houston
8:33.0,J. Harris makes free throw 1 of 2,1,93-98,,
8:33.0,J. Harris makes free throw 2 of 2,1,94-98,,
8:33.0,R. Hollis-Jefferson enters the game for A. Bennett,,93-98,,
8:15.0,,,94-98,,C. Brewer misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by T. Booker,,94-98,,
8:14.0,,,94-98,,Loose ball foul by C. Capela (drawn by T. Booker)
8:14.0,,,94-98,,J. Harden enters the game for P. Beverley
8:14.0,,,94-98,,T. Ariza enters the game for C. Brewer
8:14.0,,,94-98,,R. Anderson enters the game for S. Dekker
8:00.0,T. Booker misses 2-pt shot from 5 ft,,94-98,,
7:59.0,,,94-98,,Defensive rebound by R. Anderson
7:39.0,,,94-100,2,J. Harden makes 2-pt shot from 2 ft
7:19.0,I. Whitehead makes 2-pt shot from 12 ft (assist by S. Kilpatrick),2,96-100,,
7:04.0,,,96-102,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:44.0,S. Kilpatrick misses 2-pt shot from 20 ft,,96-102,,
6:43.0,,,96-102,,Defensive rebound by Team
6:43.0,B. Lopez enters the game for T. Booker,,96-102,,
6:43.0,,,96-102,,N. Hilario enters the game for C. Capela
6:35.0,,,96-102,,Shooting foul by S. Kilpatrick (drawn by J. Harden)
6:35.0,,,96-102,,J. Harden misses free throw 1 of 3
6:35.0,,,96-102,,Offensive rebound by Team
6:35.0,,,96-102,,J. Harden misses free throw 2 of 3
6:35.0,,,96-102,,Offensive rebound by Team
6:35.0,,,96-103,1,J. Harden makes free throw 3 of 3
6:23.0,Turnover by S. Kilpatrick (bad pass),,96-103,,
6:16.0,,,96-105,2,J. Harden makes 2-pt shot from 3 ft
6:00.0,B. Lopez misses 3-pt shot from 27 ft,,96-105,,
5:59.0,Offensive rebound by R. Hollis-Jefferson,,96-105,,
5:57.0,,,96-105,,Shooting block foul by R. Anderson (drawn by S. Kilpatrick)
5:57.0,Official timeout,,96-105,,
5:57.0,S. Kilpatrick makes free throw 1 of 2,1,97-105,,
5:57.0,S. Kilpatrick makes free throw 2 of 2,1,98-105,,
5:47.0,,,98-105,,Turnover by J. Harden (traveling)
5:31.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by S. Kilpatrick),2,100-105,,
5:20.0,,,100-108,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
5:11.0,B. Lopez makes 2-pt shot from 1 ft (assist by I. Whitehead),2,102-108,,
4:56.0,,,102-108,,E. Gordon misses 3-pt shot from 27 ft
4:56.0,Defensive rebound by Team,,102-108,,
4:56.0,J. Lin enters the game for I. Whitehead,,102-108,,
4:56.0,T. Booker enters the game for R. Hollis-Jefferson,,102-108,,
4:37.0,B. Lopez misses 2-pt shot from 3 ft,,102-108,,
4:36.0,,,102-108,,Defensive rebound by T. Ariza
4:26.0,,,102-108,,Turnover by T. Ariza (bad pass; steal by J. Lin)
4:22.0,J. Lin makes 2-pt shot from 1 ft,2,104-108,,
4:13.0,Personal foul by S. Kilpatrick (drawn by J. Harden),,104-108,,
4:04.0,,,104-108,,N. Hilario misses 2-pt shot from 3 ft
4:03.0,,,104-108,,Offensive rebound by J. Harden
3:47.0,,,104-108,,Shooting foul by J. Lin (drawn by E. Gordon)
3:47.0,,,104-108,,E. Gordon misses free throw 1 of 2
3:47.0,,,104-108,,Offensive rebound by Team
3:47.0,,,104-109,1,E. Gordon makes free throw 2 of 2
3:33.0,Shooting foul by N. Hilario (drawn by B. Lopez),,104-109,,
3:33.0,B. Lopez makes free throw 1 of 2,1,105-109,,
3:33.0,B. Lopez makes free throw 2 of 2,1,106-109,,
3:33.0,,,105-109,,P. Beverley enters the game for E. Gordon
3:23.0,,,106-111,2,J. Harden makes 2-pt shot from 10 ft
3:14.0,J. Harris makes 3-pt shot from 27 ft (assist by J. Lin),3,109-111,,
2:57.0,,,109-111,,Shooting foul by J. Harris (drawn by J. Harden)
2:57.0,,,109-111,,Houston full timeout
2:57.0,,,109-112,1,J. Harden makes free throw 1 of 3
2:57.0,,,109-112,,J. Harden misses free throw 2 of 3
2:57.0,,,109-112,,Offensive rebound by Team
2:57.0,,,109-113,1,J. Harden makes free throw 3 of 3
2:40.0,B. Lopez makes 2-pt shot from 10 ft (assist by T. Booker),2,111-113,,
2:26.0,,,111-113,,J. Harden misses 3-pt shot from 28 ft
2:24.0,Defensive rebound by T. Booker,,111-113,,
2:20.0,T. Booker makes 2-pt shot from 2 ft,2,113-113,,
2:20.0,Shooting foul by R. Anderson (drawn by T. Booker),,113-113,,
2:20.0,T. Booker makes free throw 1 of 1,1,114-113,,
2:10.0,,,114-113,,J. Harden misses 2-pt shot from 9 ft
2:09.0,,,114-113,,Offensive rebound by J. Harden
2:09.0,,,114-113,,J. Harden misses 2-pt shot from 2 ft
2:09.0,Defensive rebound by Team,,114-113,,
1:57.0,B. Lopez makes 2-pt shot from 9 ft,2,116-113,,
1:57.0,,,116-113,,Houston full timeout
1:57.0,,,116-113,,E. Gordon enters the game for R. Anderson
1:47.0,,,116-116,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
1:30.0,Offensive charge foul by S. Kilpatrick,,116-116,,
1:30.0,Turnover by S. Kilpatrick (offensive foul),,116-116,,
1:20.0,,,116-116,,J. Harden misses 2-pt shot from 7 ft (block by B. Lopez)
1:20.0,,,116-116,,Offensive rebound by Team
1:11.0,,,116-118,2,J. Harden makes 2-pt shot from 17 ft
1:11.0,Brooklyn full timeout,,116-118,,
1:03.0,Turnover by B. Lopez (lost ball; steal by N. Hilario),,116-118,,
0:46.0,,,116-118,,J. Harden misses 2-pt shot from 19 ft
0:45.0,Defensive rebound by J. Harris,,116-118,,
0:40.0,J. Harris makes 2-pt shot from 4 ft (assist by J. Lin),2,118-118,,
0:29.0,Personal foul by J. Lin (drawn by N. Hilario),,118-118,,
0:29.0,,,118-118,,N. Hilario misses free throw 1 of 2
0:29.0,,,118-118,,Offensive rebound by Team
0:29.0,,,118-119,1,N. Hilario makes free throw 2 of 2
0:19.0,J. Lin misses 3-pt shot from 25 ft,,118-119,,
0:17.0,Offensive rebound by B. Lopez,,118-119,,
0:13.0,J. Harris misses 2-pt shot from 3 ft (block by T. Ariza),,118-119,,
0:12.0,,,118-119,,Defensive rebound by N. Hilario
0:12.0,Personal foul by S. Kilpatrick (drawn by E. Gordon),,118-119,,
0:12.0,,,118-120,1,E. Gordon makes free throw 1 of 2
0:12.0,,,118-120,,E. Gordon misses free throw 2 of 2
0:12.0,Defensive rebound by J. Harris,,118-120,,
0:12.0,Brooklyn full timeout,,118-120,,
0:12.0,B. Bogdanovic enters the game for T. Booker,,118-120,,
0:08.0,Brooklyn full timeout,,118-120,,
0:06.0,Turnover by S. Kilpatrick (bad pass; steal by P. Beverley),,118-120,,
0:06.0,Personal foul by B. Lopez (drawn by E. Gordon),,118-120,,
0:06.0,,,118-121,1,E. Gordon makes free throw 1 of 2
0:06.0,,,118-122,1,E. Gordon makes free throw 2 of 2
0:06.0,T. Booker enters the game for B. Bogdanovic,,118-121,,
0:05.0,Turnover by B. Lopez (bad pass; steal by T. Ariza),,118-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
