time,LA Lakers,pts.away,score,pts.home,New Orleans
5:28.0,,,46-38,,New Orleans full timeout
5:28.0,,,46-38,,T. Frazier enters the game for L. Galloway
5:28.0,D. Russell enters the game for B. Ingram,,46-38,,
5:28.0,L. Deng enters the game for L. Williams,,46-38,,
5:17.0,,,46-40,2,A. Davis makes 2-pt shot from 2 ft (assist by B. Hield)
5:01.0,L. Deng misses 3-pt shot from 26 ft,,46-40,,
5:01.0,,,46-40,,Defensive rebound by Team
5:01.0,,,46-40,,E. Moore enters the game for S. Hill
4:48.0,,,46-40,,Shooting foul by J. Randle (drawn by T. Jones)
4:48.0,,,46-41,1,T. Jones makes free throw 1 of 2
4:48.0,,,46-42,1,T. Jones makes free throw 2 of 2
4:48.0,T. Robinson enters the game for J. Randle,,46-41,,
4:33.0,L. Nance misses 2-pt shot from 19 ft,,46-42,,
4:31.0,Offensive rebound by N. Young,,46-42,,
4:25.0,,,46-42,,Violation by T. Jones (kicked ball)
4:15.0,L. Deng misses 2-pt shot from 16 ft,,46-42,,
4:15.0,,,46-42,,Defensive rebound by A. Davis
3:59.0,,,46-42,,Shooting foul by D. Russell (drawn by A. Davis)
3:59.0,,,46-43,1,A. Davis makes free throw 1 of 2
3:59.0,,,46-44,1,A. Davis makes free throw 2 of 2
3:48.0,D. Russell misses 2-pt shot from 2 ft,,46-44,,
3:47.0,,,46-44,,Defensive rebound by A. Davis
3:39.0,,,46-46,2,A. Davis makes 2-pt shot from 2 ft
3:39.0,LA Lakers full timeout,,46-46,,
3:39.0,L. Williams enters the game for L. Nance,,46-46,,
3:38.0,J. Clarkson enters the game for L. Deng,,46-46,,
3:38.0,T. Mozgov enters the game for N. Young,,46-46,,
3:38.0,B. Ingram enters the game for D. Russell,,46-46,,
3:20.0,B. Ingram makes 2-pt shot from 11 ft,2,48-46,,
3:04.0,,,48-48,2,A. Davis makes 2-pt shot from 8 ft
2:49.0,,,48-48,,Personal foul by B. Hield (drawn by J. Clarkson)
2:42.0,B. Ingram makes 2-pt shot from 9 ft (assist by L. Williams),2,50-48,,
2:15.0,,,50-50,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Jones)
1:53.0,J. Clarkson misses 3-pt shot from 25 ft,,50-50,,
1:53.0,,,50-50,,Defensive rebound by E. Moore
1:41.0,,,50-52,2,A. Davis makes 2-pt shot from 8 ft (assist by T. Frazier)
1:19.0,L. Williams makes 2-pt shot from 2 ft,2,52-52,,
1:19.0,Shooting foul by T. Jones,,52-52,,
1:19.0,L. Williams makes free throw 1 of 1,1,53-52,,
1:08.0,Shooting block foul by T. Mozgov (drawn by A. Davis),,53-52,,
1:08.0,,,53-53,1,A. Davis makes free throw 1 of 2
1:08.0,,,53-53,,A. Davis misses free throw 2 of 2
1:06.0,Defensive rebound by T. Robinson,,53-53,,
0:45.0,J. Clarkson misses 2-pt shot from 8 ft,,53-53,,
0:42.0,Offensive rebound by T. Robinson,,53-53,,
0:42.0,T. Robinson makes 2-pt shot at rim,2,55-53,,
0:25.0,,,55-53,,Turnover by A. Davis (lost ball; steal by J. Clarkson)
0:22.0,Turnover by J. Clarkson (traveling),,55-53,,
0:00.0,,,55-56,3,B. Hield makes 3-pt shot from 25 ft (assist by T. Frazier)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Russell misses 2-pt shot from 13 ft,,55-56,,
11:45.0,Offensive rebound by L. Deng,,55-56,,
11:41.0,N. Young misses 3-pt shot from 25 ft,,55-56,,
11:41.0,Offensive rebound by Team,,55-56,,
11:41.0,,,55-56,,Loose ball foul by O. Asik (drawn by T. Mozgov)
11:31.0,L. Deng misses 3-pt shot from 27 ft,,55-56,,
11:30.0,,,55-56,,Defensive rebound by O. Asik
11:12.0,,,55-56,,E. Moore misses 2-pt shot from 4 ft
11:12.0,,,55-56,,Offensive rebound by O. Asik
11:10.0,,,55-56,,Turnover by O. Asik (bad pass; steal by J. Randle)
11:02.0,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle),3,58-56,,
10:43.0,,,58-56,,A. Davis misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by D. Russell,,58-56,,
10:34.0,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle),3,61-56,,
10:14.0,,,61-58,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Frazier)
10:02.0,D. Russell misses 3-pt shot from 26 ft,,61-58,,
10:01.0,,,61-58,,Defensive rebound by D. Cunningham
9:50.0,,,61-58,,Turnover by T. Frazier (lost ball)
9:43.0,,,61-58,,Personal foul by O. Asik (drawn by T. Mozgov)
9:32.0,D. Russell misses 2-pt shot from 3 ft,,61-58,,
9:32.0,,,61-58,,Defensive rebound by A. Davis
9:22.0,,,61-60,2,T. Frazier makes 2-pt shot from 2 ft
8:53.0,J. Randle misses 2-pt shot from 19 ft (block by A. Davis),,61-60,,
8:52.0,,,61-60,,Defensive rebound by A. Davis
8:44.0,,,61-60,,A. Davis misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by T. Mozgov,,61-60,,
8:33.0,T. Mozgov makes 2-pt shot from 14 ft (assist by D. Russell),2,63-60,,
8:14.0,,,63-62,2,A. Davis makes 2-pt shot from 3 ft (assist by T. Frazier)
8:12.0,,,63-62,,Personal take foul by T. Frazier (drawn by D. Russell)
8:12.0,,,63-62,,New Orleans full timeout
8:12.0,,,63-62,,T. Jones enters the game for A. Davis
7:59.0,T. Mozgov makes 2-pt shot from 18 ft (assist by J. Randle),2,65-62,,
7:38.0,,,65-62,,T. Frazier misses 2-pt shot from 12 ft
7:37.0,Defensive rebound by L. Deng,,65-62,,
7:24.0,D. Russell makes 2-pt shot from 1 ft (assist by J. Randle),2,67-62,,
7:09.0,,,67-62,,D. Cunningham misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by Team,,67-62,,
6:51.0,Turnover by T. Mozgov (lost ball; steal by D. Cunningham),,67-62,,
6:45.0,,,67-62,,E. Moore misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by D. Russell,,67-62,,
6:34.0,D. Russell misses 3-pt shot from 28 ft,,67-62,,
6:34.0,,,67-62,,Defensive rebound by O. Asik
6:28.0,,,67-62,,Turnover by T. Frazier (bad pass; steal by J. Randle)
6:21.0,J. Randle makes 2-pt shot from 2 ft (assist by N. Young),2,69-62,,
6:21.0,,,69-62,,New Orleans full timeout
6:21.0,,,69-62,,B. Hield enters the game for D. Cunningham
6:21.0,,,69-62,,A. Ajinca enters the game for O. Asik
5:59.0,,,69-62,,T. Frazier misses 2-pt shot from 8 ft (block by D. Russell)
5:58.0,Defensive rebound by J. Randle,,69-62,,
5:55.0,L. Deng misses 2-pt shot from 23 ft,,69-62,,
5:52.0,,,69-62,,Defensive rebound by A. Ajinca
5:49.0,Personal foul by N. Young (drawn by A. Ajinca),,69-62,,
5:34.0,,,69-62,,B. Hield misses 2-pt shot from 11 ft
5:33.0,Defensive rebound by L. Deng,,69-62,,
5:22.0,N. Young makes 3-pt shot from 26 ft (assist by T. Mozgov),3,72-62,,
5:12.0,,,72-62,,E. Moore misses 2-pt shot from 7 ft
5:10.0,Defensive rebound by T. Mozgov,,72-62,,
5:04.0,N. Young makes 3-pt shot from 26 ft (assist by D. Russell),3,75-62,,
5:03.0,,,75-62,,New Orleans full timeout
5:03.0,,,75-62,,S. Hill enters the game for E. Moore
4:49.0,,,75-62,,B. Hield misses 2-pt shot from 8 ft
4:49.0,Defensive rebound by J. Randle,,75-62,,
4:36.0,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Randle),2,77-62,,
4:18.0,,,77-62,,T. Jones misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by Team,,77-62,,
4:04.0,N. Young misses 3-pt shot from 25 ft,,77-62,,
4:03.0,Offensive rebound by J. Randle,,77-62,,
3:46.0,L. Deng misses 2-pt shot from 7 ft,,77-62,,
3:45.0,,,77-62,,Defensive rebound by T. Jones
3:33.0,,,77-62,,T. Jones misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by T. Mozgov,,77-62,,
3:23.0,Turnover by D. Russell (lost ball; steal by S. Hill),,77-62,,
