time,San Antonio,pts.away,score,pts.home,Denver
2:36.0,,,118-94,,Turnover by A. Gee (offensive foul)
2:36.0,,,118-94,,Offensive charge foul by A. Gee
2:25.0,D. Murray misses 2-pt shot from 5 ft (block by E. Mudiay),,118-94,,
2:24.0,Offensive rebound by Team,,118-94,,
2:15.0,J. Simmons makes 2-pt shot from 2 ft,2,120-94,,
2:01.0,,,120-96,2,E. Mudiay makes 2-pt shot from 1 ft
1:47.0,Shooting foul by J. Murray (drawn by J. Simmons),,120-96,,
1:47.0,J. Simmons misses free throw 1 of 2,,120-96,,
1:47.0,Offensive rebound by Team,,120-96,,
1:47.0,J. Simmons makes free throw 2 of 2,1,121-96,,
1:37.0,,,121-96,,Turnover by M. Miller (bad pass)
1:26.0,D. Murray misses 2-pt shot from 4 ft,,121-96,,
1:26.0,,,121-96,,Defensive rebound by A. Gee
1:23.0,,,121-96,,Turnover by A. Gee (traveling)
1:04.0,Shooting foul by A. Gee (drawn by J. Simmons),,121-96,,
1:04.0,J. Simmons makes free throw 1 of 2,1,122-96,,
1:04.0,J. Simmons makes free throw 2 of 2,1,123-96,,
0:43.0,,,123-96,,E. Mudiay misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by D. Dedmon,,123-96,,
0:35.0,K. Anderson makes 2-pt shot from 18 ft,2,125-96,,
0:28.0,,,125-96,,Turnover by E. Mudiay (bad pass; steal by K. Anderson)
0:10.0,K. Anderson makes 2-pt shot from 20 ft (assist by D. Murray),2,127-96,,
0:05.0,,,127-99,3,J. Murray makes 3-pt shot from 30 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
