time,Brooklyn,pts.away,score,pts.home,Denver
8:18.0,Shooting block foul by R. Hollis-Jefferson (drawn by G. Harris),,83-109,,
8:18.0,,,83-110,1,G. Harris makes free throw 1 of 2
8:18.0,,,83-111,1,G. Harris makes free throw 2 of 2
8:03.0,Turnover by J. Hamilton (lost ball; steal by J. Murray),,83-111,,
7:55.0,,,83-111,,J. Murray misses 2-pt shot from 2 ft
7:53.0,,,83-111,,Offensive rebound by W. Chandler
7:53.0,,,83-113,2,W. Chandler makes 2-pt shot at rim
7:46.0,Turnover by I. Whitehead (bad pass; steal by D. Arthur),,83-113,,
7:42.0,,,83-113,,Shooting foul by I. Whitehead (drawn by W. Barton)
7:42.0,,,83-114,1,W. Barton makes free throw 1 of 2
7:42.0,,,83-115,1,W. Barton makes free throw 2 of 2
7:42.0,,,83-114,,M. Plumlee enters the game for D. Arthur
7:42.0,,,83-114,,J. Hernangomez enters the game for W. Chandler
7:32.0,I. Whitehead makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,86-115,,
7:14.0,,,86-115,,G. Harris misses 2-pt shot from 3 ft
7:14.0,Defensive rebound by C. LeVert,,86-115,,
7:11.0,Shooting foul by J. Murray (drawn by C. LeVert),,86-115,,
7:11.0,C. LeVert misses free throw 1 of 2,,86-115,,
7:11.0,Offensive rebound by Team,,86-115,,
7:11.0,C. LeVert makes free throw 2 of 2,1,87-115,,
6:57.0,,,87-115,,Turnover by W. Barton (bad pass; steal by J. Hamilton)
6:56.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,89-115,,
6:56.0,Shooting foul by W. Barton (drawn by S. Dinwiddie),,89-115,,
6:56.0,,,89-115,,Denver full timeout
6:56.0,S. Dinwiddie makes free throw 1 of 1,1,90-115,,
6:33.0,,,90-118,3,G. Harris makes 3-pt shot from 26 ft (assist by M. Plumlee)
6:18.0,C. LeVert misses 3-pt shot from 25 ft,,90-118,,
6:17.0,Offensive rebound by R. Hollis-Jefferson,,90-118,,
6:12.0,S. Dinwiddie makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,92-118,,
5:58.0,,,92-118,,J. Hernangomez misses 3-pt shot from 26 ft
5:57.0,Defensive rebound by C. LeVert,,92-118,,
5:51.0,Shooting foul by M. Plumlee (drawn by I. Whitehead),,92-118,,
5:51.0,I. Whitehead makes free throw 1 of 2,1,93-118,,
5:51.0,I. Whitehead makes free throw 2 of 2,1,94-118,,
5:32.0,,,94-120,2,J. Hernangomez makes 2-pt shot at rim (assist by J. Murray)
5:20.0,R. Hollis-Jefferson makes 2-pt shot from 7 ft (assist by J. Hamilton),2,96-120,,
5:02.0,,,96-120,,J. Murray misses 2-pt shot from 5 ft
4:59.0,Defensive rebound by J. Hamilton,,96-120,,
4:53.0,C. LeVert makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,98-120,,
4:53.0,,,98-120,,Denver full timeout
4:53.0,,,98-120,,E. Mudiay enters the game for G. Harris
4:35.0,,,98-120,,W. Barton misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by J. Hamilton,,98-120,,
4:24.0,J. Hamilton misses 3-pt shot from 24 ft,,98-120,,
4:23.0,,,98-120,,Defensive rebound by J. Hernangomez
4:12.0,,,98-122,2,M. Plumlee makes 2-pt shot at rim (assist by W. Barton)
3:57.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Hamilton),2,100-122,,
3:44.0,,,100-122,,E. Mudiay misses 2-pt shot from 21 ft
3:43.0,Defensive rebound by J. Hamilton,,100-122,,
3:32.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft (block by E. Mudiay),,100-122,,
3:31.0,,,100-122,,Defensive rebound by Team
3:19.0,,,100-122,,Turnover by W. Barton (lost ball; steal by R. Hollis-Jefferson)
3:16.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Hernangomez),,100-122,,
3:11.0,,,100-122,,Turnover by J. Hernangomez (bad pass; steal by S. Dinwiddie)
3:06.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,102-122,,
2:45.0,,,102-122,,W. Barton misses 3-pt shot from 27 ft
2:43.0,Defensive rebound by I. Whitehead,,102-122,,
2:38.0,Turnover by I. Whitehead (lost ball; steal by E. Mudiay),,102-122,,
2:34.0,,,102-122,,J. Murray misses 2-pt shot from 2 ft
2:33.0,,,102-122,,Offensive rebound by J. Hernangomez
2:32.0,,,102-124,2,J. Hernangomez makes 2-pt shot from 2 ft
2:31.0,Brooklyn full timeout,,102-124,,
2:31.0,,,102-124,,D. Arthur enters the game for M. Plumlee
2:31.0,,,102-124,,M. Miller enters the game for W. Barton
2:12.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,102-124,,
2:11.0,Offensive rebound by J. Hamilton,,102-124,,
2:10.0,Shooting foul by M. Miller (drawn by J. Hamilton),,102-124,,
2:10.0,J. Hamilton makes free throw 1 of 2,1,103-124,,
2:10.0,J. Hamilton misses free throw 2 of 2,,103-124,,
2:08.0,,,103-124,,Defensive rebound by J. Hernangomez
1:53.0,,,103-127,3,J. Hernangomez makes 3-pt shot from 25 ft (assist by E. Mudiay)
1:44.0,S. Dinwiddie misses 2-pt shot from 1 ft,,103-127,,
1:42.0,,,103-127,,Defensive rebound by M. Miller
1:40.0,,,103-127,,J. Hernangomez misses 2-pt shot from 2 ft (block by J. Hamilton)
1:39.0,Defensive rebound by Team,,103-127,,
1:22.0,C. LeVert misses 3-pt shot from 26 ft,,103-127,,
1:20.0,Offensive rebound by R. Hollis-Jefferson,,103-127,,
1:16.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Hernangomez),,103-127,,
1:11.0,,,103-127,,J. Murray misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by J. Hamilton,,103-127,,
1:05.0,J. Hamilton makes 2-pt shot at rim (assist by I. Whitehead),2,105-127,,
0:59.0,,,105-127,,Turnover by E. Mudiay (bad pass)
0:47.0,R. Hollis-Jefferson makes 2-pt shot from 14 ft (assist by C. LeVert),2,107-127,,
0:37.0,,,107-127,,Shooting foul by J. Hamilton (drawn by E. Mudiay)
0:37.0,,,107-128,1,E. Mudiay makes free throw 1 of 2
0:37.0,,,107-129,1,E. Mudiay makes free throw 2 of 2
0:28.0,I. Whitehead misses 3-pt shot from 26 ft,,107-129,,
0:27.0,,,107-129,,Defensive rebound by J. Hernangomez
0:04.0,,,107-129,,J. Murray misses 3-pt shot from 32 ft
0:03.0,Defensive rebound by S. Dinwiddie,,107-129,,
0:00.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,109-129,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
