time,LA Clippers,pts.away,score,pts.home,Charlotte
0:58.0,,,100-96,1,F. Kaminsky makes free throw 1 of 2
0:58.0,,,100-97,1,F. Kaminsky makes free throw 2 of 2
0:45.0,A. Rivers misses 2-pt shot from 8 ft,,100-97,,
0:45.0,Offensive rebound by B. Griffin,,100-97,,
0:45.0,B. Griffin makes 2-pt shot at rim,2,102-97,,
0:45.0,,,102-97,,Charlotte full timeout
0:45.0,R. Felton enters the game for J. Redick,,102-97,,
0:40.0,,,102-97,,N. Batum misses 2-pt shot from 1 ft (block by D. Jordan)
0:38.0,Defensive rebound by D. Jordan,,102-97,,
0:37.0,Turnover by D. Jordan (bad pass; steal by K. Walker),,102-97,,
0:33.0,,,102-97,,M. Belinelli misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by D. Jordan,,102-97,,
0:33.0,LA Clippers full timeout,,102-97,,
0:33.0,J. Redick enters the game for D. Jordan,,102-97,,
0:33.0,,,102-97,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:30.0,,,102-97,,Personal take foul by F. Kaminsky (drawn by J. Crawford)
0:27.0,,,102-97,,Personal foul by K. Walker (drawn by J. Crawford)
0:27.0,J. Crawford makes free throw 1 of 2,1,103-97,,
0:27.0,J. Crawford makes free throw 2 of 2,1,104-97,,
0:27.0,,,103-97,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:27.0,L. Mbah a Moute enters the game for J. Redick,,103-97,,
0:19.0,,,104-100,3,K. Walker makes 3-pt shot from 25 ft
0:19.0,LA Clippers full timeout,,104-100,,
0:19.0,J. Redick enters the game for L. Mbah a Moute,,104-100,,
0:19.0,,,104-100,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:16.0,B. Griffin misses 2-pt shot at rim (block by N. Batum),,104-100,,
0:14.0,Offensive rebound by B. Griffin,,104-100,,
0:10.0,,,104-100,,Personal take foul by M. Kidd-Gilchrist (drawn by J. Crawford)
0:10.0,J. Crawford misses free throw 1 of 2,,104-100,,
0:10.0,Offensive rebound by Team,,104-100,,
0:10.0,J. Crawford makes free throw 2 of 2,1,105-100,,
0:10.0,,,105-100,,Charlotte full timeout
0:10.0,L. Mbah a Moute enters the game for J. Redick,,104-100,,
0:10.0,J. Redick enters the game for L. Mbah a Moute,,105-100,,
0:10.0,,,105-100,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:09.0,Personal foul by B. Griffin (drawn by N. Batum),,105-100,,
0:09.0,,,105-101,1,N. Batum makes free throw 1 of 2
0:09.0,,,105-102,1,N. Batum makes free throw 2 of 2
0:09.0,,,105-101,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:06.0,,,105-102,,Personal take foul by M. Kidd-Gilchrist (drawn by J. Redick)
0:06.0,J. Redick makes free throw 1 of 2,1,106-102,,
0:06.0,J. Redick makes free throw 2 of 2,1,107-102,,
0:06.0,L. Mbah a Moute enters the game for J. Crawford,,106-102,,
0:06.0,,,106-102,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:05.0,,,107-102,,Turnover by M. Williams (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
