time,Golden State,pts.away,score,pts.home,Indiana
6:15.0,,,114-80,,Indiana full timeout
6:15.0,,,114-80,,A. Brooks enters the game for R. Stuckey
6:15.0,K. Looney enters the game for I. Clark,,114-80,,
6:10.0,,,114-80,,G. Robinson misses 2-pt shot from 8 ft
6:09.0,,,114-80,,Offensive rebound by K. Seraphin
6:09.0,,,114-80,,K. Seraphin misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by D. West,,114-80,,
5:55.0,J. McAdoo misses 2-pt shot from 10 ft,,114-80,,
5:55.0,,,114-80,,Defensive rebound by G. Niang
5:44.0,,,114-80,,G. Niang misses 2-pt shot from 16 ft
5:43.0,Defensive rebound by K. Looney,,114-80,,
5:43.0,,,114-80,,R. Christmas enters the game for G. Robinson
5:30.0,Turnover by D. West (bad pass),,114-80,,
5:20.0,,,114-80,,J. Young misses 2-pt shot from 2 ft (block by K. Looney)
5:17.0,,,114-80,,Offensive rebound by K. Seraphin
5:11.0,,,114-80,,G. Niang misses 3-pt shot from 26 ft
5:10.0,,,114-80,,Offensive rebound by R. Christmas
5:10.0,,,114-82,2,R. Christmas makes 2-pt shot from 1 ft
5:10.0,,,114-82,,Shooting foul by K. Looney (drawn by R. Christmas)
5:10.0,,,114-83,1,R. Christmas makes free throw 1 of 1
5:10.0,I. Clark enters the game for D. West,,114-82,,
5:03.0,Turnover by S. Livingston (traveling),,114-83,,
4:51.0,,,114-83,,J. Young misses 2-pt shot from 21 ft
4:50.0,Defensive rebound by I. Clark,,114-83,,
4:43.0,I. Clark makes 3-pt shot from 25 ft,3,117-83,,
4:34.0,,,117-83,,G. Niang misses 3-pt shot from 27 ft
4:32.0,,,117-83,,Offensive rebound by J. Young
4:28.0,,,117-83,,K. Seraphin misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by K. Looney,,117-83,,
4:21.0,I. Clark misses 3-pt shot from 26 ft,,117-83,,
4:20.0,,,117-83,,Defensive rebound by J. Young
4:11.0,,,117-83,,G. Niang misses 2-pt shot from 3 ft (block by K. Looney)
4:10.0,Defensive rebound by K. Looney,,117-83,,
4:03.0,I. Clark misses 2-pt shot from 3 ft,,117-83,,
4:02.0,Offensive rebound by K. Looney,,117-83,,
4:02.0,K. Looney misses 2-pt shot at rim,,117-83,,
4:02.0,,,117-83,,Defensive rebound by J. Young
3:57.0,,,117-83,,J. Young misses 2-pt shot from 13 ft
3:56.0,Defensive rebound by S. Livingston,,117-83,,
3:52.0,Golden State full timeout,,117-83,,
3:52.0,J. McGee enters the game for S. Livingston,,117-83,,
3:40.0,J. McAdoo misses 2-pt shot from 16 ft,,117-83,,
3:40.0,,,117-83,,Defensive rebound by K. Seraphin
3:22.0,,,117-83,,R. Christmas misses 2-pt shot from 15 ft
3:21.0,Defensive rebound by J. McGee,,117-83,,
3:05.0,P. McCaw makes 2-pt shot from 5 ft,2,119-83,,
3:05.0,Violation by Team (jump ball),,119-83,,
2:50.0,,,119-83,,R. Christmas misses 2-pt shot from 9 ft
2:49.0,Defensive rebound by K. Looney,,119-83,,
2:29.0,P. McCaw misses 3-pt shot from 23 ft,,119-83,,
2:28.0,,,119-83,,Defensive rebound by R. Christmas
2:13.0,,,119-83,,A. Brooks misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by K. Looney,,119-83,,
1:50.0,J. McAdoo misses 2-pt shot from 20 ft,,119-83,,
1:49.0,,,119-83,,Defensive rebound by K. Seraphin
1:43.0,,,119-83,,J. Young misses 2-pt shot from 16 ft
1:41.0,Defensive rebound by I. Clark,,119-83,,
1:29.0,P. McCaw misses 2-pt shot from 2 ft (block by R. Christmas),,119-83,,
1:29.0,Offensive rebound by Team,,119-83,,
1:26.0,P. McCaw misses 3-pt shot from 28 ft,,119-83,,
1:25.0,,,119-83,,Defensive rebound by K. Seraphin
1:14.0,,,119-83,,G. Niang misses 2-pt shot from 1 ft (block by J. McGee)
1:14.0,,,119-83,,Offensive rebound by Team
1:09.0,Personal foul by P. McCaw (drawn by J. Young),,119-83,,
0:59.0,,,119-83,,J. Young misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by I. Clark,,119-83,,
0:47.0,Shooting foul by K. Seraphin (drawn by K. Looney),,119-83,,
0:47.0,K. Looney misses free throw 1 of 2,,119-83,,
0:47.0,Offensive rebound by Team,,119-83,,
0:47.0,K. Looney makes free throw 2 of 2,1,120-83,,
0:31.0,,,120-83,,G. Niang misses 2-pt shot from 8 ft (block by J. McGee)
0:31.0,,,120-83,,Offensive rebound by Team
0:23.0,,,120-83,,A. Brooks misses 2-pt shot from 3 ft
0:23.0,,,120-83,,Offensive rebound by Team
0:23.0,,,120-83,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
