time,New York,pts.away,score,pts.home,Miami
1:49.0,S. Vujacic enters the game for J. Holiday,,96-91,,
1:24.0,Turnover by K. Porzingis (lost ball; steal by J. Johnson),,96-91,,
1:19.0,,,96-93,2,R. McGruder makes 2-pt shot from 2 ft (assist by G. Dragic)
1:01.0,W. Hernangomez misses 2-pt shot from 1 ft,,96-93,,
1:00.0,,,96-93,,Defensive rebound by G. Dragic
0:52.0,,,96-93,,R. McGruder misses 3-pt shot from 24 ft
0:50.0,,,96-93,,Offensive rebound by H. Whiteside
0:33.0,Personal foul by S. Vujacic (drawn by T. Johnson),,96-93,,
0:33.0,,,96-93,,T. Johnson misses free throw 1 of 2
0:33.0,,,96-93,,Offensive rebound by Team
0:33.0,,,96-94,1,T. Johnson makes free throw 2 of 2
0:33.0,New York full timeout,,96-94,,
0:13.0,W. Hernangomez misses 2-pt shot from 6 ft,,96-94,,
0:12.0,,,96-94,,Defensive rebound by Team
0:12.0,,,96-94,,Miami full timeout
0:07.0,,,96-94,,Turnover by H. Whiteside (offensive goaltending)
0:07.0,New York full timeout,,96-94,,
0:07.0,J. Holiday enters the game for W. Hernangomez,,96-94,,
0:07.0,,,96-94,,J. Richardson enters the game for H. Whiteside
0:03.0,,,96-94,,Personal foul by R. McGruder (drawn by C. Lee)
0:03.0,C. Lee makes free throw 1 of 2,1,97-94,,
0:03.0,C. Lee makes free throw 2 of 2,1,98-94,,
0:03.0,,,98-94,,Miami full timeout
0:03.0,,,97-94,,H. Whiteside enters the game for J. Richardson
0:03.0,,,98-94,,W. Ellington enters the game for R. McGruder
0:01.0,,,98-94,,W. Ellington misses 3-pt shot from 25 ft
0:00.0,,,98-94,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
