time,Portland,pts.away,score,pts.home,LA Lakers
4:00.0,,,95-78,,Personal foul by J. Randle (drawn by M. Plumlee)
3:52.0,Shooting foul by J. Randle (drawn by D. Lillard),,95-78,,
3:52.0,D. Lillard makes free throw 1 of 2,1,96-78,,
3:52.0,D. Lillard makes free throw 2 of 2,1,97-78,,
3:41.0,,,97-78,,Shooting foul by A. Aminu (drawn by J. Randle)
3:41.0,,,97-79,1,J. Randle makes free throw 1 of 2
3:41.0,,,97-79,,J. Randle misses free throw 2 of 2
3:39.0,Defensive rebound by M. Plumlee,,97-79,,
3:18.0,A. Crabbe makes 2-pt shot from 19 ft (assist by E. Turner),2,99-79,,
3:05.0,,,99-79,,J. Clarkson misses 2-pt shot from 4 ft
3:03.0,,,99-79,,Offensive rebound by J. Randle
3:03.0,,,99-79,,Shooting foul by M. Plumlee (drawn by J. Randle)
3:03.0,,,99-79,,J. Randle misses free throw 1 of 2
3:03.0,,,99-79,,Offensive rebound by Team
3:03.0,,,99-80,1,J. Randle makes free throw 2 of 2
3:03.0,,,99-79,,M. Huertas enters the game for J. Clarkson
2:48.0,D. Lillard makes 2-pt shot from 2 ft,2,101-80,,
2:33.0,,,101-83,3,B. Ingram makes 3-pt shot from 28 ft (assist by J. Randle)
2:33.0,Portland full timeout,,101-83,,
2:33.0,P. Connaughton enters the game for M. Plumlee,,101-83,,
2:33.0,S. Napier enters the game for D. Lillard,,101-83,,
2:33.0,N. Vonleh enters the game for A. Crabbe,,101-83,,
2:33.0,J. Layman enters the game for E. Turner,,101-83,,
2:33.0,,,101-83,,J. Calderon enters the game for J. Randle
2:33.0,,,101-83,,T. Robinson enters the game for N. Young
2:33.0,,,101-83,,T. Black enters the game for D. Russell
2:33.0,,,101-83,,M. World Peace enters the game for B. Ingram
2:33.0,M. Leonard enters the game for A. Aminu,,101-83,,
2:13.0,J. Layman makes 2-pt shot from 15 ft (assist by S. Napier),2,103-83,,
1:57.0,,,103-83,,M. World Peace misses 2-pt shot from 21 ft
1:56.0,Defensive rebound by M. Leonard,,103-83,,
1:50.0,J. Layman makes 3-pt shot from 26 ft (assist by P. Connaughton),3,106-83,,
1:32.0,,,106-83,,T. Robinson misses 2-pt shot from 15 ft
1:29.0,Defensive rebound by S. Napier,,106-83,,
1:20.0,J. Layman misses 2-pt shot from 19 ft,,106-83,,
1:19.0,,,106-83,,Defensive rebound by M. Huertas
1:12.0,,,106-85,2,M. Huertas makes 2-pt shot from 14 ft
0:56.0,S. Napier makes 2-pt shot from 16 ft,2,108-85,,
0:43.0,,,108-85,,Turnover by T. Robinson (lost ball)
0:19.0,Turnover by Team (shot clock),,108-85,,
0:08.0,,,108-87,2,T. Robinson makes 2-pt shot from 2 ft (assist by M. Huertas)
0:00.0,End of 4th quarter,,,,End of 4th quarter
