time,Utah,pts.away,score,pts.home,LA Clippers
0:52.0,Shooting foul by D. Jordan (drawn by D. Favors),,88-97,,
0:52.0,D. Favors misses free throw 1 of 2,,88-97,,
0:52.0,Offensive rebound by Team,,88-97,,
0:52.0,D. Favors makes free throw 2 of 2,1,89-97,,
0:52.0,,,88-97,,M. Speights enters the game for D. Jordan
0:37.0,,,89-97,,LA Clippers full timeout
0:37.0,,,89-97,,J. Crawford enters the game for L. Mbah a Moute
0:31.0,,,89-97,,J. Crawford misses 2-pt shot from 10 ft
0:29.0,Defensive rebound by J. Ingles,,89-97,,
0:22.0,J. Ingles makes 2-pt shot from 1 ft,2,91-97,,
0:21.0,Personal take foul by J. Johnson (drawn by M. Speights),,91-97,,
0:13.0,Personal take foul by G. Hill (drawn by J. Crawford),,91-97,,
0:13.0,,,91-98,1,J. Crawford makes free throw 1 of 2
0:13.0,,,91-99,1,J. Crawford makes free throw 2 of 2
0:13.0,Utah full timeout,,91-99,,
0:13.0,,,91-98,,L. Mbah a Moute enters the game for M. Speights
0:13.0,,,91-98,,R. Felton enters the game for J. Redick
0:13.0,,,91-99,,J. Redick enters the game for J. Crawford
0:13.0,R. Hood enters the game for G. Hill,,91-99,,
0:08.0,J. Johnson misses 3-pt shot from 25 ft,,91-99,,
0:06.0,,,91-99,,Defensive rebound by B. Griffin
0:00.0,End of 4th quarter,,,,End of 4th quarter
