time,New Orleans,pts.away,score,pts.home,Memphis
6:29.0,J. Holiday makes 3-pt shot from 25 ft,3,64-49,,
6:10.0,,,64-49,,J. Green misses 2-pt shot from 17 ft
6:10.0,Defensive rebound by S. Hill,,64-49,,
5:59.0,,,64-49,,Personal foul by Z. Randolph (drawn by A. Ajinca)
5:59.0,D. Motiejunas enters the game for A. Ajinca,,64-49,,
5:59.0,,,64-49,,V. Carter enters the game for C. Parsons
5:43.0,A. Davis makes 2-pt shot from 20 ft,2,66-49,,
5:20.0,,,66-49,,V. Carter misses 3-pt shot from 24 ft
5:20.0,,,66-49,,Offensive rebound by Team
5:20.0,Loose ball foul by D. Motiejunas (drawn by Z. Randolph),,66-49,,
5:10.0,,,66-49,,Shooting foul by A. Davis (drawn by V. Carter)
5:10.0,,,66-50,1,V. Carter makes free throw 1 of 2
5:10.0,,,66-51,1,V. Carter makes free throw 2 of 2
4:53.0,S. Hill misses 3-pt shot from 24 ft,,66-51,,
4:52.0,,,66-51,,Defensive rebound by V. Carter
4:38.0,,,66-53,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Conley)
4:22.0,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday),3,69-53,,
4:02.0,,,69-55,2,J. Green makes 2-pt shot from 1 ft (assist by M. Conley)
3:47.0,J. Holiday makes 2-pt shot from 2 ft,2,71-55,,
3:30.0,,,71-55,,Z. Randolph misses 2-pt shot from 12 ft
3:30.0,Defensive rebound by J. Holiday,,71-55,,
3:30.0,,,71-55,,Loose ball foul by J. Green (drawn by A. Davis)
3:30.0,E. Moore enters the game for B. Hield,,71-55,,
3:30.0,,,71-55,,T. Douglas enters the game for J. Green
3:30.0,,,71-55,,M. Gasol enters the game for M. Conley
3:11.0,A. Davis misses 3-pt shot from 25 ft,,71-55,,
3:10.0,,,71-55,,Defensive rebound by T. Douglas
3:03.0,Personal foul by J. Holiday (drawn by T. Douglas),,71-55,,
2:54.0,,,71-55,,M. Gasol misses 2-pt shot from 21 ft
2:54.0,Defensive rebound by Team,,71-55,,
2:54.0,,,71-55,,Loose ball foul by Z. Randolph (drawn by D. Motiejunas)
2:54.0,,,71-55,,Memphis full timeout
2:54.0,D. Motiejunas makes free throw 1 of 2,1,72-55,,
2:54.0,D. Motiejunas makes free throw 2 of 2,1,73-55,,
2:54.0,T. Evans enters the game for J. Holiday,,71-55,,
2:43.0,,,73-55,,Shooting foul by D. Motiejunas (drawn by Z. Randolph)
2:43.0,,,73-56,1,Z. Randolph makes free throw 1 of 2
2:43.0,,,73-57,1,Z. Randolph makes free throw 2 of 2
2:24.0,A. Davis makes 2-pt shot from 8 ft,2,75-57,,
2:06.0,Personal foul by S. Hill (drawn by T. Daniels),,75-57,,
2:06.0,,,75-58,1,T. Daniels makes free throw 1 of 2
2:06.0,,,75-59,1,T. Daniels makes free throw 2 of 2
1:46.0,A. Davis misses 2-pt shot from 22 ft,,75-59,,
1:46.0,,,75-59,,Defensive rebound by M. Gasol
1:36.0,,,75-59,,M. Gasol misses 3-pt shot from 25 ft
1:36.0,,,75-59,,Offensive rebound by Team
1:35.0,A. Ajinca enters the game for A. Davis,,75-59,,
1:29.0,,,75-61,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Daniels)
1:17.0,A. Ajinca misses 2-pt shot from 16 ft,,75-61,,
1:17.0,,,75-61,,Defensive rebound by M. Gasol
1:07.0,,,75-61,,Z. Randolph misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by E. Moore,,75-61,,
0:52.0,T. Evans misses 2-pt shot from 22 ft,,75-61,,
0:51.0,,,75-61,,Defensive rebound by M. Gasol
0:43.0,,,75-61,,T. Douglas misses 2-pt shot from 6 ft
0:41.0,,,75-61,,Offensive rebound by Team
0:29.0,,,75-61,,M. Gasol misses 2-pt shot from 6 ft
0:28.0,Defensive rebound by T. Evans,,75-61,,
0:07.0,Shooting foul by Z. Randolph (drawn by S. Hill),,75-61,,
0:07.0,S. Hill makes free throw 1 of 2,1,76-61,,
0:07.0,S. Hill makes free throw 2 of 2,1,77-61,,
0:07.0,J. Holiday enters the game for A. Ajinca,,76-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,E. Moore misses 3-pt shot from 24 ft,,77-61,,
11:42.0,,,77-61,,Defensive rebound by T. Douglas
11:26.0,,,77-61,,M. Gasol misses 2-pt shot from 1 ft
11:25.0,,,77-61,,Offensive rebound by Z. Randolph
11:25.0,,,77-63,2,Z. Randolph makes 2-pt shot from 2 ft
11:07.0,T. Evans misses 2-pt shot from 1 ft,,77-63,,
11:07.0,,,77-63,,Defensive rebound by Z. Randolph
10:59.0,,,77-65,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Douglas)
10:33.0,T. Evans misses 2-pt shot from 23 ft,,77-65,,
10:32.0,,,77-65,,Defensive rebound by T. Douglas
10:23.0,,,77-65,,T. Douglas misses 3-pt shot from 26 ft
10:23.0,,,77-65,,Offensive rebound by Z. Randolph
10:23.0,,,77-65,,Shooting foul by A. Ajinca (drawn by Z. Randolph)
10:23.0,,,77-66,1,Z. Randolph makes free throw 1 of 2
10:23.0,,,77-67,1,Z. Randolph makes free throw 2 of 2
10:23.0,A. Davis enters the game for D. Motiejunas,,77-66,,
10:23.0,J. Holiday enters the game for E. Moore,,77-66,,
9:59.0,L. Galloway misses 3-pt shot from 26 ft (block by V. Carter),,77-67,,
9:57.0,,,77-67,,Defensive rebound by T. Douglas
9:38.0,,,77-67,,V. Carter misses 3-pt shot from 24 ft
9:37.0,,,77-67,,Offensive rebound by Team
9:25.0,,,77-67,,Z. Randolph misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by J. Holiday,,77-67,,
9:17.0,Offensive foul by J. Holiday,,77-67,,
9:17.0,Turnover by J. Holiday (offensive foul),,77-67,,
9:08.0,Personal foul by J. Holiday (drawn by T. Douglas),,77-67,,
9:08.0,Technical foul by J. Holiday (drawn by T. Douglas),,77-67,,
9:08.0,,,77-68,1,M. Gasol makes technical free throw
8:57.0,,,77-68,,T. Douglas misses 3-pt shot from 26 ft
8:57.0,,,77-68,,Offensive rebound by Z. Randolph
8:43.0,,,77-68,,J. Ennis misses 2-pt shot from 6 ft (block by A. Ajinca)
8:43.0,,,77-68,,Offensive rebound by Team
8:43.0,,,77-68,,Memphis full timeout
8:37.0,,,77-70,2,T. Douglas makes 2-pt shot from 9 ft (assist by V. Carter)
8:20.0,J. Holiday makes 3-pt shot from 24 ft (assist by A. Davis),3,80-70,,
7:57.0,,,80-70,,M. Gasol misses 2-pt shot from 2 ft (block by A. Davis)
7:55.0,Defensive rebound by A. Davis,,80-70,,
7:47.0,J. Holiday misses 3-pt shot from 25 ft,,80-70,,
7:46.0,,,80-70,,Defensive rebound by T. Douglas
7:34.0,,,80-70,,V. Carter misses 2-pt shot from 7 ft
7:34.0,,,80-70,,Offensive rebound by Team
7:34.0,Loose ball foul by T. Evans (drawn by Z. Randolph),,80-70,,
7:34.0,S. Hill enters the game for T. Evans,,80-70,,
7:34.0,,,80-70,,M. Conley enters the game for J. Ennis
7:19.0,Personal foul by S. Hill (drawn by V. Carter),,80-70,,
7:19.0,E. Moore enters the game for L. Galloway,,80-70,,
7:07.0,,,80-70,,Shooting foul by J. Holiday (drawn by M. Conley)
7:07.0,,,80-71,1,M. Conley makes free throw 1 of 3
7:07.0,,,80-72,1,M. Conley makes free throw 2 of 3
7:07.0,,,80-73,1,M. Conley makes free throw 3 of 3
6:57.0,Shooting foul by Z. Randolph (drawn by A. Ajinca),,80-73,,
6:57.0,A. Ajinca makes free throw 1 of 2,1,81-73,,
6:57.0,A. Ajinca makes free throw 2 of 2,1,82-73,,
6:57.0,,,81-73,,B. Wright enters the game for Z. Randolph
6:48.0,,,82-73,,T. Douglas misses 2-pt shot from 12 ft
