time,LA Lakers,pts.away,score,pts.home,Detroit
5:00.0,,,87-110,,A. Baynes misses 2-pt shot from 5 ft (block by I. Zubac)
4:59.0,,,87-110,,Offensive rebound by Team
4:53.0,,,87-110,,J. Leuer misses 2-pt shot from 14 ft
4:52.0,Defensive rebound by J. Calderon,,87-110,,
4:46.0,Turnover by B. Ingram (step out of bounds),,87-110,,
4:35.0,,,87-110,,Turnover by A. Baynes (3 sec)
4:24.0,M. Huertas misses 2-pt shot from 6 ft,,87-110,,
4:23.0,,,87-110,,Defensive rebound by S. Johnson
4:09.0,,,87-112,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
3:59.0,Shooting foul by R. Bullock (drawn by M. Huertas),,87-112,,
3:59.0,M. Huertas makes 2-pt shot from 9 ft,2,89-112,,
3:59.0,M. Huertas makes free throw 1 of 1,1,90-112,,
3:59.0,,,89-112,,B. Marjanovic enters the game for A. Baynes
3:59.0,,,89-112,,B. Udrih enters the game for I. Smith
3:42.0,,,90-114,2,J. Leuer makes 2-pt shot from 20 ft (assist by B. Udrih)
3:35.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Calderon),2,92-114,,
3:35.0,Shooting foul by S. Johnson (drawn by J. Randle),,92-114,,
3:35.0,J. Randle makes free throw 1 of 1,1,93-114,,
3:23.0,,,93-114,,R. Bullock misses 2-pt shot from 19 ft
3:22.0,,,93-114,,Offensive rebound by B. Marjanovic
3:14.0,,,93-114,,Turnover by B. Marjanovic (offensive goaltending)
3:05.0,J. Randle makes 2-pt shot from 6 ft (assist by I. Zubac),2,95-114,,
3:05.0,Shooting foul by J. Leuer (drawn by J. Randle),,95-114,,
3:05.0,J. Randle makes free throw 1 of 1,1,96-114,,
3:05.0,,,95-114,,T. Harris enters the game for J. Leuer
2:52.0,Personal foul by J. Randle (drawn by T. Harris),,96-114,,
2:52.0,,,96-114,,Detroit full timeout
2:40.0,,,96-116,2,B. Marjanovic makes 2-pt shot at rim (assist by B. Udrih)
2:27.0,J. Randle misses 2-pt shot from 10 ft,,96-116,,
2:24.0,,,96-116,,Defensive rebound by B. Marjanovic
2:21.0,,,96-116,,Turnover by B. Udrih (bad pass; steal by J. Calderon)
1:57.0,B. Ingram misses 3-pt shot from 24 ft,,96-116,,
1:56.0,Offensive rebound by M. Huertas,,96-116,,
1:51.0,M. Huertas misses 2-pt shot from 6 ft,,96-116,,
1:50.0,,,96-116,,Defensive rebound by T. Harris
1:50.0,,,96-116,,Detroit full timeout
1:50.0,,,96-116,,D. Hilliard enters the game for S. Johnson
1:33.0,,,96-116,,R. Bullock misses 2-pt shot from 1 ft
1:33.0,,,96-116,,Offensive rebound by B. Marjanovic
1:30.0,,,96-118,2,B. Marjanovic makes 2-pt shot at rim
1:21.0,I. Zubac makes 2-pt shot from 18 ft (assist by J. Randle),2,98-118,,
1:04.0,,,98-118,,B. Udrih misses 2-pt shot from 4 ft (block by I. Zubac)
1:03.0,Defensive rebound by M. Huertas,,98-118,,
1:01.0,J. Randle makes 2-pt shot from 1 ft (assist by M. Huertas),2,100-118,,
0:40.0,,,100-118,,B. Udrih misses 2-pt shot from 3 ft
0:39.0,,,100-118,,Offensive rebound by B. Marjanovic
0:38.0,,,100-118,,Turnover by Team (shot clock)
0:25.0,M. Huertas misses 2-pt shot from 6 ft,,100-118,,
0:25.0,,,100-118,,Defensive rebound by T. Harris
0:13.0,,,100-120,2,T. Harris makes 2-pt shot from 1 ft (assist by B. Marjanovic)
0:13.0,,,100-120,,Shooting foul by M. Huertas (drawn by T. Harris)
0:13.0,,,100-121,1,T. Harris makes free throw 1 of 1
0:09.0,M. Huertas makes 2-pt shot from 1 ft (assist by J. Calderon),2,102-121,,
0:07.0,,,102-121,,D. Hilliard misses 3-pt shot from 38 ft
0:05.0,Defensive rebound by Team,,102-121,,
0:00.0,M. Huertas misses 3-pt shot from 27 ft,,102-121,,
0:00.0,Offensive rebound by Team,,102-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
