time,Phoenix,pts.away,score,pts.home,Miami
6:27.0,J. Dudley makes free throw 3 of 3,1,81-96,,
6:11.0,Violation by M. Chriss (def goaltending),,81-96,,
6:11.0,,,81-98,2,G. Dragic makes 2-pt shot from 1 ft
5:58.0,L. Barbosa misses 2-pt shot from 3 ft,,81-98,,
5:57.0,Offensive rebound by M. Chriss,,81-98,,
5:56.0,M. Chriss makes 2-pt shot from 1 ft,2,83-98,,
5:43.0,,,83-98,,W. Ellington misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by J. Dudley,,83-98,,
5:39.0,T. Ulis makes 2-pt shot from 9 ft,2,85-98,,
5:39.0,Shooting foul by W. Reed (drawn by T. Ulis),,85-98,,
5:39.0,T. Ulis misses free throw 1 of 1,,85-98,,
5:39.0,,,85-98,,H. Whiteside enters the game for W. Reed
5:39.0,D. Booker enters the game for J. Dudley,,85-98,,
5:39.0,T. Warren enters the game for D. Jones,,85-98,,
5:38.0,,,85-98,,Defensive rebound by J. Johnson
5:22.0,,,85-100,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
5:22.0,,,85-100,,Shooting foul by M. Chriss (drawn by H. Whiteside)
5:22.0,,,85-101,1,H. Whiteside makes free throw 1 of 1
5:13.0,Shooting foul by H. Whiteside (drawn by M. Chriss),,85-101,,
5:13.0,M. Chriss misses free throw 1 of 2,,85-101,,
5:13.0,Offensive rebound by Team,,85-101,,
5:13.0,M. Chriss makes free throw 2 of 2,1,86-101,,
5:13.0,A. Len enters the game for T. Ulis,,85-101,,
4:57.0,,,86-103,2,J. Richardson makes 2-pt shot from 11 ft
4:47.0,L. Barbosa misses 2-pt shot from 2 ft (block by J. Richardson),,86-103,,
4:46.0,,,86-103,,Defensive rebound by J. Richardson
4:40.0,,,86-105,2,G. Dragic makes 2-pt shot from 15 ft
4:39.0,Phoenix full timeout,,86-105,,
4:39.0,T. Ulis enters the game for L. Barbosa,,86-105,,
4:21.0,M. Chriss misses 2-pt shot from 22 ft,,86-105,,
4:20.0,Offensive rebound by D. Booker,,86-105,,
4:15.0,Turnover by A. Len (bad pass; steal by G. Dragic),,86-105,,
4:06.0,,,86-105,,G. Dragic misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by A. Len,,86-105,,
3:55.0,T. Ulis misses 2-pt shot from 15 ft,,86-105,,
3:54.0,,,86-105,,Defensive rebound by H. Whiteside
3:41.0,,,86-105,,Offensive foul by H. Whiteside
3:41.0,,,86-105,,Turnover by H. Whiteside (offensive foul)
3:41.0,J. Eddie enters the game for D. Booker,,86-105,,
3:41.0,,,86-105,,T. Johnson enters the game for G. Dragic
3:32.0,Turnover by M. Chriss (bad pass; steal by H. Whiteside),,86-105,,
3:14.0,,,86-107,2,H. Whiteside makes 2-pt shot from 2 ft
3:05.0,J. Eddie misses 3-pt shot from 24 ft,,86-107,,
3:04.0,,,86-107,,Defensive rebound by H. Whiteside
2:56.0,,,86-109,2,H. Whiteside makes 2-pt shot from 12 ft
2:56.0,,,86-109,,Shooting foul by A. Len (drawn by H. Whiteside)
2:56.0,,,86-110,1,H. Whiteside makes free throw 1 of 1
2:56.0,,,86-109,,R. McGruder enters the game for W. Ellington
2:56.0,,,86-109,,O. White enters the game for J. Johnson
2:56.0,D. Jones enters the game for T. Warren,,86-109,,
2:45.0,M. Chriss makes 2-pt shot at rim,2,88-110,,
2:22.0,,,88-112,2,R. McGruder makes 2-pt shot from 21 ft (assist by T. Johnson)
2:08.0,Shooting foul by R. McGruder (drawn by M. Chriss),,88-112,,
2:08.0,M. Chriss makes free throw 1 of 2,1,89-112,,
2:08.0,M. Chriss makes free throw 2 of 2,1,90-112,,
2:08.0,,,88-112,,W. Reed enters the game for H. Whiteside
1:52.0,,,90-112,,J. Richardson misses 2-pt shot from 22 ft
1:51.0,Defensive rebound by M. Chriss,,90-112,,
1:31.0,M. Chriss makes 2-pt shot from 6 ft,2,92-112,,
1:31.0,Shooting foul by W. Reed (drawn by M. Chriss),,92-112,,
1:31.0,M. Chriss makes free throw 1 of 1,1,93-112,,
1:07.0,,,93-112,,Turnover by Team (shot clock)
0:58.0,Turnover by M. Chriss (lost ball),,93-112,,
0:38.0,,,93-112,,O. White misses 2-pt shot from 3 ft (block by A. Len)
0:37.0,Defensive rebound by T. Ulis,,93-112,,
0:27.0,Shooting foul by W. Reed (drawn by D. Jones),,93-112,,
0:27.0,D. Jones makes free throw 1 of 2,1,94-112,,
0:27.0,D. Jones makes free throw 2 of 2,1,95-112,,
0:12.0,,,95-112,,Turnover by R. McGruder (bad pass; steal by M. Chriss)
0:07.0,D. Jones misses 2-pt shot from 1 ft,,95-112,,
0:05.0,Offensive rebound by J. Eddie,,95-112,,
0:05.0,J. Eddie makes 2-pt shot at rim,2,97-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
