time,Oklahoma City,pts.away,score,pts.home,Milwaukee
1:58.0,,,92-94,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:56.0,Defensive rebound by J. Grant,,92-94,,
1:44.0,R. Westbrook makes 2-pt shot from 16 ft,2,94-94,,
1:23.0,,,94-94,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by S. Adams)
1:21.0,Defensive rebound by S. Adams,,94-94,,
1:06.0,R. Westbrook misses 2-pt shot from 20 ft,,94-94,,
1:04.0,,,94-94,,Defensive rebound by M. Brogdon
0:54.0,,,94-96,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:37.0,R. Westbrook misses 3-pt shot from 27 ft,,94-96,,
0:35.0,,,94-96,,Defensive rebound by Team
0:14.0,,,94-96,,Turnover by J. Parker (lost ball; steal by R. Westbrook)
0:14.0,Oklahoma City full timeout,,94-96,,
0:14.0,A. Abrines enters the game for J. Grant,,94-96,,
0:09.0,Turnover by R. Westbrook (lost ball),,94-96,,
0:09.0,,,94-96,,Milwaukee full timeout
0:09.0,J. Grant enters the game for D. Sabonis,,94-96,,
0:09.0,A. Roberson enters the game for A. Abrines,,94-96,,
0:09.0,,,94-96,,G. Monroe enters the game for J. Henson
0:09.0,,,94-96,,J. Terry enters the game for T. Snell
0:08.0,Personal take foul by R. Westbrook (drawn by M. Brogdon),,94-96,,
0:08.0,,,94-97,1,M. Brogdon makes free throw 1 of 2
0:08.0,Oklahoma City full timeout,,94-97,,
0:08.0,,,94-98,1,M. Brogdon makes free throw 2 of 2
0:08.0,Oklahoma City full timeout,,94-98,,
0:08.0,,,94-97,,J. Henson enters the game for G. Monroe
0:08.0,,,94-97,,T. Snell enters the game for J. Terry
0:08.0,A. Abrines enters the game for V. Oladipo,,94-98,,
0:08.0,V. Oladipo enters the game for S. Adams,,94-98,,
0:06.0,R. Westbrook misses 3-pt shot from 31 ft,,94-98,,
0:03.0,Offensive rebound by A. Abrines,,94-98,,
0:02.0,A. Abrines misses 2-pt shot from 11 ft,,94-98,,
0:01.0,Offensive rebound by V. Oladipo,,94-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
