time,Sacramento,pts.away,score,pts.home,Philadelphia
1:48.0,Offensive rebound by D. Cousins,,109-112,,
1:48.0,,,109-112,,Personal foul by R. Covington (drawn by D. Cousins)
1:48.0,D. Cousins makes free throw 1 of 2,1,110-112,,
1:48.0,D. Cousins makes free throw 2 of 2,1,111-112,,
1:35.0,,,111-114,2,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell)
1:28.0,D. Cousins makes 2-pt shot at rim (assist by T. Lawson),2,113-114,,
1:10.0,,,113-114,,Shooting foul by M. Barnes (drawn by R. Covington)
1:10.0,,,113-115,1,R. Covington makes free throw 1 of 2
1:10.0,,,113-116,1,R. Covington makes free throw 2 of 2
1:01.0,Turnover by D. Cousins (bad pass; steal by R. Covington),,113-116,,
0:59.0,Personal foul by D. Cousins (drawn by G. Henderson),,113-116,,
0:59.0,,,113-117,1,G. Henderson makes free throw 1 of 2
0:59.0,,,113-118,1,G. Henderson makes free throw 2 of 2
0:59.0,K. Koufos enters the game for D. Cousins,,113-117,,
0:50.0,A. Afflalo misses 3-pt shot from 26 ft,,113-118,,
0:49.0,,,113-118,,Defensive rebound by T. McConnell
0:38.0,,,113-118,,E. Ilyasova misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by T. Lawson,,113-118,,
0:29.0,M. Barnes misses 3-pt shot from 26 ft,,113-118,,
0:29.0,,,113-118,,Defensive rebound by E. Ilyasova
0:29.0,Personal foul by G. Temple (drawn by E. Ilyasova),,113-118,,
0:29.0,,,113-118,,E. Ilyasova misses free throw 1 of 2
0:29.0,,,113-118,,Offensive rebound by Team
0:29.0,,,113-119,1,E. Ilyasova makes free throw 2 of 2
0:29.0,Sacramento full timeout,,113-119,,
0:28.0,Turnover by A. Afflalo (bad pass; steal by R. Covington),,113-119,,
0:19.0,Personal foul by T. Lawson (drawn by G. Henderson),,113-119,,
0:19.0,,,113-119,,G. Henderson misses free throw 1 of 2
0:19.0,,,113-119,,Offensive rebound by Team
0:19.0,,,113-120,1,G. Henderson makes free throw 2 of 2
0:16.0,G. Temple misses 3-pt shot from 27 ft,,113-120,,
0:15.0,Offensive rebound by M. Barnes,,113-120,,
0:11.0,A. Afflalo makes 3-pt shot from 22 ft (assist by M. Barnes),3,116-120,,
0:11.0,,,116-120,,Philadelphia full timeout
0:11.0,W. Cauley-Stein enters the game for K. Koufos,,116-120,,
0:10.0,,,116-120,,Turnover by D. Saric (bad pass; steal by M. Barnes)
0:06.0,M. Barnes makes 3-pt shot from 25 ft (assist by T. Lawson),3,119-120,,
0:06.0,,,119-120,,Philadelphia full timeout
0:05.0,Personal foul by G. Temple (drawn by G. Henderson),,119-120,,
0:05.0,,,119-121,1,G. Henderson makes free throw 1 of 2
0:05.0,,,119-122,1,G. Henderson makes free throw 2 of 2
0:05.0,Sacramento full timeout,,119-122,,
0:05.0,K. Koufos enters the game for A. Afflalo,,119-121,,
0:05.0,A. Afflalo enters the game for W. Cauley-Stein,,119-122,,
0:05.0,,,119-122,,N. Noel enters the game for D. Saric
0:01.0,A. Afflalo misses 3-pt shot from 23 ft,,119-122,,
0:00.0,Offensive rebound by Team,,119-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
