time,Denver,pts.away,score,pts.home,Orlando
2:15.0,,,114-110,,E. Payton enters the game for D. Augustin
1:59.0,N. Jokic misses 2-pt shot from 3 ft (block by B. Biyombo),,114-110,,
1:57.0,,,114-110,,Defensive rebound by B. Biyombo
1:42.0,,,114-110,,E. Fournier misses 3-pt shot from 28 ft
1:40.0,Defensive rebound by J. Nelson,,114-110,,
1:26.0,W. Barton makes 2-pt shot from 2 ft,2,116-110,,
1:08.0,,,116-110,,E. Payton misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by Team,,116-110,,
1:07.0,,,116-110,,J. Green enters the game for B. Biyombo
0:48.0,Shooting foul by J. Green (drawn by W. Barton),,116-110,,
0:48.0,W. Barton makes free throw 1 of 2,1,117-110,,
0:48.0,W. Barton makes free throw 2 of 2,1,118-110,,
0:48.0,,,118-110,,Orlando full timeout
0:48.0,,,118-110,,J. Meeks enters the game for A. Gordon
0:48.0,,,118-110,,D. Augustin enters the game for E. Payton
0:48.0,K. Faried enters the game for N. Jokic,,118-110,,
0:34.0,,,118-110,,E. Fournier misses 3-pt shot from 26 ft
0:33.0,,,118-110,,Offensive rebound by S. Ibaka
0:33.0,Personal foul by W. Barton (drawn by S. Ibaka),,118-110,,
0:33.0,,,118-110,,Orlando full timeout
0:26.0,,,118-113,3,J. Green makes 3-pt shot from 27 ft (assist by J. Meeks)
0:26.0,Denver full timeout,,118-113,,
0:26.0,N. Jokic enters the game for D. Arthur,,118-113,,
0:26.0,J. Murray enters the game for K. Faried,,118-113,,
0:26.0,,,118-113,,E. Payton enters the game for J. Meeks
0:24.0,,,118-113,,Personal take foul by D. Augustin (drawn by W. Barton)
0:24.0,W. Barton makes free throw 1 of 2,1,119-113,,
0:24.0,W. Barton makes free throw 2 of 2,1,120-113,,
0:24.0,D. Arthur enters the game for N. Jokic,,119-113,,
0:24.0,K. Faried enters the game for J. Murray,,119-113,,
0:16.0,,,120-113,,Turnover by E. Payton (traveling)
0:16.0,J. Murray enters the game for D. Arthur,,120-113,,
0:16.0,N. Jokic enters the game for K. Faried,,120-113,,
0:15.0,,,120-113,,Personal foul by S. Ibaka (drawn by W. Barton)
0:15.0,W. Barton makes free throw 1 of 2,1,121-113,,
0:15.0,W. Barton misses free throw 2 of 2,,121-113,,
0:15.0,D. Arthur enters the game for N. Jokic,,121-113,,
0:15.0,K. Faried enters the game for J. Murray,,121-113,,
0:14.0,,,121-113,,Defensive rebound by S. Ibaka
0:07.0,,,121-113,,D. Augustin misses 3-pt shot from 27 ft
0:06.0,Defensive rebound by D. Gallinari,,121-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
