time,San Antonio,pts.away,score,pts.home,Detroit
1:37.0,,,101-91,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
1:22.0,Turnover by L. Aldridge (lost ball; steal by A. Drummond),,101-91,,
1:17.0,,,101-91,,A. Drummond misses 2-pt shot at rim
1:17.0,Defensive rebound by Team,,101-91,,
0:57.0,K. Leonard makes 2-pt shot from 16 ft,2,103-91,,
0:47.0,,,103-91,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by D. Dedmon,,103-91,,
0:42.0,San Antonio full timeout,,103-91,,
0:42.0,K. Anderson enters the game for K. Leonard,,103-91,,
0:42.0,D. Bertans enters the game for L. Aldridge,,103-91,,
0:42.0,J. Anthony enters the game for D. Dedmon,,103-91,,
0:42.0,B. Forbes enters the game for D. Green,,103-91,,
0:42.0,J. Simmons enters the game for T. Parker,,103-91,,
0:32.0,Turnover by J. Simmons (lost ball; steal by A. Drummond),,103-91,,
0:29.0,,,103-91,,Shooting foul by D. Bertans (drawn by A. Drummond)
0:29.0,,,103-91,,A. Drummond misses free throw 1 of 2
0:29.0,,,103-91,,Offensive rebound by Team
0:29.0,,,103-92,1,A. Drummond makes free throw 2 of 2
0:04.0,K. Anderson misses 2-pt shot from 17 ft,,103-92,,
0:04.0,,,103-92,,Defensive rebound by J. Leuer
0:00.0,End of 4th quarter,,,,End of 4th quarter
