time,Cleveland,pts.away,score,pts.home,LA Clippers
2:23.0,R. Jefferson makes 2-pt shot from 1 ft,2,76-100,,
2:00.0,,,76-102,2,B. Bass makes 2-pt shot from 2 ft
1:49.0,Offensive charge foul by K. Felder,,76-102,,
1:49.0,Turnover by K. Felder (offensive foul),,76-102,,
1:32.0,,,76-104,2,P. Pierce makes 2-pt shot from 17 ft (assist by R. Felton)
1:20.0,K. Felder makes 2-pt shot from 2 ft (assist by R. Jefferson),2,78-104,,
1:12.0,,,78-106,2,R. Felton makes 2-pt shot from 2 ft
0:55.0,D. Liggins misses 2-pt shot from 20 ft,,78-106,,
0:54.0,,,78-106,,Defensive rebound by P. Pierce
0:45.0,,,78-106,,Shooting foul by D. Williams (drawn by A. Rivers)
0:45.0,,,78-107,1,A. Rivers makes free throw 1 of 2
0:45.0,,,78-108,1,A. Rivers makes free throw 2 of 2
0:36.0,Turnover by D. Liggins (traveling),,78-108,,
0:12.0,,,78-108,,Turnover by Team (shot clock)
0:03.0,K. Felder misses 2-pt shot from 16 ft,,78-108,,
0:02.0,,,78-108,,Defensive rebound by B. Bass
0:00.0,End of 4th quarter,,,,End of 4th quarter
