time,LA Clippers,pts.away,score,pts.home,Minnesota
7:45.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,76-89,,
7:26.0,Personal foul by D. Jordan (drawn by K. Towns),,76-89,,
7:18.0,,,76-89,,A. Wiggins misses 2-pt shot from 15 ft
7:17.0,Defensive rebound by B. Griffin,,76-89,,
7:09.0,,,76-89,,Violation by G. Dieng (kicked ball)
6:53.0,B. Griffin makes 3-pt shot from 24 ft (assist by J. Redick),3,79-89,,
6:32.0,,,79-92,3,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio)
6:16.0,Turnover by B. Griffin (bad pass),,79-92,,
6:02.0,,,79-94,2,R. Rubio makes 2-pt shot from 21 ft
5:38.0,A. Rivers misses 2-pt shot from 13 ft,,79-94,,
5:37.0,,,79-94,,Defensive rebound by K. Towns
5:20.0,Personal foul by D. Jordan (drawn by G. Dieng),,79-94,,
5:20.0,,,79-94,,Minnesota full timeout
5:20.0,J. Crawford enters the game for A. Rivers,,79-94,,
5:09.0,,,79-96,2,K. Towns makes 2-pt shot from 20 ft
4:48.0,B. Griffin misses 3-pt shot from 25 ft,,79-96,,
4:47.0,Offensive rebound by D. Jordan,,79-96,,
4:46.0,D. Jordan makes 2-pt shot from 1 ft,2,81-96,,
4:27.0,,,81-96,,Turnover by R. Rubio (lost ball; steal by J. Redick)
4:19.0,J. Redick makes 2-pt shot from 3 ft,2,83-96,,
4:06.0,Def 3 sec tech foul by B. Griffin,,83-96,,
