time,New York,pts.away,score,pts.home,Sacramento
4:53.0,,,92-92,3,D. Collison makes 3-pt shot from 25 ft
4:24.0,C. Anthony misses 2-pt shot from 11 ft,,92-92,,
4:24.0,,,92-92,,Defensive rebound by O. Casspi
4:18.0,,,92-94,2,D. Collison makes 2-pt shot from 3 ft (assist by O. Casspi)
4:00.0,J. Holiday makes 3-pt shot from 23 ft (assist by B. Jennings),3,95-94,,
3:40.0,,,95-94,,D. Cousins misses 2-pt shot from 9 ft (block by J. Noah)
3:40.0,Defensive rebound by Team,,95-94,,
3:40.0,C. Lee enters the game for J. Holiday,,95-94,,
3:14.0,C. Anthony misses 3-pt shot from 30 ft,,95-94,,
3:14.0,Offensive rebound by C. Lee,,95-94,,
3:12.0,,,95-94,,Personal foul by O. Casspi (drawn by K. Porzingis)
3:07.0,Turnover by J. Noah (lost ball; steal by D. Cousins),,95-94,,
3:03.0,,,95-96,2,D. Cousins makes 2-pt shot from 1 ft
2:43.0,B. Jennings makes 2-pt shot from 8 ft,2,97-96,,
2:30.0,,,97-96,,R. Gay misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by J. Noah,,97-96,,
2:23.0,Turnover by J. Noah (offensive foul),,97-96,,
2:23.0,Offensive foul by J. Noah,,97-96,,
2:23.0,New York full timeout,,97-96,,
2:23.0,,,97-96,,Technical foul by D. Collison
2:23.0,Technical foul by C. Lee,,97-96,,
2:11.0,Personal foul by C. Anthony (drawn by D. Collison),,97-96,,
2:11.0,,,97-97,1,D. Collison makes free throw 1 of 2
2:11.0,,,97-98,1,D. Collison makes free throw 2 of 2
2:11.0,,,97-97,,K. Koufos enters the game for D. Cousins
2:09.0,,,97-98,,Personal take foul by K. Koufos (drawn by J. Noah)
2:09.0,J. Noah makes free throw 1 of 2,1,98-98,,
2:09.0,J. Noah makes free throw 2 of 2,1,99-98,,
2:09.0,,,98-98,,D. Cousins enters the game for K. Koufos
1:51.0,,,99-98,,D. Cousins misses 2-pt shot from 18 ft
1:50.0,Defensive rebound by K. Porzingis,,99-98,,
1:29.0,C. Anthony misses 3-pt shot from 27 ft,,99-98,,
1:28.0,Offensive rebound by K. Porzingis,,99-98,,
1:24.0,New York full timeout,,99-98,,
1:10.0,C. Anthony misses 3-pt shot from 24 ft,,99-98,,
1:10.0,,,99-98,,Defensive rebound by D. Cousins
0:56.0,,,99-98,,R. Gay misses 2-pt shot from 18 ft
0:56.0,Defensive rebound by C. Lee,,99-98,,
0:37.0,B. Jennings misses 3-pt shot from 25 ft,,99-98,,
0:36.0,,,99-98,,Defensive rebound by D. Cousins
0:22.0,,,99-98,,D. Cousins misses 2-pt shot from 2 ft
0:21.0,Defensive rebound by B. Jennings,,99-98,,
0:20.0,,,99-98,,Personal block foul by D. Collison (drawn by B. Jennings)
0:20.0,B. Jennings makes free throw 1 of 2,1,100-98,,
0:20.0,B. Jennings makes free throw 2 of 2,1,101-98,,
0:20.0,,,101-98,,Sacramento full timeout
0:20.0,L. Thomas enters the game for K. Porzingis,,101-98,,
0:16.0,,,101-100,2,D. Cousins makes 2-pt shot from 2 ft
0:15.0,,,101-100,,Personal foul by O. Casspi (drawn by C. Anthony)
0:15.0,C. Anthony makes free throw 1 of 2,1,102-100,,
0:15.0,C. Anthony makes free throw 2 of 2,1,103-100,,
0:15.0,,,103-100,,Sacramento full timeout
0:08.0,,,103-100,,Sacramento full timeout
0:04.0,,,103-100,,R. Gay misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by Team,,103-100,,
0:04.0,New York full timeout,,103-100,,
0:04.0,K. Porzingis enters the game for J. Noah,,103-100,,
0:04.0,,,103-100,,W. Cauley-Stein enters the game for O. Casspi
0:03.0,,,103-100,,Personal foul by R. Gay (drawn by C. Anthony)
0:03.0,C. Anthony misses free throw 1 of 2,,103-100,,
0:03.0,Offensive rebound by Team,,103-100,,
0:03.0,C. Anthony misses free throw 2 of 2,,103-100,,
0:02.0,,,103-100,,Defensive rebound by D. Cousins
0:00.0,,,103-100,,D. Cousins misses 3-pt shot from 52 ft
0:00.0,,,103-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
