time,Memphis,pts.away,score,pts.home,Phoenix
10:35.0,V. Carter misses 2-pt shot from 12 ft,,33-28,,
10:34.0,,,33-28,,Defensive rebound by A. Len
10:31.0,,,33-28,,Turnover by T. Ulis (lost ball; steal by J. Green)
10:17.0,,,33-28,,Personal foul by T. Ulis (drawn by M. Conley)
10:17.0,T. Daniels enters the game for J. Ennis,,33-28,,
10:02.0,Z. Randolph misses 2-pt shot from 4 ft,,33-28,,
10:01.0,,,33-28,,Defensive rebound by A. Len
9:50.0,Personal foul by J. Green (drawn by P. Tucker),,33-28,,
9:42.0,,,33-28,,B. Knight misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by V. Carter,,33-28,,
9:19.0,Z. Randolph misses 2-pt shot from 13 ft,,33-28,,
9:19.0,,,33-28,,Defensive rebound by B. Knight
9:09.0,,,33-30,2,B. Knight makes 2-pt shot from 1 ft
8:53.0,,,33-30,,Shooting block foul by P. Tucker (drawn by J. Green)
8:53.0,Official timeout,,33-30,,
8:53.0,J. Green misses free throw 1 of 2,,33-30,,
8:53.0,Offensive rebound by Team,,33-30,,
8:53.0,J. Green makes free throw 2 of 2,1,34-30,,
8:37.0,,,34-30,,Turnover by A. Len (lost ball; steal by Z. Randolph)
8:23.0,T. Daniels misses 3-pt shot from 27 ft,,34-30,,
8:22.0,,,34-30,,Defensive rebound by B. Knight
8:14.0,,,34-33,3,T. Ulis makes 3-pt shot from 27 ft (assist by B. Knight)
7:57.0,M. Conley makes 3-pt shot from 26 ft,3,37-33,,
7:48.0,,,37-33,,Turnover by B. Knight (step out of bounds)
7:33.0,M. Conley makes 2-pt shot from 2 ft,2,39-33,,
7:20.0,,,39-35,2,P. Tucker makes 2-pt shot from 17 ft (assist by T. Ulis)
7:03.0,M. Conley makes 3-pt shot from 25 ft (assist by V. Carter),3,42-35,,
6:54.0,,,42-35,,T. Ulis misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by J. Green,,42-35,,
6:40.0,Z. Randolph makes 3-pt shot from 27 ft (assist by M. Conley),3,45-35,,
6:40.0,,,45-35,,Phoenix full timeout
6:40.0,,,45-35,,M. Chriss enters the game for A. Len
6:40.0,,,45-35,,D. Booker enters the game for B. Knight
6:40.0,,,45-35,,E. Bledsoe enters the game for J. Dudley
6:40.0,,,45-35,,T. Chandler enters the game for T. Ulis
6:40.0,M. Gasol enters the game for J. Green,,45-35,,
6:25.0,,,45-35,,E. Bledsoe misses 2-pt shot from 23 ft
6:25.0,,,45-35,,Offensive rebound by M. Chriss
6:06.0,,,45-37,2,P. Tucker makes 2-pt shot from 12 ft
5:52.0,,,45-37,,Personal foul by M. Chriss (drawn by M. Conley)
5:52.0,T. Allen enters the game for V. Carter,,45-37,,
5:52.0,C. Parsons enters the game for T. Daniels,,45-37,,
5:35.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,47-37,,
5:23.0,Personal foul by T. Allen (drawn by D. Booker),,47-37,,
5:10.0,,,47-37,,T. Chandler misses 2-pt shot from 3 ft
5:09.0,,,47-37,,Offensive rebound by T. Chandler
5:09.0,,,47-37,,Shooting foul by M. Gasol (drawn by T. Chandler)
5:09.0,,,47-38,1,T. Chandler makes free throw 1 of 2
5:09.0,,,47-39,1,T. Chandler makes free throw 2 of 2
5:09.0,A. Harrison enters the game for M. Conley,,47-38,,
4:52.0,Turnover by Z. Randolph (bad pass),,47-39,,
4:48.0,,,47-39,,Shooting foul by A. Harrison (drawn by E. Bledsoe)
4:48.0,,,47-40,1,E. Bledsoe makes free throw 1 of 2
4:48.0,,,47-41,1,E. Bledsoe makes free throw 2 of 2
4:40.0,Offensive foul by A. Harrison,,47-41,,
4:40.0,Turnover by A. Harrison (offensive foul),,47-41,,
4:28.0,,,47-43,2,P. Tucker makes 2-pt shot from 1 ft
4:24.0,Memphis full timeout,,47-43,,
4:24.0,M. Conley enters the game for A. Harrison,,47-43,,
4:24.0,V. Carter enters the game for Z. Randolph,,47-43,,
4:09.0,M. Gasol makes 2-pt shot from 4 ft (assist by V. Carter),2,49-43,,
3:53.0,,,49-43,,D. Booker misses 2-pt shot from 18 ft
3:53.0,Defensive rebound by C. Parsons,,49-43,,
3:36.0,Turnover by M. Gasol (lost ball),,49-43,,
3:33.0,,,49-43,,Turnover by E. Bledsoe (offensive foul)
3:33.0,,,49-43,,Offensive charge foul by E. Bledsoe
3:17.0,M. Gasol misses 2-pt shot from 18 ft,,49-43,,
3:16.0,,,49-43,,Defensive rebound by P. Tucker
3:09.0,,,49-45,2,E. Bledsoe makes 2-pt shot from 8 ft
2:58.0,M. Conley makes 3-pt shot from 26 ft,3,52-45,,
2:41.0,,,52-45,,Turnover by M. Chriss (lost ball; steal by M. Conley)
2:23.0,V. Carter misses 2-pt shot from 2 ft (block by T. Chandler),,52-45,,
2:23.0,Offensive rebound by Team,,52-45,,
2:20.0,V. Carter misses 2-pt shot from 9 ft,,52-45,,
2:20.0,Offensive rebound by T. Allen,,52-45,,
2:16.0,T. Allen makes 2-pt shot from 1 ft,2,54-45,,
2:06.0,,,54-45,,E. Bledsoe misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by T. Allen,,54-45,,
1:51.0,,,54-45,,Def 3 sec tech foul by M. Chriss
1:51.0,M. Conley makes technical free throw,1,55-45,,
1:43.0,,,55-45,,Violation by M. Chriss (def goaltending)
1:43.0,T. Allen makes 2-pt shot from 1 ft,2,57-45,,
1:36.0,,,57-45,,Shooting foul by M. Conley (drawn by E. Bledsoe)
1:36.0,,,57-46,1,E. Bledsoe makes free throw 1 of 2
1:36.0,,,57-46,,E. Bledsoe misses free throw 2 of 2
1:36.0,,,57-46,,T. Warren enters the game for M. Chriss
1:35.0,Defensive rebound by C. Parsons,,57-46,,
1:15.0,,,57-46,,Personal block foul by P. Tucker (drawn by M. Conley)
1:08.0,Turnover by M. Gasol (bad pass),,57-46,,
0:59.0,,,57-46,,Turnover by E. Bledsoe (bad pass; steal by V. Carter)
0:53.0,C. Parsons misses 2-pt shot from 2 ft (block by E. Bledsoe),,57-46,,
0:52.0,,,57-46,,Defensive rebound by T. Warren
0:46.0,,,57-46,,P. Tucker misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by M. Conley,,57-46,,
0:31.0,M. Conley makes 2-pt shot from 9 ft,2,59-46,,
0:10.0,,,59-46,,E. Bledsoe misses 2-pt shot from 1 ft
0:09.0,,,59-46,,Offensive rebound by T. Warren
0:08.0,Shooting block foul by V. Carter,,59-46,,
0:08.0,,,59-47,1,T. Warren makes free throw 1 of 2
0:08.0,,,59-48,1,T. Warren makes free throw 2 of 2
0:00.0,Turnover by M. Conley (bad pass),,59-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,59-48,,D. Booker misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by M. Conley,,59-48,,
11:24.0,M. Gasol misses 2-pt shot from 19 ft,,59-48,,
11:23.0,,,59-48,,Defensive rebound by E. Bledsoe
11:17.0,,,59-50,2,M. Chriss makes 2-pt shot from 1 ft (assist by T. Warren)
11:03.0,T. Allen misses 2-pt shot from 20 ft,,59-50,,
11:02.0,Offensive rebound by J. Green,,59-50,,
10:58.0,J. Green makes 3-pt shot from 25 ft,3,62-50,,
10:36.0,,,62-52,2,M. Chriss makes 2-pt shot from 19 ft (assist by D. Booker)
10:20.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,64-52,,
10:07.0,,,64-52,,E. Bledsoe misses 3-pt shot from 27 ft
10:06.0,Defensive rebound by M. Gasol,,64-52,,
9:55.0,J. Green makes 3-pt shot from 23 ft (assist by M. Conley),3,67-52,,
9:54.0,,,67-52,,Phoenix full timeout
9:46.0,Personal foul by J. Green,,67-52,,
9:38.0,,,67-52,,M. Chriss misses 2-pt shot from 5 ft (block by M. Gasol)
9:36.0,Defensive rebound by M. Gasol,,67-52,,
9:14.0,M. Gasol makes 2-pt shot from 21 ft (assist by C. Parsons),2,69-52,,
9:02.0,,,69-52,,D. Booker misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by M. Gasol,,69-52,,
8:45.0,J. Green misses 3-pt shot from 23 ft,,69-52,,
8:45.0,,,69-52,,Defensive rebound by M. Chriss
8:34.0,,,69-52,,Turnover by E. Bledsoe (bad pass; steal by T. Allen)
8:28.0,M. Conley makes 3-pt shot from 25 ft (assist by T. Allen),3,72-52,,
8:03.0,,,72-52,,Shooting foul by M. Gasol
8:03.0,,,72-53,1,T. Warren makes free throw 1 of 2
8:03.0,,,72-54,1,T. Warren makes free throw 2 of 2
7:46.0,T. Allen misses 2-pt shot from 23 ft,,72-54,,
7:44.0,Offensive rebound by J. Green,,72-54,,
7:44.0,J. Green misses 2-pt shot at rim,,72-54,,
7:43.0,,,72-54,,Defensive rebound by T. Chandler
7:38.0,,,72-54,,Turnover by M. Chriss (offensive goaltending)
7:27.0,Shooting foul by E. Bledsoe (drawn by M. Conley),,72-54,,
7:27.0,M. Conley makes free throw 1 of 3,1,73-54,,
7:27.0,M. Conley misses free throw 2 of 3,,73-54,,
7:27.0,Offensive rebound by Team,,73-54,,
7:27.0,M. Conley makes free throw 3 of 3,1,74-54,,
7:07.0,,,74-56,2,D. Booker makes 2-pt shot from 2 ft (assist by T. Warren)
6:47.0,J. Green misses 3-pt shot from 24 ft,,74-56,,
6:46.0,Offensive rebound by T. Allen,,74-56,,
6:41.0,T. Allen misses 2-pt shot from 2 ft,,74-56,,
6:41.0,,,74-56,,Defensive rebound by T. Chandler
6:34.0,,,74-56,,D. Booker misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by T. Allen,,74-56,,
6:26.0,J. Green misses 2-pt shot at rim (block by T. Warren),,74-56,,
6:26.0,Offensive rebound by Team,,74-56,,
6:24.0,Turnover by T. Allen (bad pass; steal by M. Chriss),,74-56,,
6:19.0,,,74-58,2,M. Chriss makes 2-pt shot from 1 ft
6:18.0,Memphis full timeout,,74-58,,
5:52.0,M. Gasol misses 3-pt shot from 28 ft,,74-58,,
5:51.0,Offensive rebound by T. Allen,,74-58,,
5:49.0,T. Allen misses 2-pt shot from 2 ft (block by T. Chandler),,74-58,,
5:48.0,,,74-58,,Defensive rebound by E. Bledsoe
5:42.0,,,74-58,,Shooting foul by T. Allen (drawn by E. Bledsoe)
5:42.0,,,74-58,,E. Bledsoe misses free throw 1 of 2
5:42.0,,,74-58,,Offensive rebound by Team
5:42.0,,,74-58,,E. Bledsoe misses free throw 2 of 2
5:42.0,V. Carter enters the game for T. Allen,,74-58,,
5:42.0,J. Ennis enters the game for C. Parsons,,74-58,,
5:41.0,Defensive rebound by J. Green,,74-58,,
5:25.0,Shooting foul by M. Chriss (drawn by M. Gasol),,74-58,,
5:25.0,M. Gasol makes free throw 1 of 2,1,75-58,,
5:25.0,M. Gasol makes free throw 2 of 2,1,76-58,,
5:14.0,,,76-58,,E. Bledsoe misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by M. Gasol,,76-58,,
5:04.0,Turnover by M. Conley (lost ball; steal by E. Bledsoe),,76-58,,
4:54.0,,,76-58,,T. Chandler misses 2-pt shot from 4 ft
4:53.0,,,76-58,,Offensive rebound by Team
4:51.0,,,76-58,,Shooting foul by J. Ennis (drawn by D. Booker)
4:51.0,,,76-59,1,D. Booker makes free throw 1 of 2
4:51.0,,,76-60,1,D. Booker makes free throw 2 of 2
4:51.0,Z. Randolph enters the game for J. Green,,76-59,,
4:34.0,Turnover by M. Gasol (lost ball; steal by T. Chandler),,76-60,,
4:34.0,Personal foul by M. Gasol (drawn by M. Chriss),,76-60,,
4:34.0,,,76-61,1,M. Chriss makes free throw 1 of 2
4:34.0,,,76-61,,M. Chriss misses free throw 2 of 2
4:34.0,A. Harrison enters the game for M. Conley,,76-61,,
4:34.0,,,76-61,,T. Ulis enters the game for E. Bledsoe
4:33.0,Defensive rebound by V. Carter,,76-61,,
4:15.0,Z. Randolph makes 2-pt shot from 21 ft (assist by V. Carter),2,78-61,,
3:53.0,,,78-64,3,M. Chriss makes 3-pt shot from 27 ft (assist by T. Ulis)
3:42.0,Shooting foul by T. Chandler (drawn by A. Harrison),,78-64,,
3:42.0,A. Harrison makes free throw 1 of 2,1,79-64,,
3:42.0,A. Harrison misses free throw 2 of 2,,79-64,,
3:42.0,J. Green enters the game for M. Gasol,,79-64,,
3:41.0,,,79-64,,Defensive rebound by T. Warren
3:25.0,,,79-66,2,D. Booker makes 2-pt shot from 3 ft
3:02.0,,,79-66,,P. Tucker enters the game for T. Warren
2:55.0,A. Harrison makes 3-pt shot from 27 ft,3,82-66,,
2:42.0,,,82-66,,D. Booker misses 2-pt shot from 4 ft
2:42.0,Defensive rebound by J. Ennis,,82-66,,
2:18.0,Z. Randolph makes 3-pt shot from 24 ft (assist by J. Ennis),3,85-66,,
1:55.0,,,85-68,2,T. Ulis makes 2-pt shot from 16 ft
1:33.0,Z. Randolph misses 2-pt shot from 14 ft,,85-68,,
1:32.0,,,85-68,,Defensive rebound by T. Chandler
1:27.0,,,85-68,,D. Booker misses 2-pt shot from 1 ft
1:25.0,Defensive rebound by Z. Randolph,,85-68,,
1:18.0,J. Ennis makes 3-pt shot from 26 ft (assist by J. Green),3,88-68,,
1:16.0,,,88-68,,Phoenix full timeout
1:16.0,,,88-68,,A. Len enters the game for M. Chriss
1:16.0,,,88-68,,T. Warren enters the game for T. Chandler
1:05.0,,,88-68,,T. Ulis misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by V. Carter,,88-68,,
0:43.0,Turnover by J. Ennis (lost ball; steal by D. Booker),,88-68,,
0:38.0,Shooting block foul by A. Harrison (drawn by D. Booker),,88-68,,
0:38.0,,,88-69,1,D. Booker makes free throw 1 of 2
0:38.0,,,88-70,1,D. Booker makes free throw 2 of 2
0:38.0,M. Gasol enters the game for J. Green,,88-69,,
0:38.0,M. Conley enters the game for A. Harrison,,88-69,,
0:22.0,Z. Randolph misses 3-pt shot from 24 ft,,88-70,,
0:21.0,,,88-70,,Defensive rebound by P. Tucker
0:02.0,,,88-70,,D. Booker misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by M. Gasol,,88-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,V. Carter makes 3-pt shot from 28 ft (assist by M. Conley),3,91-70,,
11:31.0,Personal foul by J. Green,,91-70,,
11:27.0,,,91-70,,T. Warren misses 2-pt shot from 2 ft
11:26.0,Defensive rebound by J. Green,,91-70,,
11:06.0,Z. Randolph misses 2-pt shot from 18 ft,,91-70,,
11:05.0,,,91-70,,Defensive rebound by T. Warren
10:57.0,,,91-70,,Turnover by E. Bledsoe (bad pass; steal by J. Ennis)
