time,Miami,pts.away,score,pts.home,Phoenix
3:10.0,,,80-93,,Offensive rebound by T. Chandler
3:10.0,,,80-93,,Shooting foul by W. Reed (drawn by T. Chandler)
3:10.0,,,80-94,1,T. Chandler makes free throw 1 of 2
3:10.0,,,80-94,,T. Chandler misses free throw 2 of 2
3:09.0,Defensive rebound by J. Richardson,,80-94,,
2:54.0,J. Richardson misses 2-pt shot from 4 ft,,80-94,,
2:52.0,Offensive rebound by W. Reed,,80-94,,
2:52.0,W. Reed makes 2-pt shot at rim,2,82-94,,
2:29.0,,,82-94,,Turnover by E. Bledsoe (bad pass)
2:12.0,R. McGruder misses 2-pt shot from 4 ft,,82-94,,
2:09.0,Offensive rebound by W. Reed,,82-94,,
2:09.0,W. Reed makes 2-pt shot at rim,2,84-94,,
1:56.0,,,84-94,,Turnover by P. Tucker (offensive foul)
1:56.0,,,84-94,,Offensive foul by P. Tucker
1:47.0,J. Richardson makes 2-pt shot at rim,2,86-94,,
1:27.0,,,86-96,2,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
1:18.0,J. Richardson misses 2-pt shot from 22 ft,,86-96,,
1:16.0,,,86-96,,Defensive rebound by T. Chandler
0:54.0,,,86-96,,Turnover by D. Booker (lost ball; steal by W. Reed)
0:48.0,W. Reed makes 2-pt shot at rim (assist by J. Richardson),2,88-96,,
0:30.0,,,88-98,2,D. Booker makes 2-pt shot from 19 ft
0:30.0,Miami full timeout,,88-98,,
0:23.0,W. Ellington misses 3-pt shot from 25 ft,,88-98,,
0:22.0,,,88-98,,Defensive rebound by E. Bledsoe
0:16.0,Personal take foul by R. McGruder (drawn by E. Bledsoe),,88-98,,
0:16.0,,,88-98,,Phoenix full timeout
0:13.0,Personal take foul by G. Dragic (drawn by E. Bledsoe),,88-98,,
0:13.0,,,88-98,,E. Bledsoe misses free throw 1 of 2
0:13.0,,,88-98,,Offensive rebound by Team
0:13.0,,,88-99,1,E. Bledsoe makes free throw 2 of 2
0:04.0,G. Dragic misses 2-pt shot from 1 ft,,88-99,,
0:03.0,Offensive rebound by W. Reed,,88-99,,
0:03.0,W. Reed makes 2-pt shot at rim,2,90-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
