time,Washington,pts.away,score,pts.home,Portland
0:32.0,B. Beal misses 3-pt shot from 25 ft,,112-110,,
0:32.0,,,112-110,,Defensive rebound by D. Lillard
0:23.0,,,112-110,,Shooting foul by O. Porter (drawn by J. Nurkic)
0:23.0,,,112-111,1,J. Nurkic makes free throw 1 of 2
0:23.0,,,112-112,1,J. Nurkic makes free throw 2 of 2
0:23.0,Washington full timeout,,112-112,,
0:23.0,,,112-111,,M. Harkless enters the game for D. Lillard
0:01.0,J. Wall misses 2-pt shot from 16 ft,,112-112,,
0:00.0,Offensive rebound by Team,,112-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:40.0,,,112-112,,J. Nurkic misses 2-pt shot from 4 ft
4:39.0,Defensive rebound by O. Porter,,112-112,,
4:23.0,B. Beal misses 2-pt shot from 1 ft (block by J. Nurkic),,112-112,,
4:23.0,,,112-112,,Defensive rebound by A. Crabbe
4:14.0,,,112-115,3,A. Aminu makes 3-pt shot from 22 ft (assist by C. McCollum)
3:57.0,O. Porter makes 3-pt shot from 25 ft,3,115-115,,
3:35.0,,,115-115,,J. Nurkic misses 2-pt shot from 3 ft (block by M. Morris)
3:34.0,Defensive rebound by M. Gortat,,115-115,,
3:23.0,M. Gortat misses 2-pt shot from 5 ft,,115-115,,
3:23.0,,,115-115,,Defensive rebound by A. Crabbe
3:13.0,,,115-115,,Turnover by D. Lillard (lost ball)
3:04.0,B. Beal misses 3-pt shot from 25 ft,,115-115,,
3:04.0,,,115-115,,Defensive rebound by J. Nurkic
2:55.0,,,115-117,2,D. Lillard makes 2-pt shot from 21 ft
2:35.0,J. Wall makes 2-pt shot from 16 ft,2,117-117,,
2:25.0,Personal foul by O. Porter (drawn by A. Crabbe),,117-117,,
2:18.0,,,117-120,3,D. Lillard makes 3-pt shot from 28 ft (assist by C. McCollum)
2:16.0,Washington full timeout,,117-120,,
2:07.0,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter),2,119-120,,
1:51.0,,,119-120,,D. Lillard misses 2-pt shot from 20 ft
1:50.0,Defensive rebound by M. Gortat,,119-120,,
1:28.0,O. Porter misses 3-pt shot from 25 ft,,119-120,,
1:27.0,Offensive rebound by M. Gortat,,119-120,,
1:27.0,M. Gortat makes 2-pt shot from 1 ft,2,121-120,,
1:04.0,,,121-122,2,D. Lillard makes 2-pt shot from 6 ft
0:50.0,B. Beal misses 2-pt shot from 14 ft,,121-122,,
0:50.0,,,121-122,,Defensive rebound by A. Crabbe
0:36.0,,,121-124,2,D. Lillard makes 2-pt shot from 1 ft
0:36.0,Washington full timeout,,121-124,,
0:36.0,,,121-124,,M. Harkless enters the game for D. Lillard
0:32.0,Shooting foul by A. Crabbe (drawn by B. Beal),,121-124,,
0:32.0,B. Beal misses free throw 1 of 3,,121-124,,
0:32.0,Offensive rebound by Team,,121-124,,
0:32.0,B. Beal makes free throw 2 of 3,1,122-124,,
0:32.0,B. Beal makes free throw 3 of 3,1,123-124,,
0:32.0,,,123-124,,Portland full timeout
0:32.0,,,123-124,,D. Lillard enters the game for M. Harkless
0:17.0,,,123-124,,D. Lillard misses 2-pt shot from 22 ft (block by J. Wall)
0:16.0,Defensive rebound by M. Gortat,,123-124,,
0:07.0,Washington full timeout,,123-124,,
0:07.0,,,123-124,,M. Harkless enters the game for D. Lillard
0:00.0,M. Morris makes 2-pt shot from 20 ft (assist by B. Beal),2,125-124,,
0:00.0,,,125-124,,Portland full timeout
0:00.0,,,125-124,,D. Lillard enters the game for M. Harkless
0:00.0,I. Mahinmi enters the game for M. Gortat,,125-124,,
0:00.0,,,125-124,,M. Leonard enters the game for A. Aminu
0:00.0,,,125-124,,D. Lillard misses 3-pt shot from 30 ft
0:00.0,,,125-124,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
