time,Houston,pts.away,score,pts.home,New York
6:00.0,,,109-86,,D. Rose misses 2-pt shot from 5 ft (block by M. Harrell)
5:59.0,Defensive rebound by T. Ariza,,109-86,,
5:56.0,,,109-86,,Personal foul by K. Porzingis (drawn by J. Harden)
5:56.0,,,109-86,,New York full timeout
5:56.0,,,109-86,,S. Vujacic enters the game for K. Porzingis
5:56.0,,,109-86,,M. Kuzminskas enters the game for D. Rose
5:41.0,J. Harden makes 3-pt shot from 26 ft,3,112-86,,
5:24.0,,,112-86,,R. Baker misses 2-pt shot from 21 ft
5:23.0,Defensive rebound by E. Gordon,,112-86,,
5:01.0,Turnover by M. Harrell (bad pass; steal by R. Baker),,112-86,,
4:56.0,,,112-86,,S. Vujacic misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by R. Anderson,,112-86,,
4:44.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,114-86,,
4:19.0,,,114-88,2,S. Vujacic makes 2-pt shot from 20 ft
4:00.0,J. Harden misses 3-pt shot from 27 ft,,114-88,,
3:59.0,,,114-88,,Defensive rebound by B. Jennings
3:54.0,,,114-91,3,R. Baker makes 3-pt shot from 26 ft (assist by B. Jennings)
3:45.0,,,114-91,,Personal foul by R. Baker (drawn by E. Gordon)
3:45.0,K. Wiltjer enters the game for R. Anderson,,114-91,,
3:45.0,S. Dekker enters the game for T. Ariza,,114-91,,
3:45.0,B. Brown enters the game for J. Harden,,114-91,,
3:45.0,K. McDaniels enters the game for E. Gordon,,114-91,,
3:27.0,K. Wiltjer misses 3-pt shot from 27 ft,,114-91,,
3:26.0,,,114-91,,Defensive rebound by B. Jennings
3:20.0,,,114-91,,R. Baker misses 3-pt shot from 22 ft
3:19.0,Defensive rebound by K. Wiltjer,,114-91,,
3:08.0,B. Brown misses 2-pt shot from 4 ft,,114-91,,
3:07.0,,,114-91,,Defensive rebound by Team
2:48.0,,,114-91,,B. Jennings misses 2-pt shot from 2 ft (block by K. McDaniels)
2:47.0,Defensive rebound by M. Harrell,,114-91,,
2:42.0,K. Wiltjer misses 3-pt shot from 26 ft,,114-91,,
2:40.0,Offensive rebound by S. Dekker,,114-91,,
2:40.0,S. Dekker misses 2-pt shot from 1 ft,,114-91,,
2:39.0,Offensive rebound by M. Harrell,,114-91,,
2:38.0,M. Harrell makes 2-pt shot at rim,2,116-91,,
2:22.0,,,116-91,,Shooting foul by B. Brown (drawn by M. Kuzminskas)
2:22.0,Houston full timeout,,116-91,,
2:22.0,,,116-91,,M. Kuzminskas misses free throw 1 of 2
2:22.0,,,116-91,,Offensive rebound by Team
2:22.0,,,116-92,1,M. Kuzminskas makes free throw 2 of 2
2:00.0,K. Wiltjer misses 3-pt shot from 26 ft,,116-92,,
1:59.0,,,116-92,,Defensive rebound by S. Vujacic
1:51.0,,,116-92,,M. Kuzminskas misses 2-pt shot from 2 ft (block by K. McDaniels)
1:50.0,Defensive rebound by K. Wiltjer,,116-92,,
1:45.0,Turnover by M. Harrell (lost ball; steal by M. Ndour),,116-92,,
1:31.0,,,116-92,,R. Baker misses 2-pt shot from 5 ft
1:30.0,,,116-92,,Offensive rebound by M. Kuzminskas
1:29.0,Personal foul by K. Wiltjer (drawn by M. Kuzminskas),,116-92,,
1:29.0,,,116-93,1,M. Kuzminskas makes free throw 1 of 2
1:29.0,,,116-94,1,M. Kuzminskas makes free throw 2 of 2
1:22.0,,,116-94,,Personal foul by S. Vujacic (drawn by K. Wiltjer)
1:14.0,B. Brown misses 3-pt shot from 25 ft,,116-94,,
1:13.0,,,116-94,,Defensive rebound by S. Vujacic
1:04.0,,,116-96,2,M. Ndour makes 2-pt shot at rim
0:54.0,S. Dekker makes 2-pt shot from 1 ft,2,118-96,,
0:36.0,,,118-96,,Turnover by R. Baker (bad pass; steal by K. McDaniels)
0:32.0,Turnover by K. McDaniels (lost ball),,118-96,,
0:29.0,,,118-96,,Technical foul by M. Ndour
0:29.0,Technical foul by M. Harrell,,118-96,,
0:26.0,,,118-96,,M. Kuzminskas misses 2-pt shot from 20 ft
0:25.0,Defensive rebound by M. Harrell,,118-96,,
0:03.0,Turnover by K. Wiltjer (lost ball; steal by M. Kuzminskas),,118-96,,
0:00.0,,,118-99,3,M. Kuzminskas makes 3-pt shot from 27 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
