time,Atlanta,pts.away,score,pts.home,Chicago
2:38.0,,,100-99,2,J. Butler makes 2-pt shot from 1 ft
2:22.0,D. Schroder makes 2-pt shot from 2 ft,2,102-99,,
1:59.0,,,102-102,3,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo)
1:42.0,E. Ilyasova misses 2-pt shot from 5 ft,,102-102,,
1:42.0,,,102-102,,Defensive rebound by Team
1:24.0,,,102-102,,J. Butler misses 2-pt shot from 17 ft
1:23.0,Defensive rebound by K. Bazemore,,102-102,,
1:06.0,D. Schroder misses 3-pt shot from 24 ft,,102-102,,
1:04.0,,,102-102,,Defensive rebound by D. Valentine
0:41.0,,,102-102,,J. Butler misses 2-pt shot from 17 ft
0:39.0,Defensive rebound by D. Howard,,102-102,,
0:36.0,D. Schroder makes 2-pt shot from 9 ft (assist by K. Bazemore),2,104-102,,
0:36.0,,,104-102,,Chicago full timeout
0:33.0,,,104-104,2,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo)
0:33.0,Atlanta full timeout,,104-104,,
0:33.0,,,104-104,,M. Carter-Williams enters the game for N. Mirotic
0:33.0,,,104-104,,P. Zipser enters the game for D. Valentine
0:25.0,Turnover by D. Schroder (lost ball),,104-104,,
0:25.0,,,104-104,,D. Valentine enters the game for P. Zipser
0:25.0,,,104-104,,N. Mirotic enters the game for M. Carter-Williams
0:02.0,,,104-104,,Shooting foul by K. Bazemore (drawn by J. Butler)
0:02.0,,,104-105,1,J. Butler makes free throw 1 of 2
0:02.0,,,104-106,1,J. Butler makes free throw 2 of 2
0:02.0,Atlanta full timeout,,104-106,,
0:02.0,Atlanta full timeout,,104-106,,
0:02.0,,,104-105,,M. Carter-Williams enters the game for D. Valentine
0:02.0,,,104-105,,P. Zipser enters the game for N. Mirotic
0:02.0,M. Dunleavy enters the game for D. Schroder,,104-106,,
0:00.0,T. Hardaway misses 3-pt shot from 28 ft,,104-106,,
0:00.0,Offensive rebound by Team,,104-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
