time,Cleveland,pts.away,score,pts.home,Portland
3:41.0,,,76-99,,S. Napier enters the game for A. Aminu
3:41.0,,,76-99,,J. Layman enters the game for C. McCollum
3:41.0,,,76-99,,P. Connaughton enters the game for D. Lillard
3:40.0,,,76-99,,Defensive rebound by N. Vonleh
3:17.0,,,76-99,,S. Napier misses 2-pt shot from 21 ft
3:17.0,,,76-99,,Offensive rebound by Team
3:17.0,,,76-99,,Turnover by Team (shot clock)
3:05.0,J. Jones makes 3-pt shot from 24 ft (assist by K. Korver),3,79-99,,
2:46.0,,,79-99,,Shooting foul by K. Felder (drawn by J. Layman)
2:46.0,Official timeout,,79-99,,
2:46.0,,,79-100,1,J. Layman makes free throw 1 of 2
2:46.0,,,79-100,,J. Layman misses free throw 2 of 2
2:45.0,Defensive rebound by K. Felder,,79-100,,
2:30.0,J. McRae makes 2-pt shot from 9 ft,2,81-100,,
2:06.0,,,81-100,,N. Vonleh misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by J. Jones,,81-100,,
1:58.0,Turnover by J. McRae (lost ball; steal by P. Connaughton),,81-100,,
1:54.0,,,81-100,,A. Crabbe misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by J. McRae,,81-100,,
1:46.0,K. Felder misses 2-pt shot from 6 ft,,81-100,,
1:45.0,,,81-100,,Defensive rebound by N. Vonleh
1:26.0,,,81-100,,P. Connaughton misses 2-pt shot from 9 ft
1:24.0,Defensive rebound by K. Felder,,81-100,,
1:15.0,J. McRae makes 3-pt shot from 24 ft (assist by K. Felder),3,84-100,,
0:55.0,,,84-100,,S. Napier misses 3-pt shot from 27 ft
0:54.0,,,84-100,,Offensive rebound by N. Vonleh
0:54.0,,,84-100,,Shooting foul by K. Korver (drawn by N. Vonleh)
0:54.0,,,84-101,1,N. Vonleh makes free throw 1 of 2
0:54.0,,,84-102,1,N. Vonleh makes free throw 2 of 2
0:45.0,K. Felder misses 2-pt shot from 2 ft (block by N. Vonleh),,84-102,,
0:45.0,Offensive rebound by Team,,84-102,,
0:42.0,Shooting foul by N. Vonleh (drawn by J. Jones),,84-102,,
0:42.0,J. Jones makes free throw 1 of 2,1,85-102,,
0:42.0,J. Jones makes free throw 2 of 2,1,86-102,,
0:25.0,,,86-102,,J. Layman misses 3-pt shot from 26 ft
0:23.0,,,86-102,,Offensive rebound by P. Connaughton
0:01.0,,,86-102,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
