time,New Orleans,pts.away,score,pts.home,Milwaukee
3:30.0,,,104-96,,Offensive rebound by J. Henson
3:30.0,,,104-98,2,J. Henson makes 2-pt shot from 1 ft
3:07.0,Turnover by E. Moore (bad pass; steal by J. Parker),,104-98,,
3:01.0,,,104-98,,T. Snell misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by A. Davis,,104-98,,
2:43.0,A. Davis misses 2-pt shot from 14 ft,,104-98,,
2:42.0,,,104-98,,Defensive rebound by M. Dellavedova
2:40.0,Personal block foul by E. Moore (drawn by M. Dellavedova),,104-98,,
2:40.0,New Orleans full timeout,,104-98,,
2:40.0,,,104-98,,G. Antetokounmpo enters the game for M. Brogdon
2:28.0,,,104-98,,J. Parker misses 2-pt shot from 1 ft
2:26.0,,,104-98,,Offensive rebound by J. Parker
2:25.0,,,104-98,,J. Parker misses 2-pt shot at rim (block by T. Jones)
2:23.0,,,104-98,,Offensive rebound by T. Snell
2:17.0,,,104-100,2,T. Snell makes 2-pt shot from 14 ft
2:11.0,,,104-100,,Personal foul by J. Henson (drawn by A. Davis)
2:11.0,A. Davis makes free throw 1 of 2,1,105-100,,
2:11.0,A. Davis makes free throw 2 of 2,1,106-100,,
1:56.0,,,106-100,,J. Henson misses 2-pt shot from 2 ft
1:54.0,,,106-100,,Offensive rebound by G. Antetokounmpo
1:46.0,,,106-100,,J. Parker misses 2-pt shot from 15 ft
1:45.0,,,106-100,,Offensive rebound by G. Antetokounmpo
1:41.0,,,106-100,,M. Dellavedova misses 3-pt shot from 25 ft
1:37.0,Jump ball: G. Antetokounmpo vs. T. Jones (T. Snell gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Jones (T. Snell gains possession)
1:37.0,,,106-100,,Offensive rebound by Team
1:24.0,,,106-100,,M. Dellavedova misses 2-pt shot from 7 ft
1:23.0,,,106-100,,Offensive rebound by M. Dellavedova
1:19.0,,,106-102,2,J. Parker makes 2-pt shot at rim
1:07.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Frazier),2,108-102,,
0:50.0,,,108-102,,J. Parker misses 3-pt shot from 28 ft
0:49.0,,,108-102,,Offensive rebound by J. Henson
0:40.0,,,108-104,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
0:40.0,,,108-104,,Shooting foul by A. Davis (drawn by G. Antetokounmpo)
0:40.0,,,108-105,1,G. Antetokounmpo makes free throw 1 of 1
0:40.0,New Orleans full timeout,,108-105,,
0:40.0,B. Hield enters the game for S. Hill,,108-105,,
0:40.0,,,108-105,,G. Monroe enters the game for M. Dellavedova
0:40.0,,,108-105,,M. Brogdon enters the game for G. Monroe
0:29.0,A. Davis misses 2-pt shot from 7 ft,,108-105,,
0:27.0,Offensive rebound by T. Jones,,108-105,,
0:25.0,T. Jones misses 2-pt shot from 2 ft (block by J. Henson),,108-105,,
0:25.0,,,108-105,,Defensive rebound by J. Parker
0:25.0,,,108-105,,Milwaukee full timeout
0:25.0,D. Cunningham enters the game for T. Frazier,,108-105,,
0:25.0,S. Hill enters the game for B. Hield,,108-105,,
0:25.0,,,108-105,,M. Teletovic enters the game for T. Snell
0:25.0,,,108-105,,M. Dellavedova enters the game for M. Brogdon
0:15.0,Personal foul by E. Moore (drawn by M. Dellavedova),,108-105,,
0:15.0,,,108-106,1,M. Dellavedova makes free throw 1 of 2
0:15.0,,,108-106,,M. Dellavedova misses free throw 2 of 2
0:15.0,,,108-106,,T. Snell enters the game for M. Teletovic
0:15.0,O. Asik enters the game for D. Cunningham,,108-106,,
0:14.0,Defensive rebound by A. Davis,,108-106,,
0:12.0,,,108-106,,Personal take foul by J. Parker (drawn by A. Davis)
0:12.0,A. Davis makes free throw 1 of 2,1,109-106,,
0:12.0,A. Davis makes free throw 2 of 2,1,110-106,,
0:12.0,,,110-106,,Milwaukee full timeout
0:12.0,D. Cunningham enters the game for O. Asik,,109-106,,
0:12.0,,,110-106,,M. Teletovic enters the game for T. Snell
0:07.0,,,110-106,,M. Teletovic misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by Team,,110-106,,
0:07.0,,,110-106,,T. Snell enters the game for M. Teletovic
0:07.0,T. Frazier enters the game for D. Cunningham,,110-106,,
0:07.0,B. Hield enters the game for S. Hill,,110-106,,
0:07.0,New Orleans full timeout,,110-106,,
0:06.0,D. Cunningham enters the game for T. Jones,,110-106,,
0:04.0,,,110-106,,Personal take foul by T. Snell (drawn by T. Frazier)
0:04.0,T. Frazier makes free throw 1 of 2,1,111-106,,
0:04.0,T. Frazier makes free throw 2 of 2,1,112-106,,
0:00.0,,,112-106,,M. Dellavedova misses 3-pt shot from 27 ft
0:00.0,,,112-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
