time,Utah,pts.away,score,pts.home,LA Lakers
3:38.0,,,100-95,,L. Deng enters the game for J. Randle
3:26.0,,,100-97,2,L. Williams makes 2-pt shot from 3 ft
3:01.0,R. Hood makes 3-pt shot from 25 ft (assist by S. Mack),3,103-97,,
3:01.0,Violation by Team (jump ball),,103-97,,
2:40.0,,,103-97,,L. Williams misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by Team,,103-97,,
2:40.0,Official timeout,,103-97,,
2:40.0,,,103-97,,J. Randle enters the game for M. Huertas
2:16.0,R. Hood makes 2-pt shot from 9 ft,2,105-97,,
1:55.0,,,105-97,,L. Williams misses 2-pt shot from 5 ft
1:50.0,,,105-97,,Offensive rebound by J. Clarkson
1:45.0,,,105-97,,L. Williams misses 3-pt shot from 23 ft
1:44.0,Defensive rebound by G. Hayward,,105-97,,
1:44.0,,,105-97,,Personal foul by L. Deng (drawn by G. Hayward)
1:44.0,G. Hayward misses free throw 1 of 2,,105-97,,
1:44.0,Offensive rebound by Team,,105-97,,
1:44.0,G. Hayward makes free throw 2 of 2,1,106-97,,
1:26.0,,,106-97,,L. Williams misses 2-pt shot from 6 ft
1:23.0,Defensive rebound by R. Hood,,106-97,,
1:06.0,G. Hayward misses 2-pt shot from 21 ft,,106-97,,
1:03.0,Offensive rebound by R. Hood,,106-97,,
0:44.0,R. Hood misses 2-pt shot from 4 ft,,106-97,,
0:43.0,Jump ball: R. Gobert vs. T. Robinson,,,,Jump ball: R. Gobert vs. T. Robinson
0:43.0,Offensive rebound by Team,,106-97,,
0:43.0,,,106-97,,Loose ball foul by T. Robinson (drawn by R. Gobert)
0:43.0,R. Gobert makes free throw 1 of 2,1,107-97,,
0:43.0,R. Gobert misses free throw 2 of 2,,107-97,,
0:41.0,,,107-97,,Defensive rebound by J. Randle
0:32.0,,,107-97,,L. Williams misses 2-pt shot from 6 ft
0:32.0,,,107-97,,Offensive rebound by Team
0:27.0,,,107-99,2,J. Clarkson makes 2-pt shot from 21 ft (assist by L. Williams)
0:04.0,R. Hood misses 3-pt shot from 26 ft,,107-99,,
0:03.0,,,107-99,,Defensive rebound by J. Randle
0:00.0,,,107-101,2,J. Randle makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
