time,Orlando,pts.away,score,pts.home,Boston
8:40.0,Offensive foul by A. Brown,,74-114,,
8:40.0,,,74-114,,J. Young enters the game for M. Smart
8:18.0,,,74-114,,T. Zeller misses 2-pt shot from 17 ft
8:17.0,Defensive rebound by B. Biyombo,,74-114,,
8:11.0,,,74-114,,Personal foul by K. Olynyk (drawn by D. Rudez)
8:11.0,M. Hezonja enters the game for D. Augustin,,74-114,,
8:04.0,A. Brown makes 3-pt shot from 25 ft,3,77-114,,
7:45.0,,,77-114,,J. Brown misses 3-pt shot from 24 ft
7:44.0,,,77-114,,Offensive rebound by T. Zeller
7:36.0,,,77-114,,Turnover by K. Olynyk (bad pass; steal by D. Rudez)
7:30.0,A. Brown misses 3-pt shot from 25 ft,,77-114,,
7:29.0,,,77-114,,Defensive rebound by J. Brown
7:24.0,,,77-114,,Shooting foul by B. Biyombo (drawn by J. Brown)
7:24.0,,,77-114,,J. Brown misses free throw 1 of 2
7:24.0,,,77-114,,Offensive rebound by Team
7:24.0,,,77-115,1,J. Brown makes free throw 2 of 2
7:11.0,B. Biyombo makes 2-pt shot from 2 ft (assist by M. Hezonja),2,79-115,,
6:54.0,,,79-115,,T. Rozier misses 3-pt shot from 26 ft
6:54.0,,,79-115,,Offensive rebound by Team
6:54.0,Loose ball foul by D. Rudez (drawn by K. Olynyk),,79-115,,
6:46.0,,,79-115,,T. Zeller misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by A. Brown,,79-115,,
6:37.0,A. Brown misses 2-pt shot from 16 ft,,79-115,,
6:36.0,,,79-115,,Defensive rebound by T. Zeller
6:21.0,,,79-115,,J. Brown misses 2-pt shot from 1 ft
6:20.0,Defensive rebound by B. Biyombo,,79-115,,
6:15.0,,,79-115,,Personal foul by J. Brown (drawn by M. Hezonja)
6:15.0,,,79-115,,J. Mickey enters the game for T. Zeller
6:15.0,,,79-115,,G. Green enters the game for K. Olynyk
6:07.0,M. Hezonja makes 2-pt shot from 19 ft (assist by B. Biyombo),2,81-115,,
5:46.0,,,81-117,2,T. Rozier makes 2-pt shot from 21 ft
5:30.0,D. Rudez makes 3-pt shot from 27 ft (assist by A. Brown),3,84-117,,
5:15.0,,,84-119,2,J. Mickey makes 2-pt shot at rim (assist by T. Rozier)
4:59.0,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja),2,86-119,,
4:40.0,,,86-121,2,J. Mickey makes 2-pt shot from 21 ft (assist by J. Young)
4:13.0,A. Brown makes 2-pt shot from 20 ft,2,88-121,,
3:52.0,,,88-123,2,J. Brown makes 2-pt shot from 1 ft (assist by G. Green)
3:39.0,C. Watson misses 2-pt shot from 13 ft,,88-123,,
3:39.0,,,88-123,,Defensive rebound by G. Green
3:26.0,,,88-123,,Shooting foul by M. Hezonja (drawn by J. Young)
3:26.0,Official timeout,,88-123,,
3:26.0,,,88-124,1,J. Young makes free throw 1 of 3
3:26.0,,,88-124,,J. Young misses free throw 2 of 3
3:26.0,,,88-124,,Offensive rebound by Team
3:26.0,,,88-125,1,J. Young makes free throw 3 of 3
3:26.0,,,88-123,,T. Zeller enters the game for J. Brown
3:07.0,A. Brown misses 3-pt shot from 26 ft,,88-125,,
3:06.0,,,88-125,,Defensive rebound by J. Mickey
2:52.0,,,88-125,,J. Young misses 2-pt shot from 8 ft (block by M. Hezonja)
2:51.0,Defensive rebound by M. Hezonja,,88-125,,
