time,Denver,pts.away,score,pts.home,Charlotte
4:16.0,Defensive rebound by J. Murray,,105-110,,
4:08.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Murray),3,108-110,,
4:08.0,,,108-110,,Charlotte full timeout
3:54.0,,,108-113,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by N. Batum)
3:29.0,N. Jokic misses 2-pt shot from 2 ft (block by M. Williams),,108-113,,
3:27.0,,,108-113,,Defensive rebound by M. Kidd-Gilchrist
3:21.0,,,108-113,,K. Walker misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by K. Faried,,108-113,,
3:09.0,K. Faried misses 2-pt shot from 5 ft (block by M. Williams),,108-113,,
3:07.0,,,108-113,,Defensive rebound by M. Williams
2:48.0,,,108-116,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
2:31.0,J. Murray makes 3-pt shot from 25 ft,3,111-116,,
2:06.0,,,111-116,,K. Walker misses 2-pt shot from 1 ft (block by K. Faried)
2:04.0,Defensive rebound by N. Jokic,,111-116,,
1:52.0,J. Murray misses 3-pt shot from 27 ft,,111-116,,
1:51.0,,,111-116,,Defensive rebound by K. Walker
1:49.0,Personal foul by G. Harris (drawn by K. Walker),,111-116,,
1:37.0,,,111-116,,N. Batum misses 2-pt shot from 19 ft
1:34.0,,,111-116,,Offensive rebound by M. Williams
1:32.0,,,111-116,,Shooting foul by N. Jokic (drawn by K. Walker)
1:32.0,,,111-117,1,K. Walker makes free throw 1 of 2
1:32.0,,,111-118,1,K. Walker makes free throw 2 of 2
1:32.0,Denver full timeout,,111-118,,
1:32.0,,,111-118,,C. Zeller enters the game for F. Kaminsky
1:22.0,N. Jokic makes 3-pt shot from 25 ft (assist by D. Gallinari),3,114-118,,
1:02.0,,,114-120,2,N. Batum makes 2-pt shot from 17 ft
0:50.0,Turnover by G. Harris (bad pass; steal by M. Kidd-Gilchrist),,114-120,,
0:36.0,Shooting block foul by K. Faried (drawn by K. Walker),,114-120,,
0:36.0,,,114-121,1,K. Walker makes free throw 1 of 2
0:36.0,,,114-122,1,K. Walker makes free throw 2 of 2
0:36.0,Denver full timeout,,114-122,,
0:30.0,J. Murray misses 3-pt shot from 25 ft,,114-122,,
0:29.0,,,114-122,,Defensive rebound by Team
0:05.0,,,114-122,,Turnover by Team (shot clock)
0:00.0,K. Faried misses 2-pt shot from 18 ft,,114-122,,
0:00.0,Offensive rebound by Team,,114-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
