time,Oklahoma City,pts.away,score,pts.home,New York
5:45.0,A. Roberson enters the game for A. Morrow,,99-94,,
5:39.0,R. Westbrook misses 2-pt shot from 16 ft,,99-94,,
5:39.0,,,99-94,,Defensive rebound by C. Lee
5:18.0,,,99-96,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
5:06.0,R. Westbrook misses 2-pt shot from 16 ft,,99-96,,
5:04.0,Offensive rebound by S. Adams,,99-96,,
4:52.0,Shooting foul by J. Noah (drawn by R. Westbrook),,99-96,,
4:52.0,R. Westbrook makes free throw 1 of 2,1,100-96,,
4:52.0,R. Westbrook makes free throw 2 of 2,1,101-96,,
4:37.0,,,101-96,,K. Porzingis misses 3-pt shot from 25 ft
4:37.0,,,101-96,,Offensive rebound by C. Anthony
4:27.0,,,101-99,3,C. Lee makes 3-pt shot from 25 ft (assist by J. Noah)
4:11.0,R. Westbrook misses 2-pt shot from 2 ft (block by J. Noah),,101-99,,
4:09.0,,,101-99,,Defensive rebound by D. Rose
4:03.0,,,101-99,,Turnover by D. Rose (bad pass; steal by R. Westbrook)
4:01.0,Turnover by R. Westbrook (step out of bounds),,101-99,,
3:54.0,,,101-99,,D. Rose misses 2-pt shot from 8 ft (block by V. Oladipo)
3:53.0,Defensive rebound by R. Westbrook,,101-99,,
3:47.0,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook),3,104-99,,
3:46.0,,,104-99,,New York full timeout
3:34.0,Personal foul by A. Roberson (drawn by C. Anthony),,104-99,,
3:26.0,,,104-99,,Shooting foul by E. Kanter (drawn by C. Anthony)
3:26.0,,,104-100,1,C. Anthony makes free throw 1 of 2
3:26.0,,,104-101,1,C. Anthony makes free throw 2 of 2
3:13.0,R. Westbrook makes 2-pt shot from 5 ft,2,106-101,,
2:58.0,,,106-101,,Turnover by K. Porzingis (bad pass; steal by A. Roberson)
2:45.0,R. Westbrook misses 2-pt shot from 18 ft,,106-101,,
2:44.0,Offensive rebound by E. Kanter,,106-101,,
2:44.0,E. Kanter makes 2-pt shot from 1 ft,2,108-101,,
2:19.0,,,108-101,,D. Rose misses 2-pt shot from 1 ft
2:18.0,,,108-101,,Offensive rebound by J. Noah
2:18.0,,,108-101,,J. Noah misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by S. Adams,,108-101,,
2:12.0,E. Kanter makes 2-pt shot from 1 ft (assist by V. Oladipo),2,110-101,,
1:49.0,,,110-101,,Shooting foul by A. Roberson (drawn by C. Anthony)
1:49.0,,,110-102,1,C. Anthony makes free throw 1 of 2
1:49.0,,,110-103,1,C. Anthony makes free throw 2 of 2
1:37.0,E. Kanter misses 2-pt shot at rim (block by C. Anthony),,110-103,,
1:36.0,Offensive rebound by A. Roberson,,110-103,,
1:36.0,A. Roberson misses 2-pt shot from 1 ft,,110-103,,
1:35.0,Offensive rebound by E. Kanter,,110-103,,
1:34.0,E. Kanter makes 2-pt shot from 1 ft,2,112-103,,
1:34.0,,,112-103,,New York full timeout
1:23.0,,,112-103,,C. Anthony misses 2-pt shot from 1 ft (block by E. Kanter)
1:22.0,Jump ball: C. Anthony vs. A. Roberson (S. Adams gains possession),,,,Jump ball: C. Anthony vs. A. Roberson (S. Adams gains possession)
1:22.0,Defensive rebound by Team,,112-103,,
1:01.0,R. Westbrook misses 2-pt shot from 4 ft,,112-103,,
1:00.0,,,112-103,,Defensive rebound by D. Rose
0:52.0,,,112-103,,D. Rose misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by R. Westbrook,,112-103,,
0:30.0,R. Westbrook misses 2-pt shot from 4 ft,,112-103,,
0:29.0,,,112-103,,Defensive rebound by C. Lee
0:20.0,,,112-103,,C. Anthony misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by V. Oladipo,,112-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
