time,Brooklyn,pts.away,score,pts.home,New Orleans
7:20.0,,,118-89,2,T. Frazier makes 2-pt shot from 2 ft
6:58.0,J. Hamilton makes 2-pt shot from 2 ft (assist by R. Foye),2,120-89,,
6:50.0,,,120-91,2,T. Frazier makes 2-pt shot from 2 ft
6:32.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,122-91,,
6:32.0,Shooting foul by C. Diallo (drawn by B. Bogdanovic),,122-91,,
6:32.0,B. Bogdanovic makes free throw 1 of 1,1,123-91,,
6:32.0,S. Dinwiddie enters the game for I. Whitehead,,122-91,,
6:18.0,,,123-91,,L. Galloway misses 2-pt shot from 3 ft (block by B. Bogdanovic)
6:17.0,,,123-91,,Offensive rebound by L. Galloway
6:16.0,,,123-91,,C. Diallo misses 2-pt shot from 13 ft
6:14.0,,,123-91,,Offensive rebound by L. Galloway
6:11.0,,,123-91,,T. Frazier misses 3-pt shot from 27 ft
6:09.0,Defensive rebound by R. Foye,,123-91,,
6:03.0,B. Bogdanovic misses 2-pt shot from 2 ft,,123-91,,
6:02.0,,,123-91,,Defensive rebound by D. Motiejunas
5:57.0,,,123-94,3,B. Hield makes 3-pt shot from 27 ft (assist by T. Frazier)
5:55.0,Brooklyn full timeout,,123-94,,
5:55.0,Q. Acy enters the game for B. Bogdanovic,,123-94,,
5:55.0,C. LeVert enters the game for J. Hamilton,,123-94,,
5:55.0,I. Whitehead enters the game for R. Foye,,123-94,,
5:33.0,L. Scola misses 3-pt shot from 24 ft (block by D. Motiejunas),,123-94,,
5:32.0,,,123-94,,Defensive rebound by C. Diallo
5:24.0,,,123-94,,T. Frazier misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by Q. Acy,,123-94,,
5:11.0,L. Scola makes 2-pt shot from 8 ft,2,125-94,,
4:56.0,,,125-94,,C. Diallo misses 2-pt shot from 15 ft
4:55.0,Defensive rebound by C. LeVert,,125-94,,
4:37.0,L. Scola makes 2-pt shot from 9 ft,2,127-94,,
4:16.0,,,127-94,,B. Hield misses 3-pt shot from 25 ft
4:15.0,,,127-94,,Offensive rebound by C. Diallo
4:14.0,,,127-94,,C. Diallo misses 2-pt shot from 15 ft
4:13.0,,,127-94,,Offensive rebound by Team
4:13.0,Loose ball foul by L. Scola (drawn by B. Hield),,127-94,,
4:09.0,,,127-96,2,T. Frazier makes 2-pt shot from 20 ft
3:53.0,S. Dinwiddie misses 2-pt shot from 12 ft,,127-96,,
3:52.0,,,127-96,,Defensive rebound by C. Diallo
3:42.0,,,127-98,2,B. Hield makes 2-pt shot from 3 ft
3:23.0,I. Whitehead misses 2-pt shot from 1 ft (block by C. Diallo),,127-98,,
3:23.0,Offensive rebound by I. Whitehead,,127-98,,
3:23.0,Shooting foul by B. Hield (drawn by I. Whitehead),,127-98,,
3:23.0,I. Whitehead makes free throw 1 of 2,1,128-98,,
3:23.0,I. Whitehead misses free throw 2 of 2,,128-98,,
3:22.0,,,128-98,,Defensive rebound by C. Diallo
3:17.0,,,128-100,2,B. Hield makes 2-pt shot from 3 ft (assist by T. Frazier)
2:57.0,C. LeVert makes 3-pt shot from 27 ft,3,131-100,,
2:52.0,,,131-100,,Shooting foul by S. Dinwiddie (drawn by T. Frazier)
2:52.0,,,131-100,,New Orleans full timeout
2:52.0,,,131-100,,T. Frazier misses free throw 1 of 2
2:52.0,,,131-100,,Offensive rebound by Team
2:52.0,,,131-101,1,T. Frazier makes free throw 2 of 2
2:31.0,I. Whitehead misses 2-pt shot from 2 ft,,131-101,,
2:30.0,Offensive rebound by L. Scola,,131-101,,
2:30.0,L. Scola makes 2-pt shot from 2 ft,2,133-101,,
2:21.0,,,133-101,,Shooting foul by L. Scola (drawn by B. Hield)
2:21.0,,,133-102,1,B. Hield makes free throw 1 of 2
2:21.0,,,133-103,1,B. Hield makes free throw 2 of 2
2:05.0,L. Scola misses 2-pt shot from 2 ft,,133-103,,
2:05.0,Offensive rebound by L. Scola,,133-103,,
2:04.0,Turnover by Q. Acy (lost ball; steal by C. Diallo),,133-103,,
2:04.0,Jump ball: Q. Acy vs. C. Diallo (T. Frazier gains possession),,,,Jump ball: Q. Acy vs. C. Diallo (T. Frazier gains possession)
1:55.0,,,133-106,3,L. Galloway makes 3-pt shot from 23 ft (assist by T. Frazier)
1:41.0,L. Scola makes 2-pt shot from 3 ft (assist by C. LeVert),2,135-106,,
1:31.0,,,135-106,,C. Diallo misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by L. Scola,,135-106,,
1:20.0,L. Scola makes 3-pt shot from 26 ft (assist by C. LeVert),3,138-106,,
1:08.0,,,138-106,,B. Hield misses 2-pt shot from 3 ft
1:08.0,,,138-106,,Offensive rebound by C. Diallo
1:06.0,,,138-109,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by C. Diallo)
1:03.0,Offensive charge foul by I. Whitehead,,138-109,,
1:03.0,Turnover by I. Whitehead (offensive foul),,138-109,,
0:53.0,,,138-112,3,D. Motiejunas makes 3-pt shot from 26 ft (assist by B. Hield)
0:53.0,Brooklyn full timeout,,138-112,,
0:46.0,L. Scola makes 2-pt shot from 2 ft (assist by C. LeVert),2,140-112,,
0:46.0,Shooting foul by D. Motiejunas (drawn by L. Scola),,140-112,,
0:46.0,L. Scola makes free throw 1 of 1,1,141-112,,
0:38.0,,,141-112,,D. Motiejunas misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by Team,,141-112,,
0:38.0,,,141-112,,Loose ball foul by T. Frazier (drawn by S. Dinwiddie)
0:38.0,S. Dinwiddie makes free throw 1 of 2,1,142-112,,
0:38.0,S. Dinwiddie makes free throw 2 of 2,1,143-112,,
0:30.0,,,143-112,,D. Motiejunas misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by Q. Acy,,143-112,,
0:18.0,Turnover by Q. Acy (bad pass; steal by L. Galloway),,143-112,,
0:13.0,,,143-112,,L. Galloway misses 3-pt shot from 26 ft
0:11.0,,,143-112,,Offensive rebound by C. Diallo
0:10.0,,,143-114,2,C. Diallo makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
