time,Atlanta,pts.away,score,pts.home,Detroit
6:37.0,,,80-100,,Turnover by R. Jackson (bad pass)
6:28.0,Shooting foul by A. Baynes (drawn by T. Waller-Prince),,80-100,,
6:28.0,T. Waller-Prince makes free throw 1 of 2,1,81-100,,
6:28.0,T. Waller-Prince makes free throw 2 of 2,1,82-100,,
6:28.0,,,81-100,,M. Morris enters the game for S. Johnson
6:13.0,,,82-100,,Shooting foul by M. Dunleavy (drawn by A. Baynes)
6:13.0,,,82-100,,A. Baynes misses free throw 1 of 2
6:13.0,,,82-100,,Offensive rebound by Team
6:13.0,,,82-101,1,A. Baynes makes free throw 2 of 2
5:58.0,T. Waller-Prince misses 3-pt shot from 24 ft,,82-101,,
5:58.0,,,82-101,,Defensive rebound by Team
5:58.0,Loose ball foul by K. Humphries (drawn by A. Baynes),,82-101,,
5:58.0,,,82-102,1,A. Baynes makes free throw 1 of 2
5:58.0,,,82-103,1,A. Baynes makes free throw 2 of 2
5:58.0,G. Neal enters the game for M. Scott,,82-102,,
5:41.0,G. Neal misses 2-pt shot from 17 ft,,82-103,,
5:40.0,,,82-103,,Defensive rebound by M. Morris
5:32.0,,,82-103,,R. Jackson misses 2-pt shot from 2 ft
5:31.0,,,82-103,,Offensive rebound by A. Baynes
5:29.0,,,82-105,2,A. Baynes makes 2-pt shot from 1 ft
5:18.0,K. Humphries makes 2-pt shot at rim (assist by T. Waller-Prince),2,84-105,,
5:05.0,,,84-105,,T. Harris misses 3-pt shot from 27 ft
5:05.0,Defensive rebound by D. Bembry,,84-105,,
4:56.0,T. Waller-Prince misses 2-pt shot from 1 ft,,84-105,,
4:54.0,,,84-105,,Defensive rebound by T. Harris
4:40.0,,,84-108,3,R. Bullock makes 3-pt shot from 24 ft (assist by A. Baynes)
4:22.0,K. Humphries makes 2-pt shot from 18 ft (assist by D. Bembry),2,86-108,,
4:06.0,,,86-110,2,R. Jackson makes 2-pt shot at rim
4:01.0,Shooting foul by T. Harris (drawn by T. Waller-Prince),,86-110,,
4:01.0,T. Waller-Prince makes free throw 1 of 2,1,87-110,,
4:01.0,T. Waller-Prince makes free throw 2 of 2,1,88-110,,
4:01.0,M. Scott enters the game for K. Humphries,,87-110,,
4:01.0,,,87-110,,S. Johnson enters the game for T. Harris
3:40.0,,,88-110,,M. Morris misses 3-pt shot from 27 ft
3:39.0,Defensive rebound by G. Neal,,88-110,,
3:32.0,G. Neal misses 2-pt shot from 20 ft,,88-110,,
3:32.0,Offensive rebound by D. Bembry,,88-110,,
3:32.0,Shooting foul by A. Baynes,,88-110,,
3:32.0,D. Bembry makes free throw 1 of 2,1,89-110,,
3:32.0,D. Bembry makes free throw 2 of 2,1,90-110,,
3:12.0,,,90-112,2,R. Jackson makes 2-pt shot from 17 ft
3:04.0,M. Scott misses 3-pt shot from 25 ft,,90-112,,
3:03.0,Offensive rebound by M. Dunleavy,,90-112,,
3:02.0,M. Dunleavy misses 2-pt shot from 2 ft,,90-112,,
3:00.0,Offensive rebound by M. Dunleavy,,90-112,,
2:59.0,Turnover by M. Dunleavy (lost ball; steal by S. Johnson),,90-112,,
2:39.0,,,90-112,,Turnover by S. Johnson (bad pass; steal by M. Dunleavy)
2:28.0,T. Waller-Prince misses 2-pt shot from 14 ft,,90-112,,
2:28.0,,,90-112,,Defensive rebound by R. Jackson
2:22.0,,,90-112,,Detroit full timeout
2:22.0,Atlanta full timeout,,90-112,,
2:22.0,,,90-112,,D. Hilliard enters the game for M. Morris
2:22.0,,,90-112,,B. Marjanovic enters the game for R. Bullock
2:22.0,,,90-112,,H. Ellenson enters the game for R. Jackson
2:22.0,,,90-112,,I. Smith enters the game for A. Baynes
2:22.0,K. Humphries enters the game for M. Dunleavy,,90-112,,
2:05.0,,,90-114,2,I. Smith makes 2-pt shot from 18 ft
1:55.0,K. Humphries makes 3-pt shot from 27 ft (assist by G. Neal),3,93-114,,
1:39.0,,,93-114,,D. Hilliard misses 2-pt shot from 5 ft
1:39.0,Defensive rebound by K. Humphries,,93-114,,
1:33.0,,,93-114,,Personal foul by H. Ellenson
1:33.0,D. Bembry misses free throw 1 of 2,,93-114,,
1:33.0,Offensive rebound by Team,,93-114,,
1:33.0,D. Bembry misses free throw 2 of 2,,93-114,,
1:32.0,,,93-114,,Defensive rebound by B. Marjanovic
1:15.0,,,93-116,2,B. Marjanovic makes 2-pt shot from 10 ft (assist by H. Ellenson)
1:06.0,M. Scott misses 3-pt shot from 24 ft,,93-116,,
1:05.0,,,93-116,,Defensive rebound by S. Johnson
0:52.0,,,93-116,,B. Marjanovic misses 2-pt shot from 13 ft
0:51.0,Defensive rebound by M. Scott,,93-116,,
0:44.0,G. Neal misses 3-pt shot from 26 ft,,93-116,,
0:43.0,,,93-116,,Defensive rebound by B. Marjanovic
0:33.0,,,93-118,2,H. Ellenson makes 2-pt shot at rim (assist by S. Johnson)
0:21.0,Shooting foul by B. Marjanovic (drawn by T. Waller-Prince),,93-118,,
0:21.0,T. Waller-Prince makes free throw 1 of 2,1,94-118,,
0:21.0,T. Waller-Prince makes free throw 2 of 2,1,95-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
