time,Sacramento,pts.away,score,pts.home,Charlotte
1:26.0,Shooting foul by M. Williams (drawn by D. Cousins),,105-106,,
1:26.0,,,105-106,,Charlotte full timeout
1:26.0,D. Cousins misses free throw 1 of 2,,105-106,,
1:26.0,Offensive rebound by Team,,105-106,,
1:26.0,D. Cousins makes free throw 2 of 2,1,106-106,,
1:14.0,,,106-106,,K. Walker misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by D. Cousins,,106-106,,
0:50.0,Turnover by Team (shot clock),,106-106,,
0:32.0,,,106-106,,N. Batum misses 2-pt shot from 7 ft
0:31.0,Defensive rebound by D. Cousins,,106-106,,
0:30.0,Sacramento full timeout,,106-106,,
0:14.0,D. Cousins makes 2-pt shot from 2 ft (assist by T. Lawson),2,108-106,,
0:14.0,,,108-106,,Charlotte full timeout
0:14.0,G. Temple enters the game for D. Collison,,108-106,,
0:14.0,,,108-106,,F. Kaminsky enters the game for M. Kidd-Gilchrist
0:01.0,,,108-106,,F. Kaminsky misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by D. Cousins,,108-106,,
0:01.0,,,108-106,,Personal take foul by K. Walker (drawn by D. Cousins)
0:01.0,D. Cousins makes free throw 1 of 2,1,109-106,,
0:01.0,D. Cousins misses free throw 2 of 2,,109-106,,
0:01.0,,,109-106,,Defensive rebound by F. Kaminsky
0:00.0,,,109-106,,F. Kaminsky misses 3-pt shot from 27 ft
0:00.0,,,109-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
